timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
21340.20,0,0,18490,1216804228,0,0,0,0,1,1,5523,117,1,558,127672,34,1726,4,8,642,114873386,1118,1,0,7,15,6,681,558,0,0,0,1949722,23857,398320125,0,558,364,2,1,14,14,450,1,400588996,358857754,1986307,27369411,27369411,1,2,1,1203533188,73389,73389,14,14,14,27353027,9,3,352842,129704,802210,3074,400588996,127672,1158601,1759
23345.10,253952,62,32705,2153985026,12,12629125,0,45,15,15,5523,119,1,675,224625,34,5051,12,22,1184,140299886,1352,1,0,21,29,6,1576,675,0,0,0,5122256,1694033,683076650,0,675,425,2,1,14,14,450,1,684587824,633495659,21670783,48590504,48590504,1,2,1,2137982176,73389,73389,14,14,14,48590504,9,3,478737,228590,1159561,5242,684587824,224625,3962892,2110
25354.53,253952,62,43573,2869946602,14,15400043,0,60,18,18,5523,121,1,675,284654,34,8088,12,22,1184,140565338,1352,1,0,21,32,6,1576,675,0,0,0,7565071,1873483,893148207,0,675,425,2,1,14,14,450,1,893385520,842803238,26914329,64870550,64870550,1,2,1,2853583304,73389,73389,14,14,14,64854166,9,3,486411,290029,1240007,6835,893385520,284654,6325367,2110
27367.53,253952,62,58339,3842960218,17,20553897,0,102,23,23,5523,123,1,675,391935,34,12209,12,22,1184,140830790,1352,1,0,21,37,6,1576,675,0,0,0,11555803,3679797,1177173102,0,675,425,2,1,14,14,450,1,1177811760,1127200768,39783053,86986730,86986730,1,2,1,3827416120,73389,73389,14,14,14,86986730,9,3,510279,399496,1403773,9005,1177811760,391935,10152468,2110
29382.65,253952,62,73450,4838583754,20,26378769,0,138,24,24,5523,126,1,675,493265,34,16500,12,22,1184,141361694,1352,1,0,21,38,6,1576,675,0,0,0,15529736,5293093,1465011666,0,675,425,2,1,14,14,450,1,1468660528,1418326631,53074019,109602622,109619006,1,2,1,4822515368,73389,73389,14,14,14,109602622,9,3,530134,503024,1562021,11224,1468660528,493265,13968297,2110
31391.23,253952,62,89787,5915085330,20,28949128,0,181,25,25,5523,128,1,675,595176,34,21062,12,22,1184,141627146,1352,1,0,21,39,6,1576,675,0,0,0,19673090,6839811,1781050174,0,675,425,2,1,14,14,450,1,1783233328,1732940363,62629938,134081972,134081972,1,2,1,5899606768,73389,73389,14,14,14,134081972,9,3,545387,609560,1737465,13624,1783233328,595176,17935368,2110
33402.65,253952,62,105385,6942890350,21,32017694,0,212,28,28,5523,131,1,675,693929,34,25489,12,22,1184,142158050,1352,1,0,21,42,6,1576,675,0,0,0,23434666,8467414,2077939162,0,675,425,2,1,14,14,450,1,2083388208,2033477908,72656112,157424793,157441177,1,2,1,6926690892,73389,73389,14,14,14,157424793,9,3,563958,711357,1909791,15914,2083388208,693929,21525771,2110
35412.36,253952,62,121243,7987734730,23,37768302,0,248,28,28,5523,133,1,675,801256,34,29927,12,22,1184,142423502,1352,1,0,21,42,6,1576,675,0,0,0,27623583,10468544,2387020962,0,675,425,2,1,14,14,450,1,2388917040,2338857635,87306579,181185406,181185406,1,2,1,7972157864,73389,73389,14,14,14,181185406,9,3,582962,820885,2092826,18245,2388917040,801256,25531800,2110
37426.49,253952,62,135833,8949214010,23,40642270,0,278,31,31,5523,136,1,675,896995,34,34061,12,22,1184,142942340,1352,1,0,21,45,6,1576,675,0,0,0,31522446,12321459,2664616737,0,675,425,2,1,14,14,450,1,2669542192,2619932779,98560060,203023058,203039442,1,2,1,8933014552,73389,73389,14,14,14,203023058,9,3,607947,918730,2262474,20386,2669542192,896995,29261140,2110
39438.14,253952,62,151074,9953622678,26,46543811,0,321,32,32,5523,138,1,675,992145,34,38329,12,22,1184,143207792,1352,1,0,21,46,6,1576,675,0,0,0,35601205,13695910,2961364876,0,675,425,2,1,14,14,450,1,2962913818,2913531201,110967677,225866167,225866167,1,2,1,9938111348,73389,73389,14,14,14,225866167,9,3,622218,1016046,2420480,22625,2962913818,992145,33182033,2110
41451.79,253952,62,165909,10930833906,27,53037606,0,359,32,32,5523,141,1,675,1104539,34,42544,12,22,1184,144004148,1352,1,0,21,46,6,1576,675,0,0,0,39593963,15160305,3246155072,0,675,425,2,1,14,14,450,1,3247672272,3199038827,124457910,248070300,248086684,1,2,1,10915093200,73389,73389,14,14,14,248070300,9,3,640589,1130610,2580838,24800,3247672272,1104539,37014579,2110
