timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
21931.30,0,253952,62,19228,1266147142,1,2455665,0,91,7,7,1575,176,0,558,130903,0,16,7530,2,17,0,269,97351569,1118,1,0,4,895,23800232,6,95200928,16,21,0,9,729,558,0,0,8705957,23852,432693719,0,558,342,0,3,1,14,14,1413,3,434326831,401273634,11183295,24174531,24174531,1,3,1,1256223676,73389,73389,14,14,14,24158151,5,3,87317,133899,313027,3644,434326831,130903,8393283,1522
23937.01,0,253952,62,37253,2453997446,2,4291073,0,198,7,7,1575,269,0,558,263994,0,16,14615,2,17,0,269,100150881,1118,1,0,4,895,46339213,6,185356852,16,21,0,9,729,558,0,0,17789166,169927,807027122,0,558,342,0,3,1,14,14,1413,3,807667621,775202203,22239733,47001256,47017640,1,3,1,2444065344,73389,73389,14,14,14,47001260,5,3,93632,270044,489562,6694,807667621,263994,17300308,1522
25943.86,2,253952,62,54094,3562407028,3,6885099,0,296,9,9,1575,399,1,576,385780,0,16,21245,2,17,0,269,104728530,1154,1,0,4,895,67291141,6,269099800,16,23,0,9,729,576,0,0,26022411,303383,1158215962,0,576,349,0,3,1,14,14,1413,3,1158248684,1124324753,33185450,68333607,68333607,1,3,1,3553347596,73389,73389,14,14,14,68333611,5,3,105189,394745,642738,9654,1158248684,385780,25380701,1577
27956.61,3,253952,62,68044,4481931202,4,10419352,0,396,9,9,1575,474,1,603,504765,0,16,26728,2,17,0,269,111639601,1208,1,0,4,895,84709161,6,338836644,16,23,0,9,729,603,0,0,33533845,652883,1445868761,0,603,380,0,3,1,14,14,1413,3,1445388257,1414451331,44573709,85969207,85985591,1,3,1,4470398796,73389,73389,14,14,14,85969211,5,3,106611,516417,776572,12022,1445388257,504765,32758599,1675
29963.83,5,253952,62,80387,5295246140,5,13341603,0,490,9,9,1575,572,1,621,617980,0,16,31568,2,17,0,269,115474911,1244,1,0,4,895,100003630,6,399949840,16,23,0,9,729,621,0,0,40131092,1030970,1723292788,0,621,396,0,3,1,14,14,1413,3,1722804554,1671536242,54442616,101514132,101514132,1,3,1,5277882928,73389,73389,14,14,14,101497752,5,3,114325,632195,922303,14380,1722804554,617980,39210359,1736
31975.04,6,253952,62,91846,6050751100,5,15110290,0,541,9,9,1575,636,2,630,713669,0,16,36077,2,17,0,269,120111133,1262,1,0,4,895,114291672,6,457166688,16,23,0,9,729,630,0,0,46192357,1256088,1956582543,0,630,405,0,3,1,14,14,1413,3,1955504838,1909518263,62469945,116036772,116036772,1,3,1,6033912176,73389,73389,14,14,14,116036776,5,3,120767,729919,1058277,16303,1955504838,713669,45135882,1767
33987.91,6,253952,62,103029,6787453044,5,16322559,0,618,9,9,1575,724,3,630,812323,0,16,40503,2,17,0,269,121727977,1262,1,0,4,895,128300890,6,513203560,16,23,0,9,729,630,0,0,52593289,1715283,2191604394,0,630,405,0,3,1,14,14,1413,3,2190298234,2141589486,70545932,130199408,130199408,1,3,1,6770369248,73389,73389,14,14,14,130199412,5,3,129634,830807,1207081,18276,2190298234,812323,51388251,1767
35997.53,11,253952,62,114519,7543701988,5,17540037,0,724,9,9,1575,786,6,648,917522,0,16,45015,2,17,0,269,126489626,1298,1,0,4,895,142645107,6,570515728,16,23,0,9,729,648,0,0,59114837,2051311,2431937416,0,648,425,0,3,1,14,14,1413,3,2430279671,2379654547,78580904,144747068,144747068,1,3,1,7526847568,73389,73389,14,14,14,144747072,5,3,135792,938334,1338119,20248,2430279671,917522,57778998,1831
38008.72,12,253952,62,125874,8292858592,5,18502965,0,819,10,10,1575,864,6,648,1026997,0,16,49484,2,17,0,269,128396054,1298,1,0,4,895,156796279,6,627185116,16,24,0,9,729,648,0,0,65648653,2623356,2678438091,0,648,425,0,3,1,14,14,1413,3,2676395739,2616206072,86625731,159097676,159114060,1,3,1,8273079184,73389,73389,14,14,14,159097680,5,3,139736,1050202,1456297,22300,2676395739,1026997,64194875,1831
40022.50,12,253952,62,137277,9043616476,6,20673616,0,910,10,10,1575,926,8,657,1132573,2,16,53943,2,17,0,269,131080519,1316,1,0,4,895,170979459,6,683853204,16,24,0,9,729,657,0,0,72184018,3026551,2921197778,0,655,435,2,3,1,14,14,1413,3,2918528368,2853084266,95691403,173516423,173516423,1,3,1,9022854028,73389,73389,14,14,14,173516427,5,3,142149,1158127,1604230,24292,2918528368,1132573,70582559,1862
