timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
28068.92,2,253952,62,13244,871482056,3,3740010,0,99,7,7,2656,140,0,558,121127,0,29,5177,3,14,589,97363635,1118,1,0,4,4988,16323565,8,65229748,13,21,6,9263,558,0,0,7235356,336110,304487927,0,558,525,0,3,1,14,14,5675,0,3,304616889,277214540,11281016,16556859,16589627,1,3,1,0,860956700,73389,73389,14,14,14,16556863,7,3,90657,123613,310860,2581,304616889,121127,6924889,1781
30075.83,4,253952,62,26234,1725895658,3,4971093,0,189,7,7,2656,205,0,558,217602,0,29,10260,3,14,589,99837165,1118,1,0,4,4988,32536267,8,130080272,13,21,6,9263,558,0,0,13763750,590549,578569585,0,558,525,0,3,1,14,14,5675,0,3,578721187,546134442,19271355,33017573,33017573,1,3,1,0,1716913828,73389,73389,14,14,14,33017577,7,3,98953,222473,435068,4815,578721187,217602,13329335,1781
32084.37,7,253952,62,38682,2547346740,3,6823118,0,236,7,7,2656,295,0,558,307184,0,29,15187,3,14,589,102962259,1118,1,0,4,4988,48117780,8,192406536,13,21,6,9263,558,0,0,19827634,734810,832509458,0,558,525,0,3,1,14,14,5675,0,3,832255152,804677793,27256252,48805655,48822039,1,3,1,0,2537894092,73389,73389,14,14,14,48805659,7,3,109124,314264,553833,6939,832255152,307184,19274705,1781
34093.39,10,253952,62,51787,3410877628,3,8117741,0,307,7,7,2656,388,0,567,404303,0,29,20352,3,14,589,107598715,1136,1,0,4,4988,64472652,8,257761076,13,21,6,9263,567,0,0,26232690,1116115,1107231959,0,567,534,0,3,1,14,14,5675,0,3,1106721591,1076590605,35397610,65411222,65427606,1,3,1,0,3401383576,73389,73389,14,14,14,65411226,7,3,117667,413718,705556,9229,1106721591,404303,25528306,1807
36102.03,17,253952,62,65350,4305075568,3,9354958,0,408,7,7,2656,473,2,567,508859,0,29,25710,3,14,589,111363307,1136,1,0,4,4988,81430250,8,325721000,13,21,6,9263,567,0,0,32748658,1409445,1385664971,0,567,534,0,3,1,14,14,5675,0,3,1385042017,1358013245,43424725,82610487,82643255,1,3,1,0,4295745356,73389,73389,14,14,14,82610491,7,3,121757,520600,826587,11534,1385042017,508859,31923520,1807
38112.00,22,253952,62,79123,5211189970,3,11012974,0,507,8,8,2656,561,8,567,613735,0,29,31109,3,14,589,113535187,1136,1,0,4,4988,98578994,8,394315976,13,22,6,9263,567,0,0,39268600,1776178,1673031821,0,567,534,0,3,1,14,14,5675,0,3,1672412569,1643598484,51958486,100019314,100035698,1,3,1,0,5201004360,73389,73389,14,14,14,100019318,7,3,134935,627944,968350,13916,1672412569,613735,38301976,1807
40119.04,25,253952,62,92683,6106096252,4,13245852,0,600,8,8,2656,647,8,567,712922,0,29,36464,3,14,589,115103767,1136,1,0,4,4988,115546439,8,462185756,13,22,6,9263,567,0,0,45792244,2105502,1955326443,0,567,534,0,3,1,14,14,5675,0,3,1953963649,1925265324,61016023,117244870,117244870,1,3,1,0,6096733272,73389,73389,14,14,14,117244874,7,3,148186,729530,1114568,16251,1953963649,712922,44679677,1807
42133.49,28,253952,62,106368,7007698350,4,14396596,0,691,8,8,2656,734,8,576,812290,0,29,41835,3,14,589,116602928,1154,1,0,4,4988,132597665,8,530326076,13,22,6,9263,576,0,0,52329079,2469764,2238528249,0,576,542,0,3,1,14,14,5675,0,3,2236962085,2209096244,69058447,134571333,134571333,1,3,1,0,6996857380,73389,73389,14,14,14,134554953,7,3,153316,831302,1233596,18595,2236962085,812290,51097754,1839
44143.37,31,253952,62,119749,7888689742,4,15589978,0,779,8,8,2656,822,8,576,911379,0,29,47115,3,14,589,116602928,1154,1,0,4,4988,149353492,8,597284824,13,22,6,9263,576,0,0,58869046,2821096,2516169089,0,576,542,0,3,1,14,14,5675,0,3,2514205498,2486609600,77114845,151517090,151517090,1,3,1,0,7878888712,73389,73389,14,14,14,151517094,7,3,162007,932800,1362602,20898,2514205498,911379,57508990,1839
46154.27,32,253952,62,132734,8744416640,4,16998061,0,863,8,8,2656,907,8,585,1014401,0,29,52222,3,14,589,118357797,1172,1,0,4,4988,165532827,8,662066672,13,22,6,9263,585,0,0,65326644,3034481,2786238155,0,585,553,0,3,1,14,14,5675,0,3,2784334448,2755893504,85152829,167975201,167975201,1,3,1,0,8734710484,73389,73389,14,14,14,167975205,7,3,170908,1038197,1486507,23144,2784334448,1014401,63842933,1868
