timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
2097.96,253952,62,45157,2974286530,0,2241,0,1,60,60,11,121,675,314733,126,29,8504,75,207,140565338,1352,1,0,74,74,30,14,381,675,0,0,0,7115834,44491,871678998,0,549,260,126,9,1,2,1,14,14,321,1,924187440,873300355,9700713,67241912,67241912,1,2,1,2958644128,73389,73389,14,14,14,67241912,7,3,437303,319952,2155138,7070,924187440,314733,4961012,2456
4101.93,253952,62,65847,4337659026,0,2241,0,1,60,60,11,124,675,420785,126,29,14312,75,207,141096242,1352,1,0,74,74,30,14,381,675,0,0,0,11568956,295517,1270585690,0,549,260,126,9,1,2,1,14,14,321,1,1322646320,1271861544,27495603,98212756,98229140,1,2,1,4321361264,73389,73389,14,14,14,98212756,7,3,460572,428494,2324919,10110,1322646320,420785,9244545,2456
6107.08,253952,62,83706,5514171846,0,2241,0,1,60,60,11,127,675,548239,126,29,19349,75,207,141361694,1352,1,0,74,74,30,14,381,675,0,0,0,16126410,1163337,1617275157,0,549,260,126,9,1,2,1,14,14,321,1,1666054960,1615765283,50483809,124959131,124975515,1,2,1,5498201764,73389,73389,14,14,14,124959131,7,3,494749,562909,2555917,12730,1666054960,548239,13571130,2456
8112.66,253952,62,103311,6806172330,0,2241,0,1,60,60,11,131,675,675461,126,29,24892,75,207,141892598,1352,1,0,74,74,30,14,381,675,0,0,0,20991794,1196358,1996000986,0,549,260,126,9,1,2,1,14,14,321,1,2043673392,1993520887,60626115,154326502,154326502,1,2,1,6790366088,73389,73389,14,14,14,154326502,7,3,500566,693047,2737831,15611,2043673392,675461,18254803,2456
10120.29,253952,62,117638,7750210520,0,2241,0,1,60,60,11,133,675,795199,126,29,28944,75,207,142423502,1352,1,0,74,74,30,14,381,675,0,0,0,25515744,3607411,2269915455,0,549,260,126,9,1,2,1,14,14,321,1,2319317808,2269431261,90758564,175781289,175803706,1,2,1,7734376716,73389,73389,14,14,14,175781289,7,3,535965,815090,2995699,17714,2319317808,795199,22520987,2456
12124.51,253952,62,134654,8871681614,0,2241,0,1,60,60,11,136,675,921829,126,29,33740,75,207,142942340,1352,1,0,74,74,30,14,381,675,0,0,0,30104853,5018434,2599973838,0,549,260,126,9,1,2,1,14,14,321,1,2647128880,2597253603,104970130,201263937,201280321,1,2,1,8855613228,73389,73389,14,14,14,201263937,7,3,559198,944317,3221983,20215,2647128880,921829,26883967,2456
14130.39,253952,62,153276,10098139482,0,2241,0,1,60,60,11,139,675,1033761,126,29,38981,75,207,143473244,1352,1,0,74,74,30,14,381,675,0,0,0,34724300,5795867,2956343614,0,549,260,126,9,1,2,1,14,14,321,1,3004271568,2955682754,121712750,229144682,229161066,1,2,1,10082366008,73389,73389,14,14,14,229144682,7,3,579010,1058913,3430910,22943,3004271568,1033761,31294661,2456
16135.28,253952,62,170766,11250734970,0,2241,0,1,60,60,11,142,675,1165194,126,29,43915,75,207,144004148,1352,1,0,74,74,30,14,381,675,0,0,0,39187143,6951560,3290231116,0,549,260,126,9,1,2,1,14,14,321,1,3341126608,3292588877,136334831,255348226,255364610,1,2,1,11235321944,73389,73389,14,14,14,255348226,7,3,594493,1192897,3636679,25513,3341126608,1165194,35551884,2456
18139.85,253952,62,191507,12617449802,0,2241,0,1,60,60,11,145,675,1281194,126,29,49736,75,207,144535052,1352,1,0,74,74,30,14,381,675,0,0,0,43900639,6956068,3689916124,0,549,260,126,9,1,2,1,14,14,321,1,3740634064,3692128132,146260006,286409182,286409182,1,2,1,12602004008,73389,73389,14,14,14,286409182,7,3,606247,1311648,3794423,28561,3740634064,1281194,40107814,2456
20144.94,253952,62,209674,13814413162,0,2241,0,1,60,60,11,148,675,1397558,126,29,54857,75,207,145065956,1352,1,0,74,74,30,14,381,675,0,0,0,48440546,7924349,4039227148,0,549,260,126,9,1,2,1,14,14,321,1,4090334160,4041975327,169995117,313603958,313620342,1,2,1,13798574152,73389,73389,14,14,14,313603958,7,3,641845,1430411,3997008,31229,4090334160,1397558,44445267,2456
