event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,30535,225398,194863,Total time spent analyzing index of patch parts
ArenaAllocBytes,23068672,46137344,23068672,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,5632,11264,5632,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,157,157,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,15704,18741,3037,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,157,219,62,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,86819,86819,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,38577943,77147790,38569847,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2541513854693,5082495936957,2540982082264,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,9327,9327,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,14029452179,14029452179,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,203342,203342,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,9327,9327,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,9327,9327,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,4753073800,4753073800,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,158591,313482,154891,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,12597,124419,111822,Context lock wait time in microseconds
