timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5019.38,29,262144,64,25920,1708032204,0,0,0,21,21,1308038,119,585,508061,3,3669,24,57,124484256,1172,1,23,4211,6556,2,2872,585,4749045,411130,550737756,585,1164,2,1,2,2,523,1,548577692,502577845,7517378,38459603,38475987,2,1,1692222532,73389,73389,2,2,2,38459603,11,3,93453,1081900,1164193,9536,4188,548577692,498525,3584383,5746
10032.12,29,262144,64,51268,3378529552,0,0,0,21,21,1308038,123,585,1015844,3,10800,24,57,125280612,1172,1,23,7937,14613,2,2872,585,12438465,1056851,1041191150,585,1164,2,1,2,2,523,1,1037083036,991009072,27167470,76435878,76435878,2,1,3363178632,73389,73389,2,2,2,76435878,11,3,106646,2146602,1527289,18822,7914,1037083036,997022,10910415,5746
15043.29,29,262144,64,79311,5225923938,0,0,0,21,21,1308038,128,585,1525907,3,18721,24,57,125811516,1172,1,23,12055,21065,2,2872,585,20024160,1581177,1583079018,585,1164,2,1,2,2,523,1,1576837532,1531052633,52096200,118424074,118424074,2,1,5209938360,73389,73389,2,2,2,118407690,11,3,127576,3207173,1901782,28865,12032,1576837532,1497042,18122073,5746
20052.55,29,262144,64,109980,7247237826,0,60835,8,21,21,1308038,133,585,2033800,3,27361,24,57,126837126,1172,1,23,16561,27430,2,2872,585,32110846,2224799,2176006481,585,1164,2,1,2,2,523,1,2167447964,2121836119,89108016,164353893,164370277,2,1,7231571292,73389,73389,2,2,2,164353893,11,3,148671,4261961,2334795,38120,16538,2167447964,1995680,29776023,5746
25064.73,29,262144,64,141751,9340699990,6,14637389,43,21,21,1308038,138,585,2514362,3,36300,24,57,127621416,1172,1,23,21229,33971,2,2872,585,42160152,2720184,2790117741,585,1164,2,1,2,2,523,1,2779160988,2733779131,246436680,211924271,211946688,2,1,9324667924,73389,73389,2,2,2,211924271,11,3,169379,5268043,2713352,47919,21206,2779160988,2466443,39447065,5746
30074.96,29,262144,64,175086,11537118966,6,14637389,43,21,21,1308038,144,585,3018222,3,45713,24,57,128417772,1172,1,23,26125,39057,2,2872,585,50155849,2943082,3434480362,585,1164,2,1,2,2,523,1,3421020572,3375800218,267483365,261855660,261872044,2,1,11521649040,73389,73389,2,2,2,261855660,11,3,185439,6289250,3017785,57203,26102,3421020572,2961019,47140374,5746
35080.95,29,262144,64,217759,14348867458,6,14637389,43,21,21,1308038,151,585,3483088,3,57744,24,57,129479580,1172,1,23,32393,42708,2,2872,585,64480856,3100516,4259058318,585,1164,2,1,2,2,523,1,4242448796,4197825705,322357325,325753077,325769461,2,1,14333135388,73389,73389,2,2,2,325753077,11,3,219109,7244830,3371213,66503,32370,4242448796,3416585,61111234,5746
40085.49,29,262144,64,272264,17940357530,6,14637389,43,21,21,1308038,160,585,3913350,3,73104,24,57,130806840,1172,1,23,40403,44199,2,2872,585,75752476,3121568,5313075144,585,1164,2,1,2,2,523,1,5292466588,5247692181,362932460,407384398,407400782,2,1,17924913512,73389,73389,2,2,2,407384398,11,3,266105,8137854,3668313,76089,40380,5292466588,3837261,72086003,5746
45102.49,29,262144,64,324655,21392701198,6,14637389,43,21,21,2950961,169,585,4337913,3,87885,24,57,132399552,1172,1,23,48097,45091,2,2872,585,85563757,3384908,6325414320,585,1164,2,1,2,2,523,1,6300934556,6256948811,386744404,485857925,485857925,2,1,21377027804,73389,73389,2,2,2,485841541,11,3,295460,9075088,3884718,84979,48074,6300934556,4252934,81679788,5746
50148.90,29,262144,64,332191,21889235014,6,14637389,43,21,21,3788160,170,585,4563545,3,89997,24,57,132399552,1172,1,23,49205,112934,2,2872,585,89910479,6595252,6471307796,585,1164,2,1,2,2,523,1,6446162332,6402100024,478177315,497133103,497149487,2,1,21873856532,73389,73389,2,2,2,497133103,11,3,303842,10936523,4174249,92243,49183,6446162332,4471302,85738506,5746
