timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.92,31,262144,64,36664,2416048306,1,5788211,154,6,6,1701,264,2,576,488508,0,17,14378,9,102534258,1154,1,4,1141,45543252,12,182043924,8,6597,4162,2,677,576,18939311,20905,801081162,576,588,0,3,1,2,2,2064,3,797411529,763808626,26330589,46251466,46251466,3,1,2405076264,73389,73389,2,2,2,46251470,18,3,94948,1010465,426998,12706,6589,797411529,475802,18512574,2772
10016.19,82,262144,64,67933,4476261484,2,9847447,367,6,6,1701,505,7,576,872075,0,17,26737,9,107517516,1154,1,4,1141,84526177,12,338040132,8,12046,8241,2,677,576,35087436,42234,1452344413,576,588,0,3,1,2,2,2064,3,1445611552,1412574634,47840485,85849757,85866141,3,1,4464187396,73389,73389,2,2,2,85849761,18,3,108476,1834613,615816,23493,12038,1445611552,848582,34472755,2772
15024.51,123,262144,64,99176,6534179492,2,13067573,586,6,6,1701,700,9,576,1252885,0,17,39031,9,110389224,1154,1,4,1141,123475899,12,493839060,8,17455,12435,2,677,576,51079509,65323,2110499669,576,588,0,3,1,2,2,2064,3,2100718538,2060888792,68341975,125403214,125403214,3,1,6520967160,73389,73389,2,2,2,125403218,18,3,122155,2653920,827950,34309,17447,2100718538,1218576,50253495,2772
20027.85,128,262144,64,132062,8701969160,2,17825062,705,8,8,1701,897,11,576,1560716,0,17,51938,10,114467532,1154,1,4,1141,164391026,12,657499296,9,23203,14285,2,1302,576,64826787,70094,2810666534,576,588,0,3,1,2,2,2064,3,2797735198,2744982762,87937981,166997750,166997750,3,1,8683883032,73389,73389,2,2,2,166997754,18,3,138341,3335994,988154,43431,23193,2797735198,1517285,63840781,2772
25030.96,129,262144,64,163038,10742654508,5,24856785,849,8,8,1701,1101,11,576,1784382,0,17,64106,10,116603214,1154,1,4,1141,202886947,12,811547788,9,28782,15002,2,1302,576,75300666,70538,3486039315,576,588,0,3,1,2,2,2064,3,3470116154,3389690507,106274102,206082104,206098488,3,1,10716269440,73389,73389,2,2,2,206082108,18,3,152375,3857429,1136857,50642,28772,3470116154,1733740,74166663,2772
30035.89,130,262144,64,188283,12405581160,10,32889926,1009,12,12,1701,1263,11,585,1948777,2,17,73988,10,118334402,1172,1,4,1141,234205144,12,936820576,9,33302,15582,2,1302,585,83456828,72099,4033050697,583,591,2,3,1,2,2,2064,3,4014704784,3915117188,123088909,237956227,237956227,3,1,12373723836,73389,73389,2,2,2,237956231,18,3,162255,4250355,1230716,56335,33288,4014704784,1892442,82229506,2792
35040.54,130,262144,64,207357,13663375396,10,36880482,1146,12,12,1701,1384,11,594,2054604,2,17,81500,10,120448861,1190,1,4,1141,257988492,12,1031889280,9,36711,15838,2,1302,594,89198395,72306,4446183437,592,593,2,3,1,2,2,2064,3,4426013972,4312253123,133230531,262053342,262053342,3,1,13626773816,73389,73389,2,2,2,262053346,18,3,167806,4509488,1283373,60083,36697,4426013972,1994521,87918807,2805
40043.85,130,262144,64,228881,15080632692,16,46024159,1333,18,18,1701,1525,11,594,2185204,2,17,89941,10,120448861,1190,1,4,1141,284715397,12,1138861588,9,40568,16241,2,1302,594,95836978,73418,4913206019,592,593,2,3,1,2,2,2064,3,4890972424,4760395708,149527372,289189059,289189059,3,1,15037831100,73389,73389,2,2,2,289189063,18,3,181613,4826605,1369076,64611,40548,4890972424,2120593,94472146,2805
45079.08,134,262144,64,250089,16478688862,20,53383512,1523,31,31,1701,1673,12,594,2328538,2,17,98253,15,120448861,1190,1,4,1141,311006230,12,1243895584,14,44455,17294,2,1369,594,102841870,202392,5381087402,592,593,2,3,1,2,2,2064,3,5356776262,5202640840,164540247,315920765,315953533,3,1,16427879812,73389,73389,2,2,2,315920769,18,3,211303,5253432,1560306,69749,44422,5356776262,2258789,101286221,2805
50097.22,363,262144,64,282517,18616426844,21,65324593,2099,33,33,1701,1871,55,594,3424886,2,17,110994,17,120460927,1190,1,4,1141,351413335,12,1405524096,16,50269,132871,2,2898,594,142864238,6657036,6089463142,592,593,2,3,1,2,2,2064,3,6061399776,5878079821,226131739,356868133,356917285,3,1,18557142948,73389,73389,2,2,2,356868137,18,3,261676,10130036,2862139,106910,50235,6061399776,3317976,140003522,2805
55113.73,533,262144,64,315309,20776909858,21,76996808,2682,33,33,1701,2084,535,594,4514155,2,17,123854,17,120460927,1190,1,4,1141,392195689,12,1568524300,16,56134,201660,2,2898,594,182976759,13182057,6801960193,592,593,2,3,1,2,2,2064,3,6770124323,6560315080,287506428,398299273,398315657,3,1,20711562228,73389,73389,2,2,2,398299277,18,3,307000,15151080,4201280,144512,56099,6770124323,4369643,178774666,2805
60116.99,560,262144,64,340096,22410400190,31,90114920,2929,33,33,1701,2241,538,594,4833346,2,17,133611,17,120460927,1190,1,4,1141,423094977,12,1692250840,16,60516,213296,2,2898,594,196698085,14361402,7335363624,592,593,2,3,1,2,2,2064,3,7301045857,7076094254,316555374,429628406,429628406,3,1,22340677144,73389,73389,2,2,2,429628410,18,3,322145,16301590,4506512,155660,60481,7301045857,4677686,192191847,2805
65121.00,568,262144,64,375382,24734281724,31,92854226,3075,34,34,1701,2469,538,594,5050400,2,17,147468,17,120460927,1190,1,4,1141,466925946,12,1867574584,16,66846,213689,2,2898,594,207458953,14361686,8103878283,592,593,2,3,1,2,2,2064,3,8066194668,7810710104,330882006,474131546,474131546,3,1,24654840424,73389,73389,2,2,2,474131550,18,3,331858,16822959,4611923,163197,66810,8066194668,4887203,202848084,2805
70125.23,568,262144,64,417539,27514059738,31,94608410,3299,34,34,1701,2744,538,594,5318533,2,17,164010,17,120762577,1190,1,4,1141,519191758,12,2076767032,16,74738,214085,2,2898,594,220062638,14362019,9059864157,592,593,2,3,1,2,2,2064,3,9018005826,8691579614,346246529,527191391,527224159,3,1,27413952364,73389,73389,2,2,2,527191395,18,3,344106,17461811,4726931,172245,74702,9018005826,5146288,215337408,2805
