timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.82,17,262144,64,44055,2903537910,1,2971653,216,5,5,2127,340,0,576,444544,0,4,17329,8,105948936,1154,1,4,293,54754983,4,219019932,7,7911,3073,2,45,576,18622039,4628,951965627,576,326,0,2,1,3,1,2,2,673,3,947643387,917399183,23153061,55617908,55617908,3,1,2892131248,73389,73389,2,2,2,55617912,5,3,43660,971432,297126,13052,7904,947643387,431492,18325709,2067
10014.39,27,262144,64,85408,5628428968,1,4673686,426,5,5,2127,591,0,576,847391,0,4,33598,8,109749726,1154,1,4,293,106337832,4,425351328,7,15037,6004,2,45,576,36033438,7593,1820308425,576,326,0,2,1,3,1,2,2,673,3,1812059746,1775641453,43660836,108002579,108002579,3,1,5616134140,73389,73389,2,2,2,108002583,5,3,51958,1849726,477067,24851,15030,1812059746,822540,35557760,2067
15022.08,60,262144,64,130280,8584846160,1,8369585,591,7,7,2127,889,2,576,1358192,0,4,51253,10,113453988,1154,1,4,293,162197596,4,648725756,9,22991,10801,2,72,576,56796523,28171,2781913383,576,326,0,2,1,3,1,2,2,673,3,2769257055,2708423272,69772532,164722533,164722533,3,1,8565571748,73389,73389,2,2,2,164722537,5,3,71494,2962813,720762,39447,22982,2769257055,1318745,56077976,2067
20028.27,100,262144,64,168189,11082571248,3,13589687,744,8,8,2127,1139,6,576,1837248,0,4,66145,10,116591148,1154,1,4,293,209333663,4,837269976,9,29798,14533,2,72,576,75517645,44242,3604975399,576,326,0,2,1,3,1,2,2,673,3,3588533695,3497765123,95437490,212563247,212579631,3,1,11053288876,73389,73389,2,2,2,212563251,5,3,88858,3978540,988688,52621,29788,3588533695,1784627,74532478,2067
25035.05,142,262144,64,201005,13244192750,4,17565143,953,8,8,2127,1339,10,576,2273668,0,4,78997,10,117218580,1154,1,4,293,250048839,4,1000195356,9,35762,18411,2,72,576,91709282,66950,4332666228,576,326,0,2,1,3,1,2,2,673,3,4312905772,4182006420,117031060,253890050,253906434,3,1,13202282632,73389,73389,2,2,2,253890054,5,3,104274,4895664,1224397,64616,35752,4312905772,2209052,90488095,2067
30038.91,174,262144,64,233399,15380076554,4,20722685,1156,8,8,2127,1563,12,576,2699645,0,4,91696,10,117508164,1154,1,4,293,290228611,4,1160785248,9,41857,21988,2,72,576,107628231,87464,5070317539,576,326,0,2,1,3,1,2,2,673,3,5047181575,4859116892,137519200,294679611,294679611,3,1,15323339804,73389,73389,2,2,2,294679615,5,3,114392,5803855,1440968,76578,41847,5047181575,2623067,106190237,2067
35043.68,179,262144,64,265294,17481689314,8,29552506,1279,11,11,2127,1755,13,576,2999428,0,4,104180,11,117508164,1154,1,4,293,329792542,4,1319170168,10,47680,23684,2,86,576,120863369,89917,5781770553,576,326,0,2,1,3,1,2,2,673,3,5755462366,5524579088,160651853,334857375,334873759,3,1,17412583532,73389,73389,2,2,2,334857379,5,3,134923,6472858,1590883,85785,47667,5755462366,2913643,119276387,2067
40048.17,179,262144,64,295842,19494132198,8,33608141,1414,11,11,2127,1959,13,576,3224607,0,4,116141,11,117508164,1154,1,4,293,367606758,4,1470427032,10,53399,24385,2,86,576,131293999,90476,6473968053,576,326,0,2,1,3,1,2,2,673,3,6444609212,6162927536,175973956,373227310,373243694,3,1,19407820152,73389,73389,2,2,2,373227314,5,3,143156,7000325,1696351,93250,53386,6444609212,3131357,129601999,2067
45051.89,180,262144,64,320614,21128039146,12,40609123,1575,14,14,2127,2119,13,576,3387749,0,4,125781,11,117508164,1154,1,4,293,398132346,4,1592529384,10,58121,24919,2,86,576,138989806,91208,7044686439,576,326,0,2,1,3,1,2,2,673,3,7012824681,6681150861,191287967,404365868,404365868,3,1,21027025168,73389,73389,2,2,2,404365872,5,3,153125,7391928,1777673,98740,58105,7012824681,3289009,137217048,2067
50056.26,180,262144,64,340567,22443799372,12,44494389,1716,14,14,2127,2247,13,576,3505692,0,4,133612,11,117508164,1154,1,4,293,422918701,4,1691674804,10,61882,25086,2,86,576,144801007,91353,7499994532,576,326,0,2,1,3,1,2,2,673,3,7466146088,7098787969,201438667,429442790,429442790,3,1,22331025112,73389,73389,2,2,2,429442794,5,3,155755,7680335,1828753,102945,61866,7466146088,3402747,142977476,2067
55060.78,181,262144,64,362766,23905619250,18,53526072,1897,20,20,2127,2394,13,576,3649289,0,4,142281,11,117508164,1154,1,4,293,450330911,4,1801259008,10,66161,25367,2,86,576,151520283,92147,8016516764,576,326,0,2,1,3,1,2,2,673,3,7980404439,7563417578,217745644,457238185,457238185,3,1,23776385652,73389,73389,2,2,2,457238189,5,3,170347,8029526,1910076,107756,66139,7980404439,3541533,149615601,2067
60088.96,200,262144,64,385673,25416288014,21,60596641,2121,33,33,2127,2527,14,576,3912433,0,4,151211,16,117508164,1154,1,4,293,478617260,4,1914469040,15,70520,34065,2,4621,576,161954713,997773,8547247059,576,326,0,2,1,3,1,2,2,673,3,8508747538,8043130618,237000024,485984679,486033831,3,1,25271203340,73389,73389,2,2,2,485984683,5,3,212071,9015364,2254093,119256,70485,8508747538,3793177,159705247,2067
65105.23,381,262144,64,417796,27533241160,21,71812186,2719,33,33,2127,2739,49,585,5085169,2,4,163685,16,118949768,1172,1,4,293,518095980,4,2072383920,15,76897,131229,2,4621,585,202010348,7801164,9318581979,583,408,2,2,1,3,1,2,2,673,3,9276075297,8717702525,298313220,526164602,526197370,3,1,27359707368,73389,73389,2,2,2,526148222,5,3,258894,14340529,3627194,159547,76862,9276075297,4925622,198387255,2275
70129.46,537,262144,64,450716,29702923338,22,83308992,3279,33,33,2127,2948,72,585,6289502,2,4,176513,16,118949768,1172,1,4,293,558675863,4,2234509348,15,83548,198160,2,4621,585,242199697,14730490,10124748549,583,408,2,2,1,3,1,2,2,673,3,10078101091,9409919078,360124978,567289394,567322162,3,1,29499048520,73389,73389,2,2,2,567289398,5,3,291950,19874748,4916697,201534,83514,10078101091,6087968,237284693,2275
