timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5026.51,95,262144,64,22909,1509593236,12,18816837,362,14,14,1424,191,9,576,650381,0,8,8914,16,3,105080184,1154,1,4,4161,28320123,37,113215824,15,4274,41185,2,18935,576,22476897,3839056,512888291,576,2174,0,3,1,2,2,7623,3,510255224,478442660,46963842,28820666,28820666,3,1,1498674664,73389,73389,2,2,2,28820670,23,1,3,90567,3032906,1159716,21405,4258,510255224,628976,21316562,10634
10030.95,95,262144,64,38576,2542282220,13,20136458,578,14,14,1424,295,9,576,741303,0,8,15088,16,3,110401290,1154,1,4,4161,47849117,37,191396468,15,6977,41378,2,18935,576,26940316,3839843,839397772,576,2174,0,3,1,2,2,7623,3,835332341,803682823,53094191,48678013,48678013,3,1,2531256708,73389,73389,2,2,2,48678017,23,1,3,91249,3251324,1191274,24282,6961,835332341,717021,25748665,10634
15036.26,95,262144,64,53662,3536267356,13,20601814,814,14,14,1424,399,9,576,828573,0,8,21040,16,3,111270042,1154,1,4,4161,66655800,37,266558540,15,9582,41503,2,18935,576,31254249,3839939,1153224636,576,2174,0,3,1,2,2,7623,3,1147779311,1116655213,58210415,67786014,67786014,3,1,3524872760,73389,73389,2,2,2,67786018,23,1,3,91296,3465522,1230588,27135,9566,1147779311,801438,30023460,10634
20053.87,133,262144,64,70849,4668933040,15,26295602,1154,23,23,1424,504,14,576,1167776,0,8,27834,16,3,113490186,1154,1,4,4161,88015030,37,352060120,15,12531,87272,2,18935,576,44022243,5953500,1510859168,576,2174,0,3,1,2,2,7623,3,1503625240,1473019654,79527257,89549938,89582706,3,1,4656596808,73389,73389,2,2,2,89549942,23,1,3,120911,5142963,1641350,38796,12506,1503625240,1128980,42380653,10634
25060.42,237,262144,64,93531,6163878858,16,35082824,1574,24,24,1424,656,38,576,1846080,0,8,36797,16,3,115312152,1154,1,4,4161,116437562,37,465621204,15,16427,139779,2,18935,576,68006038,10611828,1982107665,576,2174,0,3,1,2,2,7623,3,1972301340,1943688736,118920939,118311101,118327485,3,1,6152177284,73389,73389,2,2,2,118311105,23,1,3,147984,8642415,2400487,66199,16402,1972301340,1779882,65605240,10634
30086.59,276,262144,64,108314,7137125768,23,44881676,1901,30,30,1424,751,44,576,2107086,0,8,42623,16,3,116579082,1154,1,4,4161,134876881,37,539378308,15,18960,159709,2,18935,576,78783292,12241572,2288956268,576,2174,0,3,1,2,2,7623,3,2277637405,2250001950,141893310,137048747,137048747,3,1,7126534876,73389,73389,2,2,2,137048751,23,1,3,185197,9931981,2727908,75331,18928,2277637405,2031755,76055867,10634
35109.05,355,262144,64,129328,8520851110,23,51192604,2300,30,30,1424,884,53,576,2733570,0,8,50874,16,3,117508164,1154,1,4,4161,161089235,37,644227804,15,22571,230082,2,18935,576,102292202,16584422,2726937635,576,2174,0,3,1,2,2,7623,3,2713237653,2685807623,177748440,163660176,163660176,3,1,8510329184,73389,73389,2,2,2,163660180,23,1,3,208684,13145893,3479336,98372,22539,2713237653,2635198,98811887,10634
40113.60,382,262144,64,144631,9529093756,29,60080963,2654,30,30,1424,979,55,576,3018094,0,8,56897,16,3,117508164,1154,1,4,4161,180162999,37,720629228,15,25200,258085,2,18935,576,113231100,18345376,3047531203,576,2174,0,3,1,2,2,7623,3,3032239983,3003280021,200205553,183046705,183046705,3,1,9518428692,73389,73389,2,2,2,183046709,23,1,3,219348,14531781,3799520,108253,25168,3032239983,2909841,109430482,10634
45117.73,382,262144,64,158757,10460188464,29,60842818,3013,30,30,1424,1071,55,576,3097564,0,8,62473,16,3,117508164,1154,1,4,4161,197798733,37,791172164,15,27647,258220,2,18935,576,117278688,18345452,3343343692,576,2174,0,3,1,2,2,7623,3,3326754620,3296439284,205317501,200950482,200950482,3,1,10449425096,73389,73389,2,2,2,200950486,23,1,3,219390,14724854,3827022,110929,27615,3326754620,2986635,113450523,10634
50121.68,412,262144,64,175787,11582528798,29,63069868,3398,37,37,1424,1183,59,576,3379928,0,8,69193,16,3,117508164,1154,1,4,4161,219048736,37,876194944,15,30609,271258,2,18935,576,128480728,19896568,3701059154,576,2174,0,3,1,2,2,7623,3,3682741240,3649848614,221069214,222517798,222517798,3,1,11570925528,73389,73389,2,2,2,222517802,23,1,3,251909,16031556,4215421,120791,30570,3682741240,3259137,124264092,10634
