timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.02,7,262144,64,42958,2830739968,0,0,0,12,12,610305,122,585,498848,2,8427,6,15,1548,124749708,1172,1,14,6706,4488,2,1631,585,6125511,34445,880245649,585,600,2,1,2,2,440,1,876913052,830780549,11831055,63985370,64001754,2,1,2815356280,73389,73389,2,2,2,63985370,9,3,63426,1009164,722124,9804,6692,876913052,489044,5404408,3156
10026.15,7,262144,64,84249,5551398870,0,0,0,12,12,610305,128,585,1009867,2,20068,6,15,1548,125811516,1172,1,14,12771,8566,2,1631,585,14948271,106715,1678105410,585,600,2,1,2,2,440,1,1671733660,1626172342,33768590,125822721,125822721,2,1,5536199724,73389,73389,2,2,2,125822721,9,3,85270,2036717,987094,19499,12757,1671733660,990368,13961409,3156
15035.03,7,262144,64,121403,7999837334,0,0,0,12,12,610305,135,585,1522149,2,30588,6,15,1548,127102578,1172,1,14,18230,13913,2,1631,585,27278497,279551,2396519525,585,600,2,1,2,2,440,1,2387386780,2341814118,64955453,181475556,181475556,2,1,7984203568,73389,73389,2,2,2,181459172,9,3,106835,3069359,1313581,28908,18216,2387386780,1493241,25965306,3156
20045.04,7,262144,64,156799,10332291286,0,0,0,12,12,610305,141,585,1999121,2,40569,6,15,1548,128152320,1172,1,14,23432,19549,2,1631,585,36042283,450593,3080993558,585,600,2,1,2,2,440,1,3069223324,3023676092,98457456,234480660,234480660,2,1,10316428144,73389,73389,2,2,2,234464276,9,3,128353,4065106,1622864,38246,23418,3069223324,1960875,34420971,3156
25054.08,7,262144,64,185005,12190886878,0,0,0,12,12,610305,145,585,2481865,2,48480,6,15,1548,128683224,1172,1,14,27576,25877,2,1631,585,45564889,870742,3626296057,585,600,2,1,2,2,440,1,3612385692,3566988807,123477673,276718490,276718490,2,1,12175613560,73389,73389,2,2,2,276718490,9,3,138390,5064337,1978950,47384,27562,3612385692,2434481,43589128,3156
30066.44,7,262144,64,212250,13985971470,1,1000075,1,12,12,610305,150,585,2967991,2,56187,6,15,1548,129479580,1172,1,14,31576,32709,2,1631,585,55012589,1605029,4152658324,585,600,2,1,2,2,440,1,4136673692,4091692440,182869416,317510654,317527038,2,1,13970468776,73389,73389,2,2,2,317510654,9,3,162345,6151242,2428115,56868,31562,4136673692,2911123,52588222,3156
35076.24,7,262144,64,241547,15916670138,1,1000075,1,12,12,610305,155,585,3447647,2,64449,6,15,1548,130275936,1172,1,14,35880,40389,2,1631,585,64607207,2327073,4719010279,585,600,2,1,2,2,440,1,4700807580,4656171202,209509597,361390758,361390758,2,1,15900472456,73389,73389,2,2,2,361374374,9,3,173041,7196523,2802173,66294,35866,4700807580,3381353,61809105,3156
40090.10,7,262144,64,270086,17796823766,1,1000075,1,12,12,610305,160,585,3916056,2,72500,6,15,1548,130806840,1172,1,14,40073,47869,2,1631,585,76196889,3206728,5270762258,585,600,2,1,2,2,440,1,5250392476,5205720687,242174765,404138651,404138651,2,1,17781379748,73389,73389,2,2,2,404122267,9,3,190117,8244459,3263668,75760,40059,5250392476,3840296,72937721,3156
45099.55,7,262144,64,298106,19643241728,1,1000075,1,12,12,610305,164,585,4388509,2,80370,6,15,1548,131603196,1172,1,14,44191,54444,2,1631,585,84946694,3995213,5812649232,585,600,2,1,2,2,440,1,5790146972,5745541003,263798053,446097953,446097953,2,1,19627589036,73389,73389,2,2,2,446081569,9,3,200331,9334644,3634321,85498,44177,5790146972,4303011,81317612,3156
50110.94,7,262144,64,328141,21622486954,4,7893092,39,14,14,610305,169,585,4868857,2,88838,6,15,1548,132399552,1172,1,14,48605,61284,2,1631,585,93792250,4648491,6393341153,585,600,2,1,2,2,440,1,6368567708,6324088031,438312950,491081818,491081818,2,1,21607599992,73389,73389,2,2,2,491081818,9,3,222070,10396255,4043890,95100,48590,6368567708,4773757,89754375,3156
