timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.86,99,262144,64,18573,1223836428,11,16587666,370,13,13,1286,163,14,576,552988,12,7262,15,2,102860040,1154,1,4,16583,22941871,25,91767484,14,3486,53694,2,25982,576,18743429,3467327,417384347,576,5255,3,1,2,2,18367,3,415203469,388525633,40345007,23334629,23334629,3,1,1213400740,73389,73389,2,2,2,23334633,31,1,3,88911,2757453,960726,17852,3471,415203469,535136,17781224,10936
10035.63,137,262144,64,34847,2296088576,13,22898201,747,20,20,1286,270,26,576,931399,12,13655,15,2,107903628,1154,1,4,16583,43160432,25,172641728,14,6314,83571,2,25982,576,33859343,5940570,758436155,576,5255,3,1,2,2,18367,3,754499554,726281948,65150787,43939607,43939607,3,1,2284859596,73389,73389,2,2,2,43939611,31,1,3,116979,4623079,1485172,30547,6292,754499554,900852,32373417,10936
15051.99,220,262144,64,54842,3614854700,13,29562739,1171,20,20,1286,401,35,576,1542119,12,21538,15,2,112874820,1154,1,4,16583,68139981,25,272495348,14,9752,142153,2,25982,576,57274397,10046224,1174744499,576,5255,3,1,2,2,18367,3,1168532291,1141073955,101143642,69260130,69325666,3,1,3601526792,73389,73389,2,2,2,69260134,31,1,3,137040,7648085,2109390,51007,9730,1168532291,1491112,55165092,10936
20056.42,271,262144,64,68322,4502985720,19,37125908,1512,20,20,1286,485,39,576,1691376,12,26838,15,2,114757116,1154,1,4,16583,84931216,25,339724864,14,12071,147228,2,25982,576,63815375,10599750,1456479462,576,5255,3,1,2,2,18367,3,1448961194,1420808850,116314083,86398177,86398177,3,1,4492705236,73389,73389,2,2,2,86398181,31,1,3,149071,8218295,2264808,56094,12049,1448961194,1635282,61550749,10936
25061.11,271,262144,64,82333,5426230072,19,37931692,1873,20,20,1286,578,39,576,1769635,12,32369,15,2,114757116,1154,1,4,16583,102448486,25,409793944,14,14474,147320,2,25982,576,67821786,10599816,1747316477,576,5255,3,1,2,2,18367,3,1738520809,1711364882,121426600,104156657,104156657,3,1,5416146196,73389,73389,2,2,2,104156661,31,1,3,149138,8409044,2289283,58706,14452,1738520809,1710929,65532924,10936
30065.41,303,262144,64,98663,6501512738,28,49222344,2247,29,29,1286,683,44,576,2046515,12,38813,15,2,115384548,1154,1,4,16583,122889223,25,491556892,14,17303,164163,2,25982,576,79003602,12154020,2089099015,576,5255,3,1,2,2,18367,3,2078637106,2049903921,146242482,124823297,124823297,3,1,6489959508,73389,73389,2,2,2,124806917,31,1,3,178353,9671331,2671419,68362,17272,2078637106,1978153,76333602,10936
35069.99,303,262144,64,110896,7307311033,28,50202601,2576,29,29,1286,763,44,576,2115705,12,43638,15,2,115384548,1154,1,4,16583,138175367,25,552701468,14,19411,164265,2,25982,576,82856299,12154056,2344932004,576,5255,3,1,2,2,18367,3,2333339654,2303668228,151344396,140310878,140327262,3,1,7296165688,73389,73389,2,2,2,140310882,31,1,3,179549,9840478,2703143,70940,19380,2333339654,2044765,80154807,10936
40094.34,363,262144,64,125843,8292783932,28,54488140,2933,35,35,1286,863,56,576,2462450,12,49501,15,2,116325696,1154,1,4,16583,156768251,25,626943688,14,22009,178444,2,25982,576,96028776,14233809,2658337718,576,5255,3,1,2,2,18367,3,2645166191,2614178705,171093722,159250721,159267105,3,1,8281037524,73389,73389,2,2,2,159250725,31,1,3,218166,11461397,3249620,83299,21972,2645166191,2379151,92780730,10936
45114.26,434,262144,64,143970,9487355106,28,63695428,3358,35,35,1286,973,66,576,3047756,12,56626,15,2,116928996,1154,1,4,16583,179298586,25,717129804,14,25119,236887,2,25982,576,117820813,18163278,3036931950,576,5255,3,1,2,2,18367,3,3021709309,2990482673,207959217,182200326,182216710,3,1,9473565016,73389,73389,2,2,2,182183946,31,1,3,236682,14348513,3920049,105356,25082,3021709309,2942400,113900338,10936
50143.12,525,262144,64,162755,10724373272,28,71999725,3781,35,35,1286,1099,80,576,3631685,12,63999,15,2,116928996,1154,1,4,16583,202666405,25,810472020,14,28350,276685,2,25982,576,139630723,22113374,3428378603,576,5255,3,1,2,2,18367,3,3411043571,3380007670,243861089,206000184,206000184,3,1,10711157632,73389,73389,2,2,2,205983804,31,1,3,261121,17241194,4599271,126132,28313,3411043571,3505553,135030583,10936
