timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.64,262144,64,59133,3896636778,19,19,461761,124,0,585,483633,2,13002,22,17,125280612,1172,1,21,9087,1172,2,100,585,8299366,906,1192561882,585,115,2,1,2,2,265,1,1188077980,1142428558,16604078,88202576,88218960,2,1,3880913344,73389,73389,2,2,2,88202576,3,3,60184,948885,451595,10472,9066,1188077980,473161,7848537,1443
10013.65,262144,64,116571,7681574670,19,19,1470466,134,0,585,919345,2,29160,22,17,127102578,1172,1,21,17527,2028,2,100,585,19057271,5996,2302904558,585,115,2,1,2,2,265,1,2294194588,2248830399,42707598,174222206,174238590,2,1,7665777064,73389,73389,2,2,2,174222206,3,3,98318,1810712,700297,20217,17506,2294325660,899168,18358359,1443
15018.34,262144,64,174354,11488881162,19,19,3057489,144,0,585,1343770,2,45468,22,17,128417772,1172,1,21,26017,2926,2,100,585,29133167,7001,3420095170,585,115,2,1,2,2,265,1,3407126940,3361724969,67838216,260768283,260768283,2,1,11473804452,73389,73389,2,2,2,260768283,3,3,128224,2644939,924239,29705,25996,3407126940,1314065,28210071,1443
20069.03,262144,64,222109,14635541770,19,19,4592644,152,0,585,1784092,2,58985,22,17,129479580,1172,1,21,33032,13396,2,100,585,37193372,878525,4343179748,585,115,2,1,2,2,265,1,4326597020,4281641753,86423135,332277339,332277339,2,1,14620202916,73389,73389,2,2,2,332277339,3,3,145781,3886067,1152433,39672,33011,4326597020,1744420,36042599,1443
25091.80,262144,64,230264,15173173274,19,19,5659921,153,0,585,2018563,2,61263,22,17,130010484,1172,1,21,34230,58029,2,100,585,41660984,4416551,4500912150,585,115,2,1,2,2,265,1,4483621276,4438797891,149548361,344498471,344498471,2,1,15157932724,73389,73389,2,2,2,344498471,3,3,157399,5673811,1459000,47010,34209,4483621276,1971553,40203806,1443
30106.69,262144,64,240398,15840838370,19,19,6112204,155,0,585,2311381,2,64137,22,17,130275936,1172,1,21,35718,92375,2,100,585,45775800,7189229,4696937690,585,115,2,1,2,2,265,1,4678787484,4633987087,209344905,359658372,359674756,2,1,15824968368,73389,73389,2,2,2,359658372,3,3,167031,7263021,1778853,56962,35698,4678787484,2254419,43997519,1443
35132.52,262144,64,250500,16506268382,19,19,6559811,156,0,585,2602286,2,66948,22,17,130275936,1172,1,21,37202,117796,2,100,585,50787257,10158229,4892175207,585,115,2,1,2,2,265,1,4873167260,4828526684,264441674,374785505,374801889,2,1,16490562220,73389,73389,2,2,2,374785505,3,3,173934,8773371,2114274,65877,37181,4873167260,2536409,48673734,1443
40163.79,262144,64,260881,17190379462,19,19,6999329,158,0,585,2894503,2,69888,22,17,130541388,1172,1,21,38727,148444,2,100,585,54794491,12637893,5092940643,585,115,2,1,2,2,265,1,5073052060,5028425457,417294681,390344655,390344655,2,1,17174443924,73389,73389,2,2,2,390328271,3,3,183335,10325340,2436295,75174,38706,5073052060,2819329,52357326,1443
45187.36,262144,64,271098,17863677102,19,19,7502527,160,1,585,3194205,2,72786,22,17,130806840,1172,1,21,40228,182898,2,100,585,61102910,15668019,5290546651,585,115,2,1,2,2,265,1,5269791132,5225259009,476358883,405658045,405658045,2,1,17848953980,73389,73389,2,2,2,405658045,3,3,196186,11892764,2816194,84793,40207,5269791132,3109412,58286210,1443
50203.90,262144,64,281231,18531469718,19,19,8038442,161,1,585,3490370,2,75603,22,17,131072292,1172,1,21,41718,207003,2,100,585,66844400,18772960,5486706952,585,115,2,1,2,2,265,1,5465088412,5420506077,541143807,420832171,420832171,2,1,18515894628,73389,73389,2,2,2,420815787,3,3,209767,13452089,3169457,93841,41697,5465088412,3396529,63674970,1443
