timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.51,2,262144,64,40254,2652468816,0,0,0,15,15,792143,121,0,585,448530,2,7689,9,18,948,124749708,1172,1,17,6310,3037,2,1026,585,6274049,13122,827761018,585,397,2,1,2,2,353,1,824615324,778647131,10799202,59930774,59947158,2,1,2636954056,73389,73389,2,2,2,59930774,5,3,306200,886954,961670,8136,6293,824615324,440394,5313234,2706
10018.32,2,262144,64,81544,5373062182,0,0,0,15,15,792143,128,0,585,918407,2,19328,9,18,948,125811516,1172,1,17,12376,6727,2,1026,585,17748325,65833,1625886577,585,397,2,1,2,2,353,1,1619698076,1574055725,42166773,121768125,121768125,2,1,5357076604,73389,73389,2,2,2,121751741,5,3,325839,1835738,1257641,17282,12359,1619698076,901125,16492249,2706
15024.96,2,262144,64,120098,7914047402,0,0,0,15,15,792143,134,0,585,1468047,2,30177,9,18,948,127102578,1172,1,17,18043,12394,2,1026,585,26687148,159016,2371394489,585,397,2,1,2,2,353,1,2362352028,2316747298,63794101,179511635,179528019,2,1,7898511940,73389,73389,2,2,2,179511635,5,3,334693,2891029,1523930,26612,18026,2362352028,1441435,25165594,2706
20032.92,2,262144,64,155316,10234570494,1,1000129,3,15,15,792143,140,0,585,1957857,2,40110,9,18,948,127886868,1172,1,17,23218,18649,2,1026,585,36844335,317310,3052450322,585,397,2,1,2,2,353,1,3040780700,2995146739,117077490,232256754,232256754,2,1,10218576280,73389,73389,2,2,2,232240370,5,3,348377,3889082,1836061,35772,23201,3040780700,1922085,35010833,2706
25046.14,2,262144,64,188474,12419558522,3,3000259,3,15,15,792143,146,0,585,2439794,2,49482,9,18,948,128948676,1172,1,17,28087,24060,2,1026,585,46335658,529434,3693124838,585,397,2,1,2,2,353,1,3678970268,3633804883,160782211,281901423,281917807,2,1,12403662612,73389,73389,2,2,2,281901423,5,3,359855,4876241,2127928,44961,28070,3678970268,2394833,44210074,2706
30055.07,2,262144,64,216149,14242823594,4,4000325,4,15,15,792143,151,2,585,2942457,2,57270,9,18,948,129479580,1172,1,17,32152,31375,2,1026,585,58673369,1146836,4228036980,585,397,2,1,2,2,353,1,4211777948,4166827686,217986380,323348947,323365331,2,1,14227353668,73389,73389,2,2,2,323348947,5,3,371062,5919553,2510278,54487,32135,4211777948,2887970,56164477,2706
35062.76,2,262144,64,243478,16043751058,7,10954819,28,15,15,792143,155,2,585,3422630,2,64977,9,18,948,130275936,1172,1,17,36167,38927,2,1026,585,68377606,1923534,4756243237,585,397,2,1,2,2,353,1,4737900956,4693303096,400363199,364270024,364286408,2,1,16027881056,73389,73389,2,2,2,364270024,5,3,377269,6972773,2868492,64169,36150,4737900956,3358461,65511239,2706
40076.22,2,262144,64,271577,17895068846,8,17515979,55,17,17,792143,160,2,585,3884828,2,72918,9,18,948,130806840,1172,1,17,40296,44946,2,1026,585,75899144,2559525,5299444051,585,397,2,1,2,2,353,1,5278966172,5234420133,457891081,406362557,406378941,2,1,17879952508,73389,73389,2,2,2,406362557,5,3,390962,8005358,3211718,73861,40277,5278966172,3810967,72690311,2706
45087.89,2,262144,64,298515,19670299338,8,17515979,55,17,17,792143,164,2,585,4357738,2,80484,9,18,948,131603196,1172,1,17,44257,51579,2,1026,585,84464993,3261807,5820674947,585,397,2,1,2,2,353,1,5798142364,5753431039,478986506,446710194,446726578,2,1,19655248536,73389,73389,2,2,2,446710194,5,3,405303,9061725,3584443,83111,44238,5798142364,4274627,80884777,2706
50103.50,2,262144,64,325809,21468860646,8,17515979,55,20,20,792143,169,2,585,4828638,2,88200,9,18,948,132399552,1172,1,17,48269,60115,2,1026,585,94177498,4109500,6348220687,585,397,2,1,2,2,353,1,6323610012,6279180720,515875562,487590311,487590311,2,1,21453252788,73389,73389,2,2,2,487573927,5,3,419410,10118324,3974172,92462,48247,6323610012,4736176,90209615,2706
55114.90,2,262144,64,355328,23413770458,8,17515979,55,20,20,792143,174,2,585,5280967,2,96525,9,18,948,132930456,1172,1,17,52602,65780,2,1026,585,104291517,4731541,6918387292,585,397,2,1,2,2,353,1,6891544988,6847719048,542464165,531775678,531792062,2,1,23398129832,73389,73389,2,2,2,531775678,5,3,430435,11119318,4342011,102234,52580,6891544988,5178733,99955777,2706
60127.12,2,262144,64,383512,25270912192,8,17515979,55,20,20,792143,179,2,585,5749615,2,104484,9,18,948,133726812,1172,1,17,56743,72882,2,1026,585,113210059,5431350,7463299722,585,397,2,1,2,2,353,1,7434314140,7390678606,573771424,573966515,573988932,2,1,25254526660,73389,73389,2,2,2,573966515,5,3,440821,12155266,4690644,112100,56721,7434314140,5637515,108526171,2706
