timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5049.25,10,262144,64,29319,1931850876,8957,3,45,45,590769,119,585,885490,14,4598,48,32280,124484256,1172,1,47,4735,287415,2,41668,585,10112297,9370518,616848562,585,1746,10,1,2,1,2,2,1021,1,614113692,567991644,37649055,43562775,43562775,2,1,1916762100,73389,73389,2,2,2,43562775,26,1,3,327067,7186921,2724510,22714,4688,614113692,862776,7386028,9267
10065.69,10,262144,64,39940,2631890512,8957,3,45,45,1062526,121,585,1181288,14,7604,48,32280,124749708,1172,1,47,6295,318517,2,41668,585,15320171,12328305,822350538,585,1746,10,1,2,1,2,2,1021,1,818717084,772654852,74099734,59472022,59472022,2,1,2616768968,73389,73389,2,2,2,59472022,26,1,3,341076,8820786,3095341,33438,6248,818717084,1147850,12222515,9267
15084.22,10,262144,64,50640,3337107492,8957,3,45,45,1530575,123,585,1496585,14,10629,48,32280,125280612,1172,1,47,7866,368153,2,41668,585,19673087,14939993,1029164211,585,1746,10,1,2,1,2,2,1021,1,1024631196,978883687,98510643,75479573,75495957,2,1,3321101212,73389,73389,2,2,2,75479573,26,1,3,351808,10384795,3449020,43750,7819,1024631196,1452835,16220854,9267
20101.62,10,262144,64,61332,4041546798,8957,3,45,45,1999332,125,585,1799557,14,13656,48,32280,125546064,1172,1,47,9436,389930,2,41668,585,25354762,17870297,1235978647,585,1746,10,1,2,1,2,2,1021,1,1230545308,1184770941,137076036,91497475,91513859,2,1,4025888900,73389,73389,2,2,2,91497475,26,1,3,361857,11913835,3796558,54891,9390,1230545308,1744666,21554539,9267
25122.65,10,262144,64,71785,4730057548,8957,3,45,45,2466398,126,585,2102416,14,16560,48,32280,125546064,1172,1,47,10973,405193,2,41668,585,30146957,20728141,1438189301,585,1746,10,1,2,1,2,2,1021,1,1431871900,1386135712,184789043,107148896,107148896,2,1,4713830528,73389,73389,2,2,2,107132512,26,1,3,372148,13489759,4143307,65311,10926,1431871900,2037105,25999234,9267
30126.29,10,262144,64,94882,6252200806,8957,3,45,45,3408244,130,585,2436111,14,23079,48,32280,126318288,1172,1,47,14366,428336,2,41668,585,37144991,22901663,1884679484,585,1746,10,1,2,1,2,2,1021,1,1876599196,1831007803,209730130,141748352,141748352,2,1,6236206592,73389,73389,2,2,2,141731968,26,1,3,387277,14831225,4465281,73939,14319,1876599196,2362172,32675093,9267
35129.92,10,262144,64,153290,10100998202,8957,3,45,45,5217571,140,585,2862156,14,39504,48,32280,127886868,1172,1,47,22948,428763,2,41668,585,48353448,22941046,3013822361,585,1746,10,1,2,1,2,2,1021,1,3001459100,2956113076,247758293,229207615,229223999,2,1,10085135060,73389,73389,2,2,2,229207615,26,1,3,420232,15653893,4703325,83040,22902,3001459100,2779116,43646000,9267
40148.29,10,262144,64,196504,12948467122,8957,3,45,45,6578218,147,585,3245907,14,51729,48,32280,128948676,1172,1,47,29297,441238,2,41668,585,55956701,23532388,3849087044,585,1746,10,1,2,1,2,2,1021,1,3833504156,3788376956,266465044,293930265,293946649,2,1,12932931660,73389,73389,2,2,2,293930265,26,1,3,437868,16705033,4891916,91827,29250,3833504156,3154080,51060977,9267
45152.82,10,262144,64,252449,16634859938,8957,3,45,45,8209773,157,585,3685677,14,67481,48,32280,130541388,1172,1,47,37515,445118,2,41668,585,67109320,24242397,4930395680,585,1746,10,1,2,1,2,2,1021,1,4910653852,4866067404,316651291,377703572,377719956,2,1,16618957168,73389,73389,2,2,2,377703572,26,1,3,471801,17693307,5188105,101879,37468,4910653852,3583798,61917848,9267
50157.77,10,262144,64,312627,20599921506,8957,3,45,45,9112979,167,585,4126003,14,84441,48,32280,131868648,1172,1,47,46356,445682,2,41668,585,77249527,24279391,6093807840,585,1746,10,1,2,1,2,2,1021,1,6069592476,6025267386,345511128,467839460,467839460,2,1,20584936240,73389,73389,2,2,2,467839460,26,1,3,487289,18547187,5377262,111468,46309,6069592476,4014535,71868829,9267
55162.04,10,262144,64,364310,24005600234,8957,3,45,45,9406038,175,585,4479006,14,99030,48,32280,133195908,1172,1,47,53947,446426,2,41668,585,86794047,24280103,7092449258,585,1746,10,1,2,1,2,2,1021,1,7064428956,7020695064,372607166,545233802,545250186,2,1,23990287288,73389,73389,2,2,2,545233802,26,1,3,564133,19271862,5703721,119999,53900,7064428956,4359007,81087233,9267
