timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.22,11,262144,64,16190,1067048774,0,2321516,203,2,2,5474,169,0,576,171823,10,6360,5,102847974,1154,1,4,352,20014237,10,80056948,4,3163,890,2,27,576,7242467,616,374431097,576,581,3,1,2,2,790,3,372661987,339129160,10162794,20316099,20316099,3,1,1056437180,73389,73389,2,2,2,20316103,7,3,83365,377996,242952,5151,3159,372661987,166672,6999697,2508
10018.31,11,262144,64,31427,2071569344,2,5808141,337,4,4,5474,252,0,576,281557,10,12344,6,108169080,1154,1,4,352,39034157,10,156072056,5,5792,1318,2,50,576,12458733,884,696605417,576,581,3,1,2,2,790,3,693391210,655417809,19271459,39624582,39624582,3,1,2060478296,73389,73389,2,2,2,39624586,7,3,98940,628769,312975,8647,5786,693391210,272910,12146014,2508
15023.28,11,262144,64,48176,3174866630,2,10041411,444,4,4,5474,355,1,576,395778,10,18940,6,112259454,1154,1,4,352,59930763,10,239658424,5,8635,1781,2,50,576,17991143,1135,1040347178,576,581,3,1,2,2,790,3,1035566822,1002701641,29462912,60843960,60843960,3,1,3163885952,73389,73389,2,2,2,60843964,7,3,103990,894546,373066,12382,8629,1035566822,383396,17618516,2508
20028.08,13,262144,64,64745,4266705284,4,14721903,660,5,5,5474,467,1,576,502854,10,25464,7,116349828,1154,1,4,352,80567813,10,322271252,6,11473,2054,2,62,576,23189050,1967,1384882970,576,581,3,1,2,2,790,3,1378548649,1346309599,39748196,81848187,81848187,3,1,4256105756,73389,73389,2,2,2,81848191,7,3,118724,1150841,439375,15983,11466,1378548649,486871,22750159,2508
25060.88,109,262144,64,85158,5611731252,5,23012341,1081,13,13,5474,603,12,576,1095068,10,33504,13,116928996,1154,1,4,352,105987053,10,423883716,12,14967,44223,2,150,576,45695119,3855781,1806707444,576,581,3,1,2,2,790,3,1798112087,1769942605,76057259,107693442,107709826,3,1,5600059016,73389,73389,2,2,2,107693446,7,3,156768,3956204,1232535,38333,14952,1798112087,1056735,44464056,2508
30088.18,218,262144,64,106222,6998455876,6,33214691,1522,15,15,5474,734,25,576,1776870,10,41772,13,116928996,1154,1,4,352,132208886,10,528706420,12,18587,94292,2,150,576,72187603,8389363,2245471274,576,581,3,1,2,2,790,3,2234458416,2206462754,119200727,134356182,134372566,3,1,6985669528,73389,73389,2,2,2,134339802,7,3,183692,7242522,2054313,62600,18570,2234458416,1714270,70130834,2508
35111.68,346,262144,64,132727,8746431418,7,43457352,2007,17,17,5474,901,40,576,2601247,10,52230,14,117508164,1154,1,4,352,165345288,10,661316504,13,23124,157509,2,3158,576,104177586,13864134,2797206583,576,581,3,1,2,2,790,3,2783172282,2756842432,169232842,167982505,167998889,3,1,8735090292,73389,73389,2,2,2,167982509,7,3,215026,11187133,3004943,91002,23106,2783172282,2510245,101165949,2508
40128.64,475,262144,64,163382,10766405492,7,55895343,2574,19,19,5474,1102,59,576,3542712,10,64304,16,117508164,1154,1,4,352,203602523,10,814345456,15,28414,224606,2,5381,576,140823671,19522291,3438610340,576,581,3,1,2,2,790,3,3421090430,3392686249,226404987,206818940,206884476,3,1,10754584912,73389,73389,2,2,2,206818944,7,3,251586,15478398,4106610,123250,28395,3421090430,3419462,136713222,2508
45147.69,613,262144,64,193930,12779391346,8,68883594,3144,19,19,5474,1302,81,576,4543853,10,76295,16,117508164,1154,1,4,352,241609779,10,966245052,15,33653,305052,2,5381,576,179399392,25895616,4074083719,576,581,3,1,2,2,790,3,4053109007,4026369430,287247233,245532495,245581647,3,1,12766837804,73389,73389,2,2,2,245516115,7,3,299643,20254163,5378939,158807,33634,4053109007,4385064,174014189,2508
50152.72,670,262144,64,216088,14239067218,17,84828191,3412,19,19,5474,1443,86,576,5015246,10,85020,16,117508164,1154,1,4,352,269301859,10,1077207436,15,37480,329380,2,5381,576,197622735,28469213,4538757751,576,581,3,1,2,2,790,3,4515435749,4486362527,325390376,273603815,273603815,3,1,14227398412,73389,73389,2,2,2,273603819,7,3,321862,22304235,5892436,179284,37459,4515435749,4835962,191722513,2508
