timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5041.59,89,262144,64,15552,1025828040,5,13080510,362,11,11,7201,150,15,576,550130,0,16,6081,14,1,103439208,1154,1,4,1051,19153085,21,76612340,13,3031,64412,2,4165,576,18770858,4060709,360751617,576,2279,0,3,1,2,2,2907,3,358800523,326209130,37341735,19508965,19508965,3,1,1014466212,73389,73389,2,2,2,19508969,41,2,3,82689,2978402,983464,18352,3018,358800523,531778,17788345,11423
10058.40,157,262144,64,31546,2078764828,6,20982160,705,12,12,7201,250,27,576,1056096,0,16,12366,14,1,107264130,1154,1,4,1051,39095090,21,156380360,13,5765,106572,2,4165,576,37735610,7691589,692978512,576,2279,0,3,1,2,2,2907,3,689189351,657883114,69187516,39751780,39751780,3,1,2067092592,73389,73389,2,2,2,39751784,41,2,3,111859,5615043,1668527,35769,5751,689189351,1020327,36069233,11423
15083.50,240,262144,64,48070,3167968078,9,30182271,1038,15,15,7201,358,44,576,1593710,0,16,18896,14,1,112597302,1154,1,4,1051,59778667,21,239050132,13,8602,143032,2,4165,576,57819402,11590036,1036590888,576,2279,0,3,1,2,2,2907,3,1030889529,1000452089,103775271,60712888,60729272,3,1,3157070208,73389,73389,2,2,2,60712892,41,2,3,139984,8342923,2359302,56946,8585,1030889529,1536764,55463332,11423
20111.03,331,262144,64,64692,4262616510,10,39025354,1413,16,16,7201,467,55,576,2146368,0,16,25409,14,1,114757116,1154,1,4,1051,80353400,21,321349052,13,11458,190187,2,4165,576,78173659,15926898,1382249694,576,2279,0,3,1,2,2,2907,3,1374647528,1345250224,138758013,81729625,81778777,3,1,4249088564,73389,73389,2,2,2,81713245,41,2,3,168392,11368034,3030379,83832,11441,1374778600,2062805,75145195,11423
25136.83,385,262144,64,80185,5282973148,16,48775628,1763,23,23,7201,566,64,576,2530094,0,16,31520,14,1,115070832,1154,1,4,1051,99766971,21,398938716,13,14121,211640,2,4165,576,93317706,18468852,1704970512,576,2279,0,3,1,2,2,2907,3,1695677278,1666466213,167024285,101372265,101388649,3,1,5271357812,73389,73389,2,2,2,101372269,41,2,3,216311,13318160,3604064,97438,14096,1695677278,2432656,89713430,11423
30141.17,454,262144,64,96434,6354190196,22,61687560,2158,23,23,7201,669,72,576,2956556,0,16,37905,14,1,116277432,1154,1,4,1051,120013164,21,480052656,13,16909,241568,2,4165,576,109663157,21207506,2043332559,576,2279,0,3,1,2,2,2907,3,2032239891,2003676603,200337802,121989309,121989309,3,1,6343444100,73389,73389,2,2,2,121989313,41,2,3,235122,15405217,4109318,111833,16884,2032239891,2844723,105552785,11423
35146.17,454,262144,64,105611,6959064944,22,63515312,2433,23,23,7201,728,72,576,3007920,0,16,41512,14,1,116277432,1154,1,4,1051,131396545,21,525586180,13,18489,241639,2,4165,576,112703025,21207679,2235022749,576,2279,0,3,1,2,2,2907,3,2223059809,2194227689,205411481,133614584,133614584,3,1,6947958400,73389,73389,2,2,2,133614588,41,2,3,235472,15536309,4130908,113717,18464,2223059809,2894203,108570955,11423
40172.74,457,262144,64,114436,7540521106,22,65756883,2691,27,27,7201,787,72,576,3088480,0,16,44994,14,1,116277432,1154,1,4,1051,142390546,21,569497692,13,20026,246558,2,4165,576,116750750,21489902,2420460967,576,2279,0,3,1,2,2,2907,3,2407629831,2377308376,212211344,144799650,144799650,3,1,7529581832,73389,73389,2,2,2,144799654,41,2,3,254970,15857088,4281191,116705,19997,2407629831,2971775,112468824,11423
45178.01,492,262144,64,125994,8302716066,27,75054395,2972,28,28,7201,860,77,576,3375134,0,16,49544,14,1,116615280,1154,1,4,1051,156792679,21,627170716,13,22004,271619,2,4165,576,128502159,23583641,2660098668,576,2279,0,3,1,2,2,2907,3,2645998072,2617288125,236174373,159439137,159455521,3,1,8290835156,73389,73389,2,2,2,159439141,41,2,3,268891,17320947,4635238,126542,21974,2645998072,3248592,123866315,11423
50182.36,492,262144,64,133345,8786980930,27,77513355,3184,28,28,7201,908,77,576,3416947,0,16,52446,14,1,116615280,1154,1,4,1051,165967177,21,663868708,13,23284,271699,2,4165,576,130925831,23583698,2814264446,576,2279,0,3,1,2,2,2907,3,2799462338,2769847061,241221765,168760745,168760745,3,1,8775558772,73389,73389,2,2,2,168760749,41,2,3,273152,17425790,4662611,128206,23254,2799462338,3288741,126262613,11423
