timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5030.01,7,262144,64,75384,4967502258,1071567,21,45,45,1295294,127,0,585,964832,7,17590,48,5077,125811516,1172,1,47,11502,49752,2,17538,585,14939108,1964031,1507128353,585,1027,6,1,2,1,2,2,1008,1,1501208988,1455421977,30925527,112542662,112559046,2,1,4951877128,73389,73389,2,2,2,112542662,28,3,339358,2866477,2399006,18941,11455,1501208988,945891,12538684,8216
10048.47,7,262144,64,86482,5698537114,1071567,21,45,45,1776517,129,0,585,1282430,7,20733,48,5077,126076968,1172,1,47,13131,83980,2,17538,585,20003929,4633166,1721580156,585,1027,6,1,2,1,2,2,1008,1,1714725276,1669174568,75886948,129166772,129166772,2,1,5682617072,73389,73389,2,2,2,129150388,28,3,353120,4462566,2749143,28053,13084,1714725276,1254377,17252266,8216
15069.45,7,262144,64,96860,6382627370,1071567,21,45,45,2196096,131,0,585,1597158,7,23669,48,5077,126318288,1172,1,47,14657,132706,2,17538,585,23621253,7090655,1922480079,585,1027,6,1,2,1,2,2,1008,1,1914741148,1869114218,86870409,144715571,144715571,2,1,6366764228,73389,73389,2,2,2,144699187,28,3,355378,6077654,3004366,38487,14610,1914741148,1558671,20612942,8216
20090.56,7,262144,64,106953,7047798546,1071567,21,45,45,2618154,132,0,585,1889976,7,26484,48,5077,126837126,1172,1,47,16139,154106,2,17538,585,29312914,10309832,2117593831,585,1027,6,1,2,1,2,2,1008,1,2108989852,2063525145,140994490,159832353,159848737,2,1,7032623532,73389,73389,2,2,2,159832353,28,3,367636,7676565,3390765,47355,16093,2108989852,1842621,25915425,8216
25118.23,7,262144,64,116758,7693829902,1071567,21,45,45,3094895,134,0,585,2194718,7,29267,48,5077,127102578,1172,1,47,17582,182660,2,17538,585,33990092,12951440,2307574071,585,1027,6,1,2,1,2,2,1008,1,2298126748,2252384203,180853210,174517118,174517118,2,1,7678753192,73389,73389,2,2,2,174517118,28,3,375555,9237801,3757043,57069,17536,2298126748,2137649,30226919,8216
30143.86,7,262144,64,127091,8374729718,1071567,21,45,45,3587887,136,0,585,2501452,7,32193,48,5077,127368030,1172,1,47,19100,218102,2,17538,585,41007870,16141450,2507420888,585,1027,6,1,2,1,2,2,1008,1,2497094044,2451441341,229809108,189977964,189994348,2,1,8359030416,73389,73389,2,2,2,189977964,28,3,393780,10884059,4195531,66573,19053,2497094044,2434879,36805160,8216
35159.97,7,262144,64,137351,9050579954,1071567,21,45,45,4050901,137,0,585,2795493,7,35046,48,5077,127368030,1172,1,47,20606,248236,2,17538,585,46224442,18951327,2705692791,585,1027,6,1,2,1,2,2,1008,1,2694488476,2649035787,260338246,205350857,205350857,2,1,9035437708,73389,73389,2,2,2,205350857,28,3,400152,12478920,4527225,75271,20559,2694488476,2720222,41691101,8216
40197.10,7,262144,64,147760,9736725958,1071567,21,45,45,4558596,139,0,585,3103045,7,37995,48,5077,127886868,1172,1,47,22137,280149,2,17538,585,51350090,21869738,2907248784,585,1027,6,1,2,1,2,2,1008,1,2895159708,2849601198,316661108,220932424,220948808,2,1,9721026656,73389,73389,2,2,2,220932424,28,3,412392,14098227,4892924,84204,22090,2895159708,3018841,46448744,8216
45215.63,7,262144,64,158092,10417560238,1071567,21,45,45,5112993,141,0,585,3399097,7,40923,48,5077,128152320,1172,1,47,23654,314393,2,17538,585,57807869,25043687,3106833944,585,1027,6,1,2,1,2,2,1008,1,3093864860,3048553296,370886550,236409654,236426038,2,1,10402024776,73389,73389,2,2,2,236409654,28,3,422455,15729685,5275952,93699,23607,3093995932,3305642,52522843,8216
50244.01,7,262144,64,167766,11054740926,1071567,21,45,45,5550424,142,0,585,3691285,7,43617,48,5077,128152320,1172,1,47,25075,329827,2,17538,585,63248116,28309833,3294051652,585,1027,6,1,2,1,2,2,1008,1,3280249244,3234847174,448965835,250891778,250908162,2,1,11039238232,73389,73389,2,2,2,250891778,28,3,433292,17271452,5637526,103190,25028,3280249244,3588095,57600308,8216
