timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.39,13,262144,64,36969,2436121248,0,0,0,13,13,771839,120,0,585,504210,4,6736,7,16,11,735,124749708,1172,1,15,5827,4915,2,799,585,5269555,74872,764357771,585,696,2,1,2,2,347,1,761438620,715408238,8006402,55016018,55024210,2,1,2420704792,73389,73389,2,2,2,55016018,7,3,45090,1017078,751897,9892,5812,761438620,494318,4517571,3602
10022.81,13,262144,64,72432,4772712726,0,0,0,13,13,771839,126,0,585,1008472,4,16735,7,16,11,735,125546064,1172,1,15,11036,9957,2,799,585,13763002,231164,1449883055,585,696,2,1,2,2,347,1,1444323740,1398569042,32513816,108105201,108121585,2,1,4756628844,73389,73389,2,2,2,108105201,7,3,77842,2024612,1065633,18944,11021,1444323740,989528,12697261,3602
15032.97,13,262144,64,105765,6969676326,1,1005729,2,13,13,771839,132,0,585,1514272,4,26160,7,16,11,735,126837126,1172,1,15,15935,16813,2,799,585,25732633,485053,2094501586,585,696,2,1,2,2,347,1,2086445468,2040677986,63367021,158056848,158073232,2,1,6954501312,73389,73389,2,2,2,158056848,7,3,92734,3048109,1442975,27976,15920,2086445468,1486296,24290763,3602
20042.40,13,262144,64,134680,8874736942,1,1005729,7,13,13,771839,137,0,585,2042354,4,34318,7,16,11,735,127368030,1172,1,15,20182,23110,2,799,585,37400774,1189299,2653356018,585,696,2,1,2,2,347,1,2643108252,2597615890,136965518,201351446,201367830,2,1,8859463624,73389,73389,2,2,2,201351446,7,3,102650,4150143,1855079,37511,20167,2643108252,2004843,35547003,3602
25051.79,13,262144,64,161268,10626764382,10,14151322,62,18,18,771839,141,0,585,2517178,4,41790,7,16,11,735,128152320,1172,1,15,24095,29290,2,799,585,44813190,1714997,3167618336,585,696,2,1,2,2,347,1,3155337628,3109720607,228410768,241168762,241185146,2,1,10611425528,73389,73389,2,2,2,241168762,7,3,113887,5185560,2158992,46793,24075,3155337628,2470385,42654182,3602
30069.56,13,262144,64,189636,12495976806,18,24493013,171,24,24,771839,146,0,585,2996723,4,49770,7,16,11,735,128948676,1172,1,15,28267,36320,2,799,585,55229727,2320982,3715691269,585,696,2,1,2,2,347,1,3701252508,3656137624,276799348,283644160,283660544,2,1,12480343040,73389,73389,2,2,2,283644160,7,3,129457,6243102,2510998,56218,28241,3701252508,2940505,52717465,3602
35082.21,13,262144,64,216546,14268841386,25,34026608,239,33,33,771839,151,0,585,3470554,4,57413,7,16,11,735,129479580,1172,1,15,32227,42878,2,799,585,65858953,3025135,4235747473,585,696,2,1,2,2,347,1,4219249052,4174454239,311298864,323938771,323955155,2,1,14253305924,73389,73389,2,2,2,323938771,7,3,147963,7284375,2875161,65148,32192,4219249052,3405406,62982428,3602
40094.51,13,262144,64,244442,16107458666,27,40348591,270,36,36,771839,155,0,585,3949236,4,65240,7,16,11,735,130275936,1172,1,15,36331,49883,2,799,585,74270470,3788025,4775397006,585,696,2,1,2,2,347,1,4756775324,4711928347,335593561,365723882,365740266,2,1,16091850808,73389,73389,2,2,2,365723882,7,3,159437,8354311,3224835,74514,36293,4756775324,3874722,71043624,3602
45109.51,13,262144,64,274681,18099554398,27,40348591,270,36,36,771839,160,0,585,4412412,4,73764,7,16,11,735,130806840,1172,1,15,40773,54997,2,799,585,82807348,4329191,5359902345,585,696,2,1,2,2,347,1,5338997148,5294227630,355615050,411006977,411023361,2,1,18084306988,73389,73389,2,2,2,411006977,7,3,167121,9368713,3542784,83797,40735,5338997148,4328615,79265251,3602
50120.78,13,262144,64,303678,20010254418,27,40348591,270,36,36,771839,165,1,585,4906944,4,81945,7,16,11,735,131603196,1172,1,15,45032,62785,2,799,585,91678362,4977543,5920335355,585,696,2,1,2,2,347,1,5897232796,5852869311,385889791,454438680,454438680,2,1,19994581024,73389,73389,2,2,2,454422296,7,3,184306,10436998,3934397,93118,44994,5897232796,4813826,87745780,3602
