timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5051.34,18,262144,64,31087,2048514880,34,34,479854,120,2,585,792764,6,5095,37,101,124484256,1172,1,36,4984,52948,2,7385,585,8739913,2736003,651009449,585,913,2,1,2,2,1629,1,648323484,602104569,22688546,46202314,46218698,2,1,2032901816,73389,73389,2,2,2,46202314,37,3,357862,2560130,2362573,17316,4948,648323484,775448,6378604,5911
10084.03,18,262144,64,41214,2715648828,34,34,982063,121,2,585,1116818,6,7950,37,101,124749708,1172,1,36,6470,81103,2,7385,585,14384750,5718348,846648434,585,913,2,1,2,2,1629,1,843096476,797157132,57093549,61362215,61378599,2,1,2699937460,73389,73389,2,2,2,61362215,37,3,371606,4123645,2753241,28147,6434,843096476,1088671,11630668,5911
15088.25,18,262144,64,76553,5044379294,34,34,2189378,127,2,585,1464606,6,17888,37,101,125811516,1172,1,36,11661,90564,2,7385,585,23151545,7090928,1529680409,585,913,2,1,2,2,1629,1,1523491228,1477951693,102811506,114285399,114301783,2,1,5028557556,73389,73389,2,2,2,114285399,37,3,400698,5167264,3023002,37096,11625,1523491228,1427510,20126282,5911
20109.19,18,262144,64,106504,7018372882,34,34,3220824,132,2,585,1846421,6,26361,37,101,126837126,1172,1,36,16062,106860,2,7385,585,29994869,8791072,2108727123,585,913,2,1,2,2,1629,1,2100208028,2054857466,140184431,159160609,159176993,2,1,7003066796,73389,73389,2,2,2,159160609,37,3,409844,6474728,3333294,51821,16026,2100208028,1794600,26660836,5911
25134.28,18,262144,64,116685,7689045774,34,34,3651172,134,2,585,2134639,6,29247,37,101,127102578,1172,1,36,17559,128623,2,7385,585,35315238,11705289,2305945986,585,913,2,1,2,2,1629,1,2296553884,2250927919,172116805,174402430,174418814,2,1,7673706920,73389,73389,2,2,2,174402430,37,3,415024,8035794,3647751,60746,17523,2296553884,2073893,31666122,5911
30149.82,18,262144,64,126582,8341106442,34,34,4079970,136,2,585,2433077,6,32031,37,101,127102578,1172,1,36,19014,148121,2,7385,585,40264915,14598053,2497505239,585,913,2,1,2,2,1629,1,2487263644,2441603487,261137164,189218267,189234651,2,1,8325603748,73389,73389,2,2,2,189218267,37,3,428519,9572607,4028584,74817,18978,2487263644,2358260,36235066,5911
35163.35,18,262144,64,136832,9016301318,34,34,4554729,137,2,585,2741673,6,34905,37,101,127368030,1172,1,36,20516,185027,2,7385,585,45945513,17601038,2695250440,585,913,2,1,2,2,1629,1,2684133788,2638993918,329603624,204558392,204574776,2,1,9000569248,73389,73389,2,2,2,204558392,37,3,443577,11091794,4442650,85472,20480,2684133788,2656201,41499020,5911
40184.56,18,262144,64,146922,9681541338,34,34,5059769,139,2,585,3046808,6,37767,37,101,127886868,1172,1,36,22002,216202,2,7385,585,50945986,20229191,2890889497,585,913,2,1,2,2,1629,1,2878906780,2833464351,351877730,219681207,219697591,2,1,9665973108,73389,73389,2,2,2,219681207,37,3,452329,12604984,4810424,94644,21966,2878906780,2952164,46130607,5911
45198.87,18,262144,64,157029,10347364566,34,34,5533599,141,3,585,3353727,6,40634,37,101,128152320,1172,1,36,23489,242653,2,7385,585,55745267,22998692,3086659998,585,913,2,1,2,2,1629,1,3073810844,3028057161,383682800,234824724,234824724,2,1,10332287856,73389,73389,2,2,2,234824724,37,3,462437,14186575,5179603,103988,23453,3073810844,3249739,50560273,5911
50222.80,18,262144,64,167452,11034162622,34,34,6021923,142,3,585,3641611,6,43530,37,101,128152320,1172,1,36,25018,296977,2,7385,585,62034442,26059298,3287952512,585,913,2,1,2,2,1629,1,3274219932,3228858224,430958160,250416642,250433026,2,1,11018332248,73389,73389,2,2,2,250416642,37,3,471961,15763527,5557450,113752,24982,3274219932,3527859,56471377,5911
