timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5021.74,33,262144,64,23937,1577543412,0,0,0,16,16,1423929,118,585,482301,12,3075,19,1,124484256,1172,1,18,3915,9341,2,916,585,4216202,447229,512587697,585,1209,4,1,2,1,2,2,683,1,510566812,464405902,5908435,35506609,35522993,2,1,1562290796,73389,73389,2,2,2,35506609,13,3,97560,1049280,1214010,9000,3897,510566812,473301,3003627,6161
10034.97,33,262144,64,51806,3413787920,0,0,0,16,16,1423929,123,585,978114,12,10947,19,1,125280612,1172,1,18,8009,18806,2,916,585,10442916,1063395,1051318976,585,1209,4,1,2,1,2,2,683,1,1047175580,1001292093,21692252,77238694,77238694,2,1,3398502536,73389,73389,2,2,2,77238694,13,3,126064,2133628,1599184,18453,7992,1047175580,959661,8845322,6161
15045.16,33,262144,64,83009,5469603326,0,0,0,16,16,1423929,128,585,1485003,12,19734,19,1,125811516,1172,1,18,12592,26159,2,916,585,19232267,1656478,1654372103,585,1209,4,1,2,1,2,2,683,1,1647878556,1602256908,51841309,123959263,123975647,2,1,5454207572,73389,73389,2,2,2,123959263,13,3,152747,3207858,1971729,28260,12574,1647878556,1456743,17261279,6161
20055.48,33,262144,64,111564,7351577754,0,0,0,16,16,1423929,133,585,2004155,12,27795,19,1,126837126,1172,1,18,16789,35323,2,916,585,30858253,2453454,2206650459,585,1209,4,1,2,1,2,2,683,1,2197987740,2152340648,84323786,166725255,166741639,2,1,7335911220,73389,73389,2,2,2,166725255,13,3,176416,4298114,2429822,38052,16771,2197987740,1966103,28432403,6161
25066.60,33,262144,64,137984,9092329694,0,0,0,16,16,1423929,137,585,2517435,12,35220,19,1,127368030,1172,1,18,20671,46675,2,916,585,40131944,3167104,2717492705,585,1209,4,1,2,1,2,2,683,1,2706809244,2661200874,113547467,206290778,206307162,2,1,9076794232,73389,73389,2,2,2,206290778,13,3,188424,5379981,2833495,47293,20653,2706809244,2470142,37302667,6161
30078.05,33,262144,64,167257,11021117650,0,0,0,16,16,1423929,142,585,3003052,12,43479,19,1,128152320,1172,1,18,24972,52309,2,916,585,48962790,3766502,3283321431,585,1209,4,1,2,1,2,2,683,1,3270418844,3225049915,141595708,250132081,250148465,2,1,11005811564,73389,73389,2,2,2,250132081,13,3,204548,6421753,3198455,56573,24954,3270418844,2946479,45768643,6161
35089.37,33,262144,64,198194,13060019318,0,0,0,16,16,1423929,148,585,3497651,12,52208,19,1,129214128,1172,1,18,29517,58572,2,916,585,59949737,4389016,3881510489,585,1209,4,1,2,1,2,2,683,1,3866272156,3821042124,178461578,296471500,296471500,2,1,13044025104,73389,73389,2,2,2,296455116,13,3,223960,7478434,3577528,66054,29499,3866272156,3431597,56375361,6161
40098.88,33,262144,64,230369,15180054554,0,1522183,10,16,16,1423929,153,585,3986400,12,61293,19,1,130010484,1172,1,18,34244,64235,2,916,585,72342107,4934687,4503378589,585,1209,4,1,2,1,2,2,683,1,4485718428,4440797391,244498604,344645927,344662311,2,1,15164420788,73389,73389,2,2,2,344645927,13,3,251906,8490167,4015259,75129,34226,4485718428,3911271,68330951,6161
45109.51,33,262144,64,263626,17371337590,1,4727162,16,16,16,1423929,158,585,4476001,12,70638,19,1,130541388,1172,1,18,39127,69670,2,916,585,81470431,5212045,5146030388,585,1209,4,1,2,1,2,2,683,1,5125874076,5081278496,271212825,394448403,394464787,2,1,17355729732,73389,73389,2,2,2,394448403,13,3,270335,9500422,4338632,84499,39109,5125874076,4391502,77135982,6161
50115.96,33,262144,64,306152,20173452290,1,4727162,16,16,16,1423929,166,585,4920187,12,82656,19,1,131868648,1172,1,18,45376,72760,2,916,585,94204154,5311845,5968240628,585,1209,4,1,2,1,2,2,683,1,5944943004,5900529980,306409693,458132828,458149212,2,1,20157844432,73389,73389,2,2,2,458132828,13,3,302563,10419549,4680370,93633,45358,5944943004,4826554,89528817,6161
