timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5037.14,93,262144,64,15338,1011501686,0,7268992,368,7,7,3214,143,8,576,539018,8,5991,10,1022,103137558,1154,1,4,2676,18929875,29,75525784,9,2964,63671,2,12576,576,17894464,3717831,355202887,576,2239,3,1,2,2,4251,3,353295889,321302896,30142164,19257172,19273556,3,1,1001372976,73389,73389,2,2,2,19257176,23,1,3,76011,2800129,1012284,18018,2955,353295889,521000,16881533,11234
10057.69,167,262144,64,31262,2060104340,1,14809791,752,7,7,3214,250,27,576,1059593,8,12233,10,1022,107541648,1154,1,4,2676,38699626,29,154669560,9,5712,128949,2,12576,576,36749173,7547490,687323928,576,2239,3,1,2,2,4251,3,683572120,651766124,61829098,39415908,39415908,3,1,2048775280,73389,73389,2,2,2,39399528,23,1,3,103840,5578484,1667563,36380,5703,683572120,1023213,35080143,11234
15075.45,245,262144,64,47353,3121244218,1,21832811,1114,7,7,3214,355,39,576,1574544,8,18609,10,1022,112874820,1154,1,4,2676,58854864,29,235419456,9,8475,172170,2,12576,576,55629962,11219368,1022424228,576,2239,3,1,2,2,4251,3,1016831368,985874364,92691787,59793225,59809609,3,1,3109247732,73389,73389,2,2,2,59793229,23,1,3,121945,8184784,2239800,53200,8466,1016831368,1521344,53389188,11234
20104.41,324,262144,64,64876,4275278434,2,32593476,1488,19,19,3214,466,50,576,2133910,8,25454,21,1024,115674132,1154,1,4,2676,80534599,29,322138396,20,11475,253836,2,17621,576,75677860,17048230,1385122923,576,2239,3,1,2,2,4251,3,1377543974,1349081814,130987166,82012027,82012027,3,1,4263773468,73389,73389,2,2,2,81995647,23,1,3,147786,11529386,2929020,81879,11454,1377543974,2052031,72744917,11234
25125.48,391,262144,64,81773,5388926612,17,59045976,1906,23,23,3214,576,68,576,2666302,8,32055,21,1024,116615280,1154,1,4,2676,101427936,29,405646912,20,14392,357442,2,17621,576,95878293,26113765,1738393222,576,2239,3,1,2,2,4251,3,1728874940,1699700088,189527381,103431887,103431887,3,1,5378458156,73389,73389,2,2,2,103431891,23,1,3,188337,15628675,3630467,100024,14367,1728874940,2566278,92245166,11234
30144.27,470,262144,64,97793,6444146504,17,65910697,2267,23,23,3214,684,83,576,3168825,8,38363,21,1024,117508164,1154,1,4,2676,121437750,29,485557184,20,17144,400728,2,17621,576,114941050,29724575,2071623176,576,2239,3,1,2,2,4251,3,2060270074,2032021499,220513100,123727728,123727728,3,1,6432989920,73389,73389,2,2,2,123711348,23,1,3,200055,18129696,4172752,123574,17119,2060270074,3045251,110761872,11234
35162.98,533,262144,64,113650,7488116926,18,73687940,2622,24,24,3214,784,87,576,3662325,8,44667,21,1024,117508164,1154,1,4,2676,141331092,29,565324368,20,19868,432499,2,17621,576,133869330,33381138,2402388924,576,2239,3,1,2,2,4251,3,2389230606,2360485353,252225273,143806703,143806703,3,1,7475392684,73389,73389,2,2,2,143757555,23,1,3,217983,20629522,4735918,143623,19842,2389230606,3518702,129127587,11234
40179.89,584,262144,64,129947,8562998540,18,78814356,2992,24,24,3214,884,92,576,4181520,8,51095,21,1024,117508164,1154,1,4,2676,161855103,29,647355768,20,22655,501862,2,17621,576,154135805,37393539,2741309321,576,2239,3,1,2,2,4251,3,2726284654,2698977438,282875897,164460389,164476773,3,1,8551940260,73389,73389,2,2,2,164460393,23,1,3,247301,23402654,5412660,161881,22629,2726284654,4019639,148717628,11234
45199.63,673,262144,64,146430,9649816464,19,86106144,3367,27,27,3214,992,102,576,4714313,8,57628,21,1024,117508164,1154,1,4,2676,182479413,29,729788520,20,25492,540828,2,17621,576,174687802,41542191,3084742350,576,2239,3,1,2,2,4251,3,3067821553,3041338421,316304809,185353802,185370186,3,1,9638397736,73389,73389,2,2,2,185353806,23,1,3,270991,26285811,6045612,182309,25463,3067821553,4532004,168634668,11234
50213.81,723,262144,64,162040,10677864946,26,98691195,3712,33,33,3214,1094,105,576,5108821,8,63787,21,1024,117508164,1154,1,4,2676,201990742,29,807833720,20,28190,573238,2,17621,576,189765091,44016911,3411574704,576,2239,3,1,2,2,4251,3,3392963065,3364736610,347471123,205135706,205135706,3,1,10667056744,73389,73389,2,2,2,205135710,23,1,3,309018,28172327,6601035,198829,28155,3392963065,4909992,183155733,11234
