timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.00,1,262144,64,8812,581002372,1,2978529,251,2,2,17823,83,0,576,68254,4,3326,5,0,100639896,1154,1,4,289,10549361,5,42197444,4,1774,214,2,25,576,2863023,143,214928688,576,139,3,1,2,2,674,3,213974854,186097914,6093007,10961723,10961723,3,1,570009628,73389,73389,2,2,2,10961727,3,3,23162,159416,94398,2073,1770,213974854,66181,2768723,1278
10033.73,37,262144,64,19981,1316448964,6,12013839,542,12,12,17823,172,7,576,294294,4,7777,10,2,104114904,1154,1,4,289,24549448,5,98133056,9,3769,11980,2,75,576,12191045,1512286,451100790,576,139,3,1,2,2,674,3,448929408,417544524,26557055,25077366,25110134,3,1,1304023064,73389,73389,2,2,2,25077370,3,3,58886,1300519,464407,10274,3755,448929408,284020,11726481,1278
15038.52,114,262144,64,33901,2234936140,7,20274835,863,13,13,17823,264,20,576,711053,4,13285,10,2,110051376,1154,1,4,289,41989906,5,167959624,9,6182,53107,2,75,576,28541203,4803198,743076198,576,139,3,1,2,2,674,3,739297688,706553502,55592079,42778058,42778058,3,1,2224459048,73389,73389,2,2,2,42778062,3,3,86580,3619157,1040916,25084,6167,739297688,685969,27499569,1278
20043.89,114,262144,64,41762,2752310648,12,27549233,1098,13,13,17823,313,20,576,758152,4,16350,10,2,112247388,1154,1,4,289,51691709,5,206702144,9,7514,53217,2,75,576,31188703,4812456,904908558,576,139,3,1,2,2,674,3,900390209,869507873,65712140,52732609,52732609,3,1,2742095700,73389,73389,2,2,2,52732613,3,3,91059,3735874,1078805,26821,7499,900390209,731331,30109151,1278
25049.27,114,262144,64,50236,3310799872,12,29670978,1345,13,13,17823,370,20,576,808711,4,19712,10,2,112561104,1154,1,4,289,62348579,5,249394316,9,8972,53294,2,75,576,33926167,4812604,1081050684,576,139,3,1,2,2,674,3,1075730200,1045232604,70770801,63475307,63475307,3,1,3300715996,73389,73389,2,2,2,63475311,3,3,91482,3861976,1106600,28680,8957,1075730200,780031,32818964,1278
30054.40,114,262144,64,58387,3848458816,12,31578408,1610,13,13,17823,421,20,576,859490,4,22900,10,2,112561104,1154,1,4,289,72412333,5,289649332,9,10373,53474,2,75,576,36894239,4812697,1250687558,576,139,3,1,2,2,674,3,1244585315,1214595130,75847686,73814438,73814438,3,1,3838350808,73389,73389,2,2,2,73814442,3,3,94711,3989197,1146529,30643,10358,1244585315,828847,35747457,1278
35060.04,115,262144,64,68417,4508270492,12,32862513,1924,13,13,17823,484,20,576,928379,4,26855,10,2,112561104,1154,1,4,289,85027185,5,340043960,9,12080,53794,2,75,576,40448219,4812830,1457920753,576,139,3,1,2,2,674,3,1450871008,1422229283,80952046,86511150,86511150,3,1,4498579832,73389,73389,2,2,2,86511154,3,3,95970,4157268,1181408,32992,12065,1450871008,895387,39266871,1278
40065.14,115,262144,64,75779,4993883684,12,35052295,2162,13,13,17823,533,20,576,973816,4,29747,10,2,112561104,1154,1,4,289,94214248,5,376856992,9,13354,53924,2,75,576,43140074,4812970,1612544670,576,139,3,1,2,2,674,3,1604784490,1575170303,86016583,95844824,95844824,3,1,4983930880,73389,73389,2,2,2,95844828,3,3,98531,4271793,1212032,34766,13339,1604784490,939050,41928202,1278
45096.06,117,262144,64,82787,5455669700,12,37777879,2354,18,18,17823,579,20,576,1021086,4,32540,10,2,112874820,1154,1,4,289,103024865,5,412099460,9,14555,55009,2,75,576,45749053,4949030,1756968966,576,139,3,1,2,2,674,3,1748546548,1720515986,91657078,104707680,104724064,3,1,5444799392,73389,73389,2,2,2,104707684,3,3,112656,4441556,1296757,36604,14535,1748546548,984482,44452712,1278
50118.61,176,262144,64,95367,6283249740,14,46782182,2648,19,19,17823,660,33,576,1393651,4,37496,10,2,113815968,1154,1,4,289,118793386,5,475173544,9,16717,96739,2,75,576,61101515,8227567,2019814795,576,139,3,1,2,2,674,3,2009938432,1981282463,120306059,120619530,120635914,3,1,6272215592,73389,73389,2,2,2,120619534,3,3,137061,6680994,1804180,50024,16696,2009938432,1343627,59298891,1278
55145.05,237,262144,64,107843,7105956662,16,56368780,2956,21,21,17823,741,39,576,1768188,4,42421,11,3,115710330,1154,1,4,289,134406749,5,537432944,10,18878,119103,2,102,576,76128760,11388562,2281673031,576,139,3,1,2,2,674,3,2270354749,2240419177,149064208,136436506,136436506,3,1,7094698344,73389,73389,2,2,2,136436510,3,3,153974,8913712,2285288,64146,18855,2270354749,1704042,73845582,1278
60169.53,276,262144,64,118377,7800065412,20,64540591,3230,25,25,17823,814,44,576,2001243,4,46548,11,3,116627346,1154,1,4,289,147487671,5,589885996,10,20691,140253,2,102,576,86158291,13437100,2500570501,576,139,3,1,2,2,674,3,2488113402,2458736075,169979906,149804518,149804518,3,1,7789834968,73389,73389,2,2,2,149804522,3,3,189720,10328832,2719392,75882,20664,2488113402,1925361,83439143,1278
65191.75,333,262144,64,130731,8614728678,20,70859598,3538,25,25,17823,892,55,576,2364599,4,51428,11,3,117218580,1154,1,4,289,162891118,5,651564472,10,22817,169575,2,102,576,101061229,16724486,2758527218,576,139,3,1,2,2,674,3,2744653785,2715260809,195378783,165441270,165474038,3,1,8602946072,73389,73389,2,2,2,165441274,3,3,207987,12509612,3205796,97786,22790,2744653785,2266813,97855229,1278
