timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.95,262144,64,53328,3514064616,16,16,588709,123,0,585,459634,1,11328,19,32,125280612,1172,1,18,8231,1042,2,95,585,7857552,829,1080371188,585,171,2,1,2,2,289,1,1076273564,1030630158,14911239,79511752,79528136,2,1,3498517088,73389,73389,2,2,2,79511752,2,3,399256,885593,1005809,9126,8213,1076273564,450508,6852113,1773
10013.13,262144,64,106862,7041834770,16,16,1194556,132,0,585,867728,1,26457,19,32,126837126,1172,1,18,16098,1805,2,95,585,17432140,4483,2115441476,585,171,2,1,2,2,289,1,2107416988,2061772800,46523668,159701281,159701281,2,1,7026135468,73389,73389,2,2,2,159684897,2,3,429438,1682811,1224976,18243,16080,2107416988,849485,16207261,1773
15017.07,262144,64,164091,10812568866,16,16,2373254,142,0,585,1280467,1,42615,19,32,128152320,1172,1,18,24504,2358,2,95,585,27938912,5725,3221438141,585,171,2,1,2,2,289,1,3209208220,3164073295,68225495,245389357,245405741,2,1,10797131708,73389,73389,2,2,2,245389357,2,3,472760,2503811,1479280,27414,24486,3209208220,1253053,26460090,1773
20021.44,262144,64,233507,15386768330,16,16,4135086,153,0,585,1836355,1,62096,19,32,130010484,1172,1,18,34704,2958,2,95,585,38554776,6186,4563591475,585,171,2,1,2,2,289,1,4546142620,4501212040,102760448,349355883,349355883,2,1,15371658852,73389,73389,2,2,2,349355883,2,3,488742,3533703,1698410,38129,34686,4546142620,1798226,36857427,1773
25044.16,262144,64,252691,16650985102,16,16,4921877,157,0,585,2159601,1,67601,19,32,130541388,1172,1,18,37521,45609,2,95,585,43792093,2217510,4934351229,585,171,2,1,2,2,289,1,4915372444,4870760334,128051980,378086437,378086437,2,1,16635803228,73389,73389,2,2,2,378086437,2,3,493456,5058209,1974370,47917,37503,4915372444,2111684,41818259,1773
30072.48,262144,64,262258,17281153438,16,16,5449430,158,0,585,2435548,1,70263,19,32,130541388,1172,1,18,38927,85714,2,95,585,48850443,5238763,5119462930,585,171,2,1,2,2,289,1,5099659676,5054996201,218522317,392404721,392404721,2,1,17265086828,73389,73389,2,2,2,392388337,2,3,500930,6707887,2295548,59544,38909,5099659676,2376004,46555503,1773
35090.09,262144,64,271913,17917354394,16,16,5971674,160,1,585,2718875,1,73010,19,32,130806840,1172,1,18,40348,122781,2,95,585,53874257,8197169,5306550211,585,171,2,1,2,2,289,1,5285912988,5240962529,285275919,406876494,406876494,2,1,17902565736,73389,73389,2,2,2,406876494,2,3,511023,8292087,2640912,68966,40330,5285912988,2649909,51234680,1773
40123.55,262144,64,281735,18564765314,16,16,6421869,162,1,585,2991683,1,75784,19,32,131337744,1172,1,18,41791,152367,2,95,585,58947764,11133694,5496534370,585,171,2,1,2,2,289,1,5475049884,5430249323,310801839,421583676,421600060,2,1,18549681744,73389,73389,2,2,2,421583676,2,3,518930,9894904,2968806,77644,41773,5475049884,2914039,55980167,1773
45187.98,262144,64,288776,19028593358,45,45,7793749,163,1,585,3204710,1,77772,48,32,131337744,1172,1,47,42854,190307,2,8161,585,62735215,14891830,5632688801,585,171,2,1,2,2,289,1,5610578332,5565837041,337793150,432131925,432131925,2,1,19013804700,73389,73389,2,2,2,432131925,2,3,524421,11986250,3223334,84441,42807,5610578332,3120269,59511538,1773
50230.95,262144,64,294387,19398174018,45,45,9617087,164,1,585,3369502,1,79356,48,32,131603196,1172,1,47,43678,258567,2,8161,585,66229209,19036017,5741204649,585,171,2,1,2,2,289,1,5718581660,5673899818,364056134,440529996,440529996,2,1,19382598928,73389,73389,2,2,2,440513612,2,3,531069,14028632,3425644,89833,43631,5718581660,3279669,62803286,1773
55256.77,262144,64,300476,19799346338,45,45,11332168,165,1,585,3535567,1,81072,48,32,131603196,1172,1,47,44573,334747,2,8161,585,69473428,23284283,5859066811,585,171,2,1,2,2,289,1,5835891100,5791247915,406478183,449630420,449646804,2,1,19783738480,73389,73389,2,2,2,449630420,2,3,540600,16261211,3645847,95751,44526,5835891100,3439816,65827112,1773
60271.53,262144,64,309967,20424799390,45,45,11916192,166,1,585,3793281,1,83715,48,32,131868648,1172,1,47,45966,399764,2,8161,585,73022267,26182760,6042466637,585,171,2,1,2,2,289,1,6018474396,5974038864,443674474,463848241,463864625,2,1,20409322604,73389,73389,2,2,2,463848241,2,3,546920,17994511,3933488,104209,45919,6018474396,3689072,69087646,1773
65275.54,262144,64,341941,22531661890,45,45,13086660,172,1,585,4145294,1,92730,48,32,132665004,1172,1,47,50661,412455,2,8161,585,82069392,27997326,6660241404,585,171,2,1,2,2,289,1,6633857436,6589810249,500479920,511735948,511752332,2,1,22516381712,73389,73389,2,2,2,511735948,2,3,582548,19161583,4293512,113002,50614,6633857436,4032292,77774402,1773
70292.83,262144,64,382900,25230562840,45,45,14460020,178,1,585,4512965,1,104265,48,32,133726812,1172,1,47,56677,431360,2,8161,585,89708292,28955179,7451844576,585,171,2,1,2,2,289,1,7422386588,7378799592,519863749,573073587,573089971,2,1,25215237828,73389,73389,2,2,2,573073587,2,3,603764,20334881,4549864,122863,56630,7422386588,4390102,85156898,1773
75307.74,262144,64,392875,25888000768,45,45,14972892,180,1,585,4811727,1,107092,48,32,133992264,1172,1,47,58141,463040,2,8161,585,94639558,31737056,7644722573,585,171,2,1,2,2,289,1,7614407068,7571001003,558494706,588010145,588026529,2,1,25872446380,73389,73389,2,2,2,588010145,2,3,607668,21912733,4888940,132677,58095,7614407068,4679050,89749419,1773
