timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5045.16,112,262144,64,16964,1118364872,3,9787656,346,9,9,2388,160,16,576,607212,0,4,6648,12,4,102835908,1154,1,4,1224,20955314,38,83756664,11,3274,62101,2,20800,576,20010460,4077783,390221011,576,2229,0,3,1,2,2,2763,3,388104549,355051083,35438789,21303013,21319397,3,1,1107756708,73389,73389,2,2,2,21303017,26,1,3,81914,3207862,1107474,20285,3263,388104549,586927,18903969,12680
10049.87,402,262144,64,33111,2181980232,4,15985884,691,10,10,2388,270,25,576,1082620,0,4,12996,12,4,106660830,1154,1,4,1224,41070206,38,164216100,11,6073,110990,2,20800,576,37281140,7149943,728288731,576,2229,0,3,1,2,2,2763,3,724339804,690016459,63264674,41754502,41754502,3,1,2171234136,73389,73389,2,2,2,41754506,26,1,3,95789,5568997,1612306,38366,6061,724339804,1044254,35666868,12680
15056.49,403,262144,64,41874,2759409360,9,23071078,939,10,10,2388,318,25,576,1134378,0,4,16420,12,4,109797990,1154,1,4,1224,51943943,38,207775772,11,7539,111077,2,20800,576,40102976,7150135,907793544,576,2229,0,3,1,2,2,2763,3,903035369,871672999,73367748,52865840,52865840,3,1,2749023712,73389,73389,2,2,2,52865844,26,1,3,95831,5693642,1639364,40215,7527,903035369,1094163,38461925,12680
20061.75,403,262144,64,53188,3505891054,9,24361826,1254,10,10,2388,400,25,576,1205716,0,4,20875,12,4,113574648,1154,1,4,1224,66054301,38,264217204,11,9496,111317,2,20800,576,43649105,7150341,1142998529,576,2229,0,3,1,2,2,2763,3,1137171299,1106892129,78483924,67208256,67208256,3,1,3494829344,73389,73389,2,2,2,67208260,26,1,3,102306,5870163,1709101,42595,9484,1137171299,1163121,41938454,12680
25067.10,404,262144,64,65176,4295892448,9,24941088,1567,10,10,2388,468,25,576,1284938,0,4,25604,12,4,116325696,1154,1,4,1224,81008863,38,323970720,11,11516,111618,2,20800,576,47869893,7150561,1389866514,576,2229,0,3,1,2,2,2763,3,1382919139,1355523390,83591233,82398766,82398766,3,1,4284735864,73389,73389,2,2,2,82398770,26,1,3,107472,6063623,1748509,45242,11504,1382919139,1239696,46120023,12680
30072.12,404,262144,64,78213,5154363588,9,25161322,1744,10,10,2388,550,25,576,1370439,0,4,30732,12,4,116325696,1154,1,4,1224,97268975,38,389075900,11,13768,111940,2,20800,576,52435597,7150760,1663129717,576,2229,0,3,1,2,2,2763,3,1654944802,1625749222,88715490,98918539,98918539,3,1,5143764060,73389,73389,2,2,2,98918543,26,1,3,112789,6274315,1801325,48260,13756,1654944802,1322179,50633019,12680
35077.27,405,262144,64,92602,6103032112,11,29620941,1901,12,12,2388,642,26,576,1465205,0,4,36327,12,4,116615280,1154,1,4,1224,114966475,38,459865900,11,16222,112302,2,20800,576,57265023,7151896,1960787816,576,2229,0,3,1,2,2,2763,3,1951252911,1924697846,98371967,117147837,117147837,3,1,6091687556,73389,73389,2,2,2,117147841,26,1,3,126306,6505872,1884762,51487,16208,1951252911,1413718,55379403,12680
40083.21,411,262144,64,104030,6856055828,11,30511812,2247,12,12,2388,722,26,576,1532949,0,4,40937,12,4,116615280,1154,1,4,1224,129526065,38,518104260,11,18200,112564,2,20800,576,61207213,7152130,2199540712,576,2229,0,3,1,2,2,2763,3,2188914708,2161460761,103477222,131635994,131635994,3,1,6845071720,73389,73389,2,2,2,131635998,26,1,3,127988,6677944,1915035,54027,18186,2188914708,1478922,59291716,12680
45103.63,477,262144,64,116846,7699090298,12,34648904,2579,19,19,2388,801,32,576,1761515,0,4,45953,12,4,116904864,1154,1,4,1224,145423878,38,581631064,11,20407,128033,2,20800,576,71201923,8724162,2466332503,576,2229,0,3,1,2,2,2763,3,2454374118,2426910088,119859040,147842756,147875524,3,1,7686971376,73389,73389,2,2,2,147826376,26,1,3,152172,7878321,2219446,61864,20386,2454374118,1699651,68977726,12680
50133.20,545,262144,64,132074,8702731460,15,44670989,2974,21,21,2388,897,50,576,2233698,0,4,51956,12,4,117218580,1154,1,4,1224,164502213,38,657944224,11,23006,168960,2,20800,576,90034834,12317881,2782430898,576,2229,0,3,1,2,2,2763,3,2768722271,2743087465,153608587,167153398,167153398,3,1,8691976728,73389,73389,2,2,2,167153402,26,1,3,180925,10336243,2845191,77870,22983,2768722271,2155828,87183654,12680
