timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.91,262144,64,57535,3791113894,0,0,0,14,14,352969,124,0,585,477570,2,12539,2,17,28,297,125280612,1172,1,16,8848,1512,2,380,585,8254433,925,1161768380,585,119,2,1,2,2,341,1,1157407132,1111530638,18246128,85808797,85825181,2,1,3775587068,73389,73389,2,2,2,85808797,5,3,125254,967708,597346,9950,8832,1157407132,467620,7656944,1617
10018.89,262144,64,109261,7199851990,0,738803,4,14,14,352969,133,0,585,930098,2,27116,2,17,28,297,126837126,1172,1,16,16447,3948,2,380,585,18719534,3985,2161588121,585,119,2,1,2,2,341,1,2153423260,2107959088,49826476,163282900,163299284,2,1,7184447600,73389,73389,2,2,2,163282900,5,3,164286,1894410,884010,19690,16431,2153423260,910408,17835620,1617
15028.08,262144,64,155683,10258622206,10,13407187,100,14,14,352969,140,0,585,1390103,2,40160,2,17,28,297,127886868,1172,1,16,23270,7312,2,380,585,30971236,26846,3059311397,585,119,2,1,2,2,341,1,3047727516,3002123987,176453811,232797426,232813810,2,1,10243086744,73389,73389,2,2,2,232797426,5,3,203596,2853419,1243986,29521,23254,3047727516,1360582,29727153,1617
20034.91,262144,64,196535,12950498738,12,21138339,223,16,16,352969,147,0,585,1851186,2,51724,2,17,28,297,128948676,1172,1,16,29271,11589,2,380,585,40731839,63386,3848637222,585,119,2,1,2,2,341,1,3834028444,3788949564,195976074,293979417,293995801,2,1,12935094348,73389,73389,2,2,2,293979417,5,3,221934,3800305,1484527,38942,29253,3834028444,1812244,39246551,1617
25046.32,262144,64,233266,15370974154,12,27582715,305,21,21,352969,153,1,585,2303214,2,62082,2,17,28,297,130010484,1172,1,16,34673,16427,2,380,585,50166828,153193,4558770025,585,119,2,1,2,2,341,1,4541424028,4496601272,214853195,348995435,348995435,2,1,15355078244,73389,73389,2,2,2,348979051,5,3,240893,4750161,1740887,48265,34650,4541424028,2254949,48424630,1617
30055.76,262144,64,267790,17645822206,18,37238990,417,23,23,352969,159,1,585,2771185,2,71826,2,17,28,297,130806840,1172,1,16,39746,20814,2,380,585,61351078,284164,5226030302,585,119,2,1,2,2,341,1,5206090140,5161595797,250798708,400694137,400694137,2,1,17629821132,73389,73389,2,2,2,400677753,5,3,264350,5715762,2051452,57411,39721,5206090140,2713774,59299262,1617
35066.85,262144,64,298458,19666563786,23,47218100,488,26,26,352969,164,1,585,3261316,2,80466,2,17,28,297,131603196,1172,1,16,44257,25838,2,380,585,71129800,542995,5819222819,585,119,2,1,2,2,341,1,5796962716,5752358355,278112317,446628274,446628274,2,1,19650923160,73389,73389,2,2,2,446611890,5,3,275204,6717228,2361333,66595,44229,5796962716,3194721,68768785,1617
40097.91,262144,64,326249,21497696486,27,56569257,539,32,32,352969,169,1,585,3764022,2,88320,2,17,28,297,132399552,1172,1,16,48345,33455,2,380,585,80973819,1208984,6356376752,585,119,2,1,2,2,341,1,6331998620,6287615501,311596998,488245671,488245671,2,1,21482088628,73389,73389,2,2,2,488229287,5,3,289145,7806539,2727897,76124,48311,6331998620,3687898,78246250,1617
45110.65,262144,64,354670,23370382318,30,62965045,664,33,33,352969,174,1,585,4224373,2,96316,2,17,28,297,132930456,1172,1,16,52516,39177,2,380,585,90945581,1766586,6905108176,585,119,2,1,2,2,341,1,6878568860,6835065848,336636284,530802989,530819373,2,1,23355331516,73389,73389,2,2,2,530802989,5,3,304306,8837948,3052517,85539,52481,6878568860,4138834,87892655,1617
50120.56,262144,64,381763,25155782956,30,65335747,704,40,40,352969,178,1,585,4687821,2,103953,2,17,28,297,133726812,1172,1,16,56505,44573,2,380,585,99464770,2427864,7429107215,585,119,2,1,2,2,341,1,7400497564,7356988336,355025646,571380002,571380002,2,1,25139999192,73389,73389,2,2,2,571363618,5,3,317406,9864757,3423469,94812,56463,7400497564,4593009,96039879,1617
