timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5042.61,142,262144,64,26471,1743032468,5,14244751,496,16,16,931,220,10,576,936146,12,10376,17,2,105056052,1154,1,4,9260,32777045,24,131043620,16,4910,53924,2,11197,576,32532003,5981562,587813620,576,2490,3,1,2,2,11328,3,584622238,551869421,55088686,33309882,33326266,3,1,1732113896,73389,73389,2,2,2,33309886,36,1,3,86210,4450773,1418808,31145,4892,584622238,905001,31105558,11162
10067.89,256,262144,64,53228,3507559280,7,27269862,1005,16,16,931,393,31,576,1798916,12,20895,17,2,112898952,1154,1,4,9260,66141829,24,264502780,16,9494,118388,2,11197,576,63832304,11537441,1144033035,576,2490,3,1,2,2,11328,3,1137780519,1107302780,107146126,67231117,67263885,3,1,3496018116,73389,73389,2,2,2,67231121,36,1,3,113425,8489265,2372070,60168,9476,1137780519,1738748,61451253,11162
15090.66,375,262144,64,76977,5072757792,8,35486983,1479,17,17,931,545,40,576,2576957,12,30254,17,2,115119096,1154,1,4,9260,95736819,24,382882656,16,13570,181534,2,11197,576,92306812,16480378,1637852114,576,2490,3,1,2,2,11328,3,1628880973,1600028367,150977677,97349993,97366377,3,1,5062199668,73389,73389,2,2,2,97349997,36,1,3,134399,12144948,3180763,90505,13552,1628880973,2486452,89115159,11162
20108.28,480,262144,64,100838,6644970554,8,44689728,1968,17,17,931,693,66,576,3346613,12,39666,17,2,116603214,1154,1,4,9260,125574331,24,502297324,16,17660,239305,2,11197,576,120824251,21747761,2135050529,576,2490,3,1,2,2,11328,3,2123360748,2095078037,195957103,127561140,127610292,3,1,6633179312,73389,73389,2,2,2,127561144,36,1,3,163094,16047750,4089402,117544,17641,2123360748,3229069,116722403,11162
25128.17,526,262144,64,118963,7839374458,16,57204579,2351,25,25,931,818,78,576,3720518,12,46807,17,2,117508164,1154,1,4,9260,148189191,24,592563056,16,20844,261116,2,11197,576,135471805,23848546,2516008529,576,2490,3,1,2,2,11328,3,2502384402,2471452604,226287797,150502553,150535321,3,1,7826132788,73389,73389,2,2,2,150502557,36,1,3,204286,17794367,4636226,129852,20817,2502384402,3590666,130822723,11162
30144.72,631,262144,64,141983,9355590626,18,66834359,2804,26,26,931,962,92,576,4496098,12,55859,17,2,117508164,1154,1,4,9260,176843878,24,707246076,16,24823,314966,2,11197,576,163716564,28841875,2998572905,576,2490,3,1,2,2,11328,3,2982322262,2949086821,271236337,179663409,179679793,3,1,9341645332,73389,73389,2,2,2,179647029,36,1,3,235411,21467494,5536568,165214,24795,2982322262,4330884,158167685,11162
35164.67,733,262144,64,164456,10836682562,19,75681838,3250,27,27,931,1106,110,576,5219247,12,64719,17,2,117508164,1154,1,4,9260,204913391,24,819653564,16,28702,378778,2,11197,576,190216751,33681670,3470347720,576,2490,3,1,2,2,11328,3,3451525108,3415718804,313294693,208099051,208146044,3,1,10821150684,73389,73389,2,2,2,208099055,36,1,3,255415,25116625,6319764,191900,28673,3451525108,5027347,183883294,11162
40199.37,885,262144,64,187944,12384305604,19,84520807,3710,28,28,931,1261,130,576,5968427,12,73968,17,2,117508164,1154,1,4,9260,234256003,24,936959388,16,32771,426596,2,11197,576,218512421,38919989,3962238693,576,2490,3,1,2,2,11328,3,3940718238,3903011528,357797118,237876022,237908790,3,1,12369553176,73389,73389,2,2,2,237876026,36,1,3,281847,28924993,7194552,219473,32741,3940718238,5748954,211302956,11162
45216.34,1005,262144,64,211629,13945647660,20,94622932,4169,29,29,931,1412,145,576,6713664,12,83314,17,2,117508164,1154,1,4,9260,263853906,24,1055286292,16,36845,487223,2,11197,576,246820692,44017650,4456708687,576,2490,3,1,2,2,11328,3,4432514940,4394483063,403383084,267910819,267910819,3,1,13931362620,73389,73389,2,2,2,267910823,36,1,3,307539,32621505,8093251,246476,36814,4432514940,6467188,238710910,11162
50231.57,1127,262144,64,235453,15515435590,22,103777763,4624,31,31,931,1565,163,576,7475954,12,92697,17,2,117508164,1154,1,4,9260,293580773,24,1174193880,16,40961,544530,2,11197,576,275154305,48867551,4956726389,576,2490,3,1,2,2,11328,3,4929795529,4888839009,447826111,298081006,298097390,3,1,15500212344,73389,73389,2,2,2,298081010,36,1,3,333947,36337430,8964975,273535,40928,4929795529,7202419,266172422,11162
