timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5060.32,16,0,0,9730,640911034,1,1,266701,118,1,297,329535,3,908,4,0,63571266,596,1,3,1626,32962,2,7592,297,3057096,1683387,213294879,297,1201,2,1,2,2,525,1,212378012,189024512,5363060,14392012,14408396,2,1,633248528,73389,73389,2,2,2,14392012,13,3,43481,1812954,1048324,11994,1623,212378012,317541,2007458,10427
10084.22,34,262144,64,20547,1354049112,15,15,573633,118,1,585,680716,3,2148,18,5421,124484256,1172,1,17,3417,65503,2,26908,585,6255037,3638095,447337585,585,2342,2,1,2,2,525,1,445424028,399108942,11368159,30430172,30430172,2,1,1338927568,73389,73389,2,2,2,30430172,13,3,60880,3773920,1871788,22526,3400,445424028,658190,4379959,16662
15103.65,34,262144,64,30256,1993789012,15,15,985270,119,1,585,969639,3,4853,18,5421,124484256,1172,1,17,4844,109621,2,26908,585,11277999,6675848,635214617,585,2342,2,1,2,2,525,1,632463772,586126864,33683710,44967481,44967481,2,1,1978569164,73389,73389,2,2,2,44967481,13,3,74685,5512427,2227633,31456,4827,632463772,938183,9047563,16662
20130.16,34,262144,64,39929,2631169616,15,15,1474249,121,1,585,1270780,3,7601,18,5421,124749708,1172,1,17,6264,148518,2,26908,585,16628007,9753426,822169835,585,2342,2,1,2,2,525,1,818586012,772426087,68926891,59455638,59455638,2,1,2616048072,73389,73389,2,2,2,59455638,13,3,90412,7181211,2611787,41204,6247,818586012,1229576,14013149,16662
25144.95,34,262144,64,49605,3268746828,36,36,1925197,123,1,585,1568564,3,10347,39,9751,125280612,1172,1,38,7706,190276,2,31519,585,20841030,12583469,1009258785,585,2342,2,1,2,2,525,1,1004839324,958893860,96092151,73927411,73943795,2,1,3252806084,73389,73389,2,2,2,73927411,13,3,101011,8825815,2949539,50310,7668,1004839324,1518254,17888105,16662
30161.48,34,262144,64,75248,4958589362,36,36,2878829,127,1,585,1896973,3,17559,39,9751,125811516,1172,1,38,11475,220462,2,31519,585,27501946,14671194,1505229270,585,2342,2,1,2,2,525,1,1498849692,1452889636,136649589,112346054,112346054,2,1,4942505480,73389,73389,2,2,2,112329670,13,3,121031,10237945,3222107,58832,11437,1498849692,1838141,24275744,16662
35166.56,34,262144,64,119559,7878458046,36,36,4472522,134,1,585,2267433,3,30030,39,9751,127102578,1172,1,38,17985,231231,2,31519,585,36701300,15592216,2361793838,585,2342,2,1,2,2,525,1,2352128412,2306360597,185052788,178702786,178719170,2,1,7862922584,73389,73389,2,2,2,178702786,13,3,156954,11260348,3491147,67652,17947,2352128412,2199781,33205574,16662
40170.72,34,262144,64,178802,11781978002,36,36,6355266,144,1,585,2693469,3,46737,39,9751,128417772,1172,1,38,26688,231734,2,31519,585,46797516,15592774,3506922112,585,2342,2,1,2,2,525,1,3492848028,3447424624,205820349,267423617,267440001,2,1,11766639148,73389,73389,2,2,2,267423617,13,3,182212,12107911,3706109,77045,26650,3492848028,2616424,43086628,16662
45191.68,34,262144,64,209229,13786925406,36,36,7606448,149,1,585,3016760,3,55308,39,9751,129214128,1172,1,38,31157,242090,2,31519,585,53727618,17091718,4094972375,585,2342,2,1,2,2,525,1,4078608796,4033525825,242488483,312980922,312997306,2,1,13771160568,73389,73389,2,2,2,312980922,13,3,202064,13392663,3981042,85819,31119,4078608796,2930941,49742501,16662
50195.78,34,262144,64,257395,16960859158,36,36,9302717,157,1,585,3410774,3,68829,39,9751,130541388,1172,1,38,38233,248000,2,31519,585,64516743,18051518,5025867477,585,2342,2,1,2,2,525,1,5005943196,4961340531,298280595,385118603,385134987,2,1,16945218532,73389,73389,2,2,2,385118603,13,3,246494,14362324,4304764,94481,38195,5005943196,3316293,60208962,16662
55200.89,34,262144,64,323291,21302779190,36,36,11318612,169,1,585,3897124,3,87423,39,9751,132134100,1172,1,38,47914,248644,2,31519,585,74627893,18052168,6299842730,585,2342,2,1,2,2,525,1,6274982300,6230669752,323342745,483814243,483814243,2,1,21287826692,73389,73389,2,2,2,483814243,13,3,286969,15306540,4571028,104911,47876,6274982300,3792213,70053498,16662
