timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5029.99,2,262144,64,71562,4715430954,20,20,1396986,126,1,585,600374,9,16500,23,63,125546064,1172,1,22,10916,1539,2,305,585,11229509,22518,1433122276,585,375,2,1,2,2,995,1,1427677596,1381863306,21996274,106804832,106821216,2,1,4699412608,73389,73389,2,2,2,106804832,21,3,317060,1151432,1111765,11849,10894,1427677596,588525,10118237,5453
10035.52,2,262144,64,128444,8463930830,20,20,2306968,136,1,585,1023647,9,32508,23,63,127368030,1172,1,22,19271,1945,2,305,585,22008247,23086,2532371393,585,375,2,1,2,2,995,1,2522784156,2477496298,52367219,192005262,192021646,2,1,8448231528,73389,73389,2,2,2,192005262,21,3,345304,1966569,1323144,20531,19249,2522784156,1003116,20685332,5453
15040.52,2,262144,64,184476,12155952882,20,20,2306968,145,1,585,1452030,9,48282,23,63,128683224,1172,1,22,27504,3046,2,305,585,32255810,23935,3615709314,585,375,2,1,2,2,995,1,3601899932,3556778777,89462598,275909641,275926025,2,1,12140024204,73389,73389,2,2,2,275909641,21,3,363478,2830417,1531866,30867,27482,3601899932,1421163,30724931,5453
20046.13,2,262144,64,244145,16087729022,20,20,2637594,155,1,585,1894522,9,65160,23,63,130275936,1172,1,22,36270,3806,2,305,585,42127367,31088,4769135621,585,375,2,1,2,2,995,1,4750877084,4706147486,114054948,365275481,365291865,2,1,16072121164,73389,73389,2,2,2,365275481,21,3,396419,3703787,1767092,40703,36248,4750877084,1853819,40361351,5453
25051.29,2,262144,64,298419,19664007882,20,20,4192951,164,1,585,2288282,9,80457,23,63,131603196,1172,1,22,44246,4508,2,305,585,52365823,32578,5818560456,585,375,2,1,2,2,995,1,5796307356,5751582668,139460002,446562738,446579122,2,1,19648760472,73389,73389,2,2,2,446562738,21,3,421480,4486455,1990642,49398,44224,5796307356,2238884,50376283,5453
30055.32,2,262144,64,354130,23334727426,20,20,5975838,174,1,585,2674667,9,96144,23,63,132930456,1172,1,22,52426,5043,2,305,585,62791062,32999,6894909563,585,375,2,1,2,2,995,1,6868476316,6824641579,162496279,529994140,529994140,2,1,23319742160,73389,73389,2,2,2,529994140,21,3,449577,5260047,2203587,59554,52404,6868476316,2615113,60589258,5453
35069.07,2,262144,64,370171,24391830346,20,20,6663907,176,1,585,2973330,9,100679,23,63,133461360,1172,1,22,54783,25609,2,305,585,68150697,2421160,7205153988,585,375,2,1,2,2,995,1,7177413020,7133656107,218198582,554006546,554022930,2,1,24376288024,73389,73389,2,2,2,554006546,21,3,458584,6756363,2505739,68730,54761,7177413020,2904600,65646902,5453
40089.61,2,262144,64,379705,25020113512,20,20,7223495,178,1,585,3251795,9,103392,23,63,133726812,1172,1,22,56182,46408,2,305,585,72774973,5319738,7389342665,585,375,2,1,2,2,995,1,7360782748,7317312093,372547236,568298095,568298095,2,1,25004395284,73389,73389,2,2,2,568281711,21,3,470652,8350119,2855024,78263,56160,7360782748,3173532,69922800,5453
45105.42,2,262144,64,389090,25638354296,20,20,7732111,180,1,585,3523580,9,106046,23,63,133726812,1172,1,22,57561,71966,2,305,585,77975705,8495676,7570902970,585,375,2,1,2,2,995,1,7541531036,7498005756,404687521,582337851,582354235,2,1,25622865444,73389,73389,2,2,2,582337851,21,3,479596,10014396,3190487,88705,57539,7541531036,3434875,74789801,5453
50125.04,2,262144,64,399099,26297754996,20,20,8194775,181,1,585,3801028,9,108846,23,63,133992264,1172,1,22,59030,95045,2,305,585,82765354,11402320,7764302715,585,375,2,1,2,2,995,1,7734075804,7690833430,427378573,597333912,597333912,2,1,26281971232,73389,73389,2,2,2,597317528,21,3,486523,11597877,3496298,97517,59008,7734075804,3703511,79271368,5453
