timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.46,79,262144,64,21168,1395446796,2,7677079,249,11,11,9135,198,21,576,441783,0,3,8305,14,105321504,1154,1,4,275,26186460,5,104745840,13,4013,31888,2,15540,576,16044684,2212723,476598195,576,110,0,3,1,2,2,587,3,474254342,442526552,27231835,26625210,26641594,3,1,1384510952,73389,73389,2,2,2,26625214,2,3,51782,1880802,599930,19799,4000,474254342,421984,15447691,987
10020.48,128,262144,64,41581,2740134916,10,19470867,521,11,11,9135,308,26,576,850673,0,3,16295,14,110328894,1154,1,4,275,51588761,5,206355044,13,7470,49456,2,15540,576,31998944,4380638,900338424,576,110,0,3,1,2,2,587,3,895903083,865887959,58336689,52489008,52489008,3,1,2729428448,73389,73389,2,2,2,52489012,2,3,71238,3656394,1063845,33057,7457,895903083,817616,30936570,987
15025.40,128,262144,64,55956,3686606940,10,20030174,809,11,11,9135,410,26,576,934282,0,3,21954,14,114105552,1154,1,4,275,69465614,5,277862456,13,9951,49648,2,15540,576,36233205,4380766,1199593666,576,110,0,3,1,2,2,587,3,1193834207,1163824519,63450152,70685982,70702366,3,1,3675671096,73389,73389,2,2,2,70685986,2,3,71301,3860238,1097012,35854,9938,1193834207,898428,35137981,987
20029.15,129,262144,64,70697,4658959502,10,20498578,1025,13,13,9135,496,26,576,1021644,0,3,27771,14,114407202,1154,1,4,275,87934230,5,351736920,13,12471,49841,2,15540,576,40566636,4381055,1506314619,576,110,0,3,1,2,2,587,3,1499214255,1470080941,68588996,89386098,89386098,3,1,4648077128,73389,73389,2,2,2,89386102,2,3,74386,4072642,1131810,38780,12456,1499214255,982864,39436740,987
25053.36,212,262144,64,90022,5932018672,12,27163458,1417,20,20,9135,630,37,576,1525619,0,3,35417,14,115336284,1154,1,4,275,112088991,5,448291380,13,15814,93090,2,15540,576,58945556,7414753,1909865045,576,110,0,3,1,2,2,587,3,1900646542,1870867727,97961718,113867607,113867607,3,1,5921115596,73389,73389,2,2,2,113867611,2,3,106716,6482960,1774481,55087,15792,1900646542,1470532,57168468,987
30056.68,287,262144,64,108493,7147927630,19,40211811,1790,20,20,9135,748,46,576,2011603,0,3,42677,14,116325696,1154,1,4,275,135103321,5,540413284,13,18968,136201,2,15540,576,77414118,10596762,2292370120,576,110,0,3,1,2,2,587,3,2281124656,2253615827,133979885,137243640,137243640,3,1,7136669312,73389,73389,2,2,2,137243644,2,3,125552,8848597,2298934,71400,18946,2281124656,1940203,75113013,987
35078.39,347,262144,64,125366,8259653030,19,44471812,2155,26,26,9135,862,60,576,2421194,0,3,49323,14,117218580,1154,1,4,275,156133424,5,624404620,13,21885,166031,2,15540,576,93230494,13232005,2644978929,576,110,0,3,1,2,2,587,3,2631923947,2603681792,157855285,158624699,158624699,3,1,8248484380,73389,73389,2,2,2,158624703,2,3,170711,10890217,2918523,85224,21857,2631923947,2335970,90310052,987
40101.99,445,262144,64,145522,9588741196,20,52852592,2552,27,27,9135,991,77,576,3035879,0,3,57288,14,117508164,1154,1,4,275,181373380,5,725428896,13,25334,210730,2,15540,576,116688943,17481147,3063139823,576,110,0,3,1,2,2,587,3,3047812110,3021806091,195664604,184193141,184209525,3,1,9578043364,73389,73389,2,2,2,184193145,2,3,187815,13990242,3591935,106118,25306,3047812110,2929761,113094549,987
45105.62,457,262144,64,159331,10498481824,26,60349094,2888,27,27,9135,1081,78,576,3165602,0,3,62724,14,117508164,1154,1,4,275,198561687,5,794182040,13,27734,214690,2,15540,576,122593815,17920932,3352645279,576,110,0,3,1,2,2,587,3,3335993805,3308336274,209959994,201691636,201691636,3,1,10487965104,73389,73389,2,2,2,201691640,2,3,191489,14463548,3690774,110617,27705,3335993805,3054985,118901553,987
50109.56,457,262144,64,173440,11428172836,26,61088708,3243,27,27,9135,1173,78,576,3243964,0,3,68281,14,117508164,1154,1,4,275,216137486,5,864549944,13,30206,214809,2,15540,576,126652036,17921005,3650578461,576,110,0,3,1,2,2,587,3,3632618490,3601508639,215059495,219534195,219534195,3,1,11415778172,73389,73389,2,2,2,219534199,2,3,192285,14656403,3713970,113274,30177,3632618490,3130690,122936587,987
