timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.88,1,262144,64,54913,3618482146,0,0,0,12,12,389144,124,0,585,479144,3,11796,6,15,1,586,125280612,1172,1,14,8461,1940,2,637,585,7819486,2932,1111132280,585,208,2,1,2,2,285,1,1106944412,1061129775,16396190,81891306,81891306,2,1,3602496568,73389,73389,2,2,2,81874922,3,3,91643,978364,574913,9924,8447,1106944412,469220,7244976,1944
10015.62,1,262144,64,104285,6872152142,0,0,0,12,12,389144,132,0,585,964764,3,25755,6,15,1,586,126837126,1172,1,14,15715,5434,2,637,585,18271151,14616,2065544426,585,208,2,1,2,2,285,1,2057740700,2012169099,42541591,155832942,155849326,2,1,6856649448,73389,73389,2,2,2,155832942,3,3,128393,1964351,851495,19583,15701,2057740700,945181,17420173,1944
15023.61,1,262144,64,147839,9741903302,0,0,0,12,12,389144,139,0,585,1449142,3,38016,6,15,1,586,127886868,1172,1,14,22114,9872,2,637,585,28413488,71372,2907476587,585,208,2,1,2,2,285,1,2896470428,2851094045,71990158,221063496,221063496,2,1,9726072928,73389,73389,2,2,2,221047112,3,3,152542,2948848,1134104,29164,22100,2896470428,1419978,27281089,1944
20030.88,1,262144,64,186924,12317446818,0,0,0,12,12,389144,146,0,585,1938971,3,49062,6,15,1,586,128948676,1172,1,14,27858,14851,2,637,585,39708120,177336,3663246539,585,208,2,1,2,2,285,1,3649347996,3603919099,103343734,279595597,279611981,2,1,12302206268,73389,73389,2,2,2,279595597,3,3,166573,3948885,1428566,38561,27844,3649347996,1900410,38281993,1944
25041.06,1,262144,64,221912,14622631178,0,0,1,12,12,389144,152,0,585,2445967,3,58881,6,15,1,586,129479580,1172,1,14,32996,20379,2,637,585,47032558,304406,4339301828,585,208,2,1,2,2,285,1,4322795932,4277814718,124384834,331982427,331998811,2,1,14607226788,73389,73389,2,2,2,331982427,3,3,173559,4953979,1674780,47512,32982,4322795932,2398455,45362286,1944
30054.79,1,262144,64,256762,16919109418,12,13490735,48,19,19,389144,157,0,585,2936630,3,68709,6,15,1,586,130541388,1172,1,14,38123,25212,2,637,585,60091711,559576,5012995860,585,208,2,1,2,2,285,1,4993884572,4949155456,316675230,384162298,384178682,2,1,16903141112,73389,73389,2,2,2,384162298,3,3,197963,5980775,2046923,56953,38102,4993884572,2879677,58049686,1944
35066.29,1,262144,64,285783,18831382302,13,16356990,66,19,19,389144,162,0,585,3428391,3,76902,6,15,1,586,131337744,1172,1,14,42386,32499,2,637,585,69138433,1148511,5573953963,585,208,2,1,2,2,285,1,5552644508,5508205627,339554335,427643153,427659537,2,1,18816298732,73389,73389,2,2,2,427643153,3,3,207509,7057415,2408826,66981,42365,5552644508,3361410,66734678,1944
40075.34,1,262144,64,312594,20597758818,17,26150645,151,24,24,389144,167,0,585,3905488,3,84466,6,15,1,586,131868648,1172,1,14,46329,41560,2,637,585,80438131,1899738,6092166120,585,208,2,1,2,2,285,1,6068806044,6024652513,379629885,467790308,467806692,2,1,20582773552,73389,73389,2,2,2,467790308,3,3,225238,8110210,2803678,76369,46303,6068806044,3829119,77640185,1944
45088.30,1,262144,64,341414,22496858966,21,35648581,255,24,24,389144,172,0,585,4402162,3,92572,6,15,1,586,132665004,1172,1,14,50563,46894,2,637,585,90293695,2472381,6649316996,585,208,2,1,2,2,285,1,6623764892,6579662877,404810455,510943483,510959867,2,1,22481513252,73389,73389,2,2,2,510943483,3,3,235552,9178220,3158799,85668,50537,6623764892,4316494,87140700,1944
50098.18,1,262144,64,369045,24317771358,21,39726978,343,26,26,389144,176,0,585,4863534,3,100377,6,15,1,586,133461360,1172,1,14,54622,54883,2,637,585,98420367,2937215,7183185338,585,208,2,1,2,2,285,1,7155523996,7112005605,414651160,552329345,552345729,2,1,24302491180,73389,73389,2,2,2,552329345,3,3,240955,10223869,3445869,94997,54594,7155523996,4768537,94979551,1944
