timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.27,22,262144,64,45898,3024622408,2,4086260,220,6,6,1680,355,1,576,447944,5,18055,9,104694072,1154,1,4,289,57087771,6,228286356,8,8267,2842,2,54,576,19563008,2669,993247673,576,254,3,1,2,2,742,3,988731205,955482929,25200117,57950469,57950469,3,1,3013424420,73389,73389,2,2,2,57950473,6,3,45077,979839,296391,13066,8259,988731205,434878,19267760,1744
10015.50,45,262144,64,85586,5639442812,2,5901141,448,6,6,1680,595,3,576,819570,5,33680,9,109725594,1154,1,4,289,106599969,6,426270488,8,15065,5227,2,54,576,36964380,4663,1821674066,576,254,3,1,2,2,742,3,1813381529,1778804987,45750943,108236273,108236273,3,1,5628286228,73389,73389,2,2,2,108236277,6,3,54483,1805185,495270,24332,15057,1813381529,795238,36470789,1744
15020.78,83,262144,64,128905,8494685896,2,8590752,599,8,8,1680,891,9,576,1274961,5,50766,10,113490186,1154,1,4,289,160627639,6,642446032,9,22565,9699,2,66,576,57231938,18064,2727111722,576,254,3,1,2,2,742,3,2714640211,2677847053,70318173,163133285,163149669,3,1,8482078884,73389,73389,2,2,2,163116905,6,3,64482,2817730,707859,38008,22555,2714640211,1236953,56526417,1744
20028.65,131,262144,64,168689,11115809822,4,13908510,750,9,9,1680,1134,11,576,1738741,5,66400,10,116313630,1154,1,4,289,210174743,6,840634376,9,29486,13059,2,66,576,76557348,38494,3570784475,576,254,3,1,2,2,742,3,3554452872,3505053238,96557256,213419089,213419089,3,1,11097792660,73389,73389,2,2,2,213419093,6,3,69634,3825570,920727,51046,29475,3554452872,1687695,75638292,1744
25035.32,164,262144,64,201724,13292206018,5,17958367,958,9,9,1680,1339,14,576,2159473,5,79334,10,116603214,1154,1,4,289,251095388,6,1004316988,9,35547,18050,2,66,576,92855175,62568,4307644665,576,254,3,1,2,2,742,3,4287943116,4194236749,118331216,255030453,255030453,3,1,13259879652,73389,73389,2,2,2,254997689,6,3,75191,4742075,1105765,62595,35536,4287943116,2096878,91752094,1744
30042.53,196,262144,64,233883,15412640598,5,21143261,1178,9,9,1680,1564,18,576,2561267,5,91972,10,116603214,1154,1,4,289,291057490,6,1164229960,9,41584,21438,2,66,576,108832160,83881,5036806997,576,254,3,1,2,2,742,3,5013761853,4865811273,138870525,295504844,295504844,3,1,15366251920,73389,73389,2,2,2,295504848,6,3,79868,5627415,1310210,74188,41573,5013761853,2487079,107524386,1744
35047.68,202,262144,64,266368,17552666212,5,25841480,1304,11,11,1680,1760,18,576,2884284,5,104621,10,117218580,1154,1,4,289,331169549,6,1324613532,9,47720,23601,2,66,576,122837198,88862,5780207234,576,254,3,1,2,2,742,3,5753819552,5544728630,158732419,336317710,336317710,3,1,17488520952,73389,73389,2,2,2,336317714,6,3,89903,6357353,1471158,83968,47707,5753819552,2800316,121369234,1744
40052.23,203,262144,64,299668,19748275546,8,32809241,1449,11,11,1680,1973,18,576,3131902,5,117645,10,117218580,1154,1,4,289,372336701,6,1489346804,9,54149,24523,2,66,576,133289144,89197,6557017635,576,254,3,1,2,2,742,3,6527242605,6242540812,177068212,378092470,378108854,3,1,19660808472,73389,73389,2,2,2,378092474,6,3,90994,6945656,1556784,91691,54136,6527242605,3040211,131736169,1744
45056.74,205,262144,64,325960,21481483498,12,39843812,1606,14,14,1680,2139,19,576,3311803,5,127905,10,117218580,1154,1,4,289,404861847,6,1619382888,9,59183,25146,2,66,576,141636690,90707,7165775432,576,254,3,1,2,2,742,3,7133330251,6792657333,193135799,411143638,411143638,3,1,21379469208,73389,73389,2,2,2,411143642,6,3,96799,7377165,1648268,97760,59167,7133330251,3214043,139992630,1744
50061.95,205,262144,64,344845,22724222710,12,43808079,1743,14,14,1680,2260,19,576,3422102,5,135258,10,117218580,1154,1,4,289,428130725,6,1712522900,9,62773,25319,2,66,576,147363866,90884,7601018149,576,254,3,1,2,2,742,3,7566672730,7187085940,203263078,434827093,434827093,3,1,22610156900,73389,73389,2,2,2,434810713,6,3,101760,7647431,1713336,101748,62757,7566672730,3320354,145666071,1744
55066.99,205,262144,64,366223,24134107762,18,52987120,1926,20,20,1680,2401,19,576,3560435,5,143636,10,117218580,1154,1,4,289,454668418,6,1818673672,9,66924,25821,2,66,576,153962777,91449,8102643589,576,254,3,1,2,2,742,3,8066098186,7635427547,219575436,461646752,461646752,3,1,24005631136,73389,73389,2,2,2,461646756,6,3,110989,7985585,1795490,106450,66902,8066098186,3453985,152172187,1744
60072.04,205,262144,64,388002,25569307470,21,59255748,2102,23,23,1680,2546,19,576,3694608,5,152166,10,117218580,1154,1,4,289,481623917,6,1926495668,9,71123,26038,2,66,576,160412158,91763,8610706889,576,254,3,1,2,2,742,3,8571936540,8091463336,232810065,488986825,488986825,3,1,25427314932,73389,73389,2,2,2,488986829,6,3,117002,8314155,1877828,111010,71098,8571936540,3583598,158539597,1744
65086.09,372,262144,64,420987,27743187024,22,70404400,2711,35,35,1680,2760,41,576,4816003,5,164978,17,117508164,1154,1,4,289,522134294,6,2088537176,16,77737,112399,2,2752,576,199371952,7125087,9410334768,576,254,3,1,2,2,742,3,9367438504,8784258394,292842772,530219198,530251966,3,1,27569694392,73389,73389,2,2,2,530186434,6,3,181702,13806562,3277157,154402,77700,9367569576,4661601,196096935,1744
70099.52,540,262144,64,455054,29987566286,23,82844856,3281,35,35,1680,2980,71,576,6002165,5,178226,17,117508164,1154,1,4,289,564046602,6,2256057376,16,84637,200871,2,2752,576,239573425,14176578,10246651368,576,254,3,1,2,2,742,3,10199456769,9500300788,355842300,572764450,572813602,3,1,29782899464,73389,73389,2,2,2,572748070,6,3,211646,19526752,4528418,196850,84601,10199456769,5805315,235050316,1744
