timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.65,1,262144,64,55319,3645101828,18,18,990728,124,0,585,438620,5,11925,21,28,125280612,1172,1,20,8526,1309,2,124,585,8194439,2699,1118908290,585,251,2,1,2,2,323,1,1114677660,1068884578,16991320,82497514,82497514,2,1,3629169720,73389,73389,2,2,2,82481130,5,3,63568,897371,542648,9833,8506,1114677660,428787,7652411,2174
10014.40,1,262144,64,109179,7194478038,18,18,1175063,133,0,585,825583,5,27116,21,28,126837126,1172,1,20,16440,2203,2,124,585,18075255,4164,2160149606,585,251,2,1,2,2,323,1,2151981468,2106393006,42614875,163168212,163168212,2,1,7178680432,73389,73389,2,2,2,163151828,5,3,101893,1691681,783232,18854,16420,2151981468,806729,17292865,2174
15031.53,1,262144,64,141374,9315823994,18,18,2377714,138,0,585,1152782,5,36198,21,28,127621416,1172,1,20,21171,21998,2,124,585,25168105,1298949,2782707541,585,251,2,1,2,2,323,1,2772083100,2726513782,58988808,211367215,211383599,2,1,9300157460,73389,73389,2,2,2,211367215,5,3,117871,2920946,1012222,28819,21151,2772083100,1123963,24155918,2174
20050.85,1,262144,64,151267,9967622518,18,18,2882271,140,0,585,1448961,5,39006,21,28,127886868,1172,1,20,22624,55453,2,124,585,30257041,4109374,2974136381,585,251,2,1,2,2,323,1,2962661788,2917128693,119720703,226174860,226191244,2,1,9951693840,73389,73389,2,2,2,226174860,5,3,130667,4569770,1358856,40426,22605,2962661788,1408535,28896053,2174
25076.05,1,262144,64,160975,10607562334,18,18,3378218,141,0,585,1734676,5,41709,21,28,128152320,1172,1,20,24053,85329,2,124,585,34862937,6915207,3162144837,585,251,2,1,2,2,323,1,3149832604,3104124042,147308011,240726394,240742778,2,1,10591961336,73389,73389,2,2,2,240726394,5,3,135451,6218621,1654711,49265,24033,3149832604,1685411,33206306,2174
30097.55,1,262144,64,170652,11244939630,18,18,3894363,143,0,585,2018956,5,44457,21,28,128417772,1172,1,20,25473,111501,2,124,585,40713426,10178506,3349100721,585,251,2,1,2,2,323,1,3335954844,3290437982,192854277,255208518,255224902,2,1,11229174792,73389,73389,2,2,2,255208518,5,3,143222,7858022,2009202,58165,25453,3335954844,1960791,38701845,2174
35114.65,1,262144,64,180286,11879764330,18,18,4375695,145,0,585,2297139,5,47193,21,28,128417772,1172,1,20,26888,137365,2,124,585,45445718,13179321,3535401838,585,251,2,1,2,2,323,1,3521421724,3476037159,247989736,269647523,269647523,2,1,11863770116,73389,73389,2,2,2,269631139,5,3,152355,9459943,2326357,66859,26868,3521421724,2230280,43116108,2174
40142.47,1,262144,64,188474,12419558522,18,18,5278761,146,0,585,2540880,5,49482,21,28,128948676,1172,1,20,28090,185427,2,124,585,49272162,16512193,3693665013,585,251,2,1,2,2,323,1,3678970268,3633804883,311190251,281917807,281917807,2,1,12403662612,73389,73389,2,2,2,281901423,5,3,160846,11381142,2612930,74676,28070,3678970268,2466204,46656110,2174
45169.23,1,262144,64,197751,13030721418,18,18,5796362,147,0,585,2812677,5,52070,21,28,128948676,1172,1,20,29453,226711,2,124,585,54339368,19939450,3873121286,585,251,2,1,2,2,323,1,3857621404,3812411334,360916651,295810107,295810107,2,1,13015644708,73389,73389,2,2,2,295810107,5,3,166647,13048327,2921975,82773,29433,3857621404,2729904,51413668,2174
50186.01,1,262144,64,207409,13666853530,18,18,6260388,149,0,585,3085797,5,54813,21,28,129214128,1172,1,20,30871,260446,2,124,585,59856489,23087840,4059816803,585,251,2,1,2,2,323,1,4043481500,3998368512,447505797,310259463,310275847,2,1,13651416372,73389,73389,2,2,2,310259463,5,3,178107,14703322,3276079,91459,30851,4043481500,2994338,56576450,2174
