timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5021.08,20,262144,64,25944,1709605068,0,0,0,14,14,1216947,119,0,585,521781,5,3677,17,82,124484256,1172,1,16,4208,8712,2,3853,585,4719514,360322,551394414,585,1166,2,1,2,2,586,1,549233052,503047578,7898351,38508755,38525139,2,1,1694385220,73389,73389,2,2,2,38508755,23,3,52694,1076167,1090320,10596,4192,549233052,511185,3630669,5837
10029.31,20,262144,64,53173,3503906536,0,0,0,14,14,1216947,123,0,585,1029223,5,11322,17,82,125280612,1172,1,16,8209,16100,2,3853,585,13788447,1173769,1077892854,585,1166,2,1,2,2,586,1,1073652124,1027647169,32615137,79282376,79298760,2,1,3488424544,73389,73389,2,2,2,79282376,23,3,72343,2158479,1483229,20284,8193,1073652124,1008939,12307274,5837
15042.65,20,262144,64,81957,5400394002,0,0,0,14,14,1216947,128,1,585,1538405,5,19446,17,82,125811516,1172,1,16,12435,21929,2,3853,585,22981280,1888001,1633986451,585,1166,2,1,2,2,586,1,1627562396,1582028076,55985744,122380366,122396750,2,1,5384736104,73389,73389,2,2,2,122380366,23,3,87269,3237794,1875138,30317,12419,1627562396,1508088,21106322,5837
20053.56,20,262144,64,109907,7242453698,0,0,2,14,14,1216947,133,1,585,2035639,5,27345,17,82,126837126,1172,1,16,16542,29950,2,3853,585,29399873,2470168,2174426210,585,1166,2,1,2,2,586,1,2165875100,2120413719,73640107,164255589,164271973,2,1,7227245916,73389,73389,2,2,2,164255589,23,3,97996,4318112,2212946,39541,16526,2165875100,1996098,27187883,5837
25063.54,20,262144,64,137659,9071030494,2,2000145,2,14,14,1216947,137,1,585,2518219,5,35130,17,82,127368030,1172,1,16,20621,40066,2,3853,585,41314324,3441542,2711185525,585,1166,2,1,2,2,586,1,2700517788,2655004816,153188341,205815642,205815642,2,1,9055167352,73389,73389,2,2,2,205799258,23,3,135761,5399725,2706994,48858,20605,2700517788,2469361,38608435,5837
30075.85,20,262144,64,167493,11036849598,2,2000145,2,14,14,1216947,142,2,585,2977041,5,43540,17,82,128152320,1172,1,16,25004,48892,2,3853,585,49890142,4031105,3287932106,585,1166,2,1,2,2,586,1,3275006364,3229640512,193425905,250482178,250498562,2,1,11021215832,73389,73389,2,2,2,250482178,23,3,154006,6422022,3051548,58115,24988,3275006364,2918926,46839936,5837
35087.36,20,262144,64,195798,12901933254,2,2000145,2,14,14,1216947,147,2,585,3467397,5,51537,17,82,128948676,1172,1,16,29161,55924,2,3853,585,59312679,4623651,3834950987,585,1166,2,1,2,2,586,1,3819872668,3774774248,217362349,292875656,292892040,2,1,12886528864,73389,73389,2,2,2,292875656,23,3,171878,7455241,3444307,67782,29145,3819872668,3399615,55870263,5837
40098.74,20,262144,64,223395,14720351970,2,2000145,2,14,14,1216947,152,3,585,3964161,5,59334,17,82,129745032,1172,1,16,33215,61594,2,3853,585,70473184,5424107,4368420291,585,1166,2,1,2,2,586,1,4351238556,4306396272,263249970,334206333,334206333,2,1,14704357756,73389,73389,2,2,2,334189949,23,3,184953,8524135,3851232,77351,33199,4351238556,3886810,66623511,5837
45110.82,20,262144,64,252615,16645738914,6,12481754,44,15,15,1216947,157,3,585,4443219,5,67578,17,82,130541388,1172,1,16,37509,70716,2,3853,585,81612004,6136097,4933332787,585,1166,2,1,2,2,586,1,4913930652,4869278065,519075239,377949332,377965716,2,1,16629770608,73389,73389,2,2,2,377949332,23,3,209126,9584195,4317692,86997,37492,4913930652,4356222,77295791,5837
50122.35,20,262144,64,283632,18689618010,11,24179265,93,19,19,1216947,162,3,585,4924201,5,76314,17,82,131337744,1172,1,16,42071,76662,2,3853,585,91021412,6712426,5532971846,585,1166,2,1,2,2,586,1,5511225756,5466772733,565232606,424413790,424430174,2,1,18674206760,73389,73389,2,2,2,424413790,23,3,236793,10627033,4719053,96417,42050,5511225756,4827784,86305116,5837
