timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.51,262144,64,58146,3831421842,22,22,313041,124,0,585,472686,2,12678,25,22,125280612,1172,1,24,8945,1445,2,122,585,8812670,676,1173498283,585,131,2,1,2,2,331,1,1169072540,1123368196,21154926,86715950,86732334,2,1,3815501800,73389,73389,2,2,2,86715950,5,3,93505,963422,506255,9816,8921,1169072540,462870,8306562,2156
10014.80,262144,64,114600,7551606858,22,22,842801,134,0,585,908743,2,28623,25,22,126837126,1172,1,24,17241,2766,2,122,585,19068500,2156,2265120899,585,131,2,1,2,2,331,1,2256445852,2210818575,45135979,171271371,171287755,2,1,7535940324,73389,73389,2,2,2,171271371,5,3,116029,1844674,757877,19563,17217,2256445852,889180,18311459,2156
15020.53,262144,64,172795,11386179634,22,22,2784808,143,0,585,1332638,2,45042,25,22,128417772,1172,1,24,25792,3317,2,122,585,28801272,2637,3390155740,585,131,2,1,2,2,331,1,3377111452,3331746669,71220645,258421497,258437881,2,1,11370545868,73389,73389,2,2,2,258421497,5,3,135245,2680513,958688,28886,25768,3377242524,1303797,27843194,2156
20045.49,262144,64,193027,12719271190,22,22,3676139,147,0,585,1656564,2,50781,25,22,128948676,1172,1,24,28762,30742,2,122,585,35025855,2325435,3781322016,585,131,2,1,2,2,331,1,3766657436,3721359201,106598180,288722756,288739140,2,1,12703801264,73389,73389,2,2,2,288722756,5,3,140667,4247859,1223514,39284,28739,3766657436,1617280,33803175,2156
25079.20,262144,64,201924,13305795858,22,22,4283664,148,1,585,1944180,2,53260,25,22,129214128,1172,1,24,30069,80120,2,122,585,39252635,5374625,3953279933,585,131,2,1,2,2,331,1,3937837468,3892911056,168886845,302055841,302072225,2,1,13290457004,73389,73389,2,2,2,302055841,5,3,149639,5996746,1584193,58637,30045,3937837468,1885543,37668348,2156
30083.80,262144,64,224881,14818269370,22,22,5220886,152,1,585,2259832,2,59687,25,22,129745032,1172,1,24,33441,121695,2,122,585,46812949,8172101,4397032662,585,131,2,1,2,2,331,1,4379812252,4335047169,288733357,336430239,336430239,2,1,14802930516,73389,73389,2,2,2,336430239,5,3,179012,7501353,1960613,67873,33417,4379812252,2191959,44851357,2156
35118.34,262144,64,240413,15841821410,22,22,5970540,155,1,585,2533694,2,64142,25,22,130275936,1172,1,24,35722,167567,2,122,585,52231244,10898777,4697253752,585,131,2,1,2,2,331,1,4678787484,4634271551,321718414,359691140,359691140,2,1,15826410160,73389,73389,2,2,2,359691140,5,3,189388,9087127,2236200,76339,35698,4678787484,2457355,49994910,2156
40135.16,262144,64,249953,16470220274,22,22,6500934,156,1,585,2810735,2,66798,25,22,130275936,1172,1,24,37124,192619,2,122,585,56585622,14027863,4881842929,585,131,2,1,2,2,331,1,4862550428,4817971821,388826259,373976656,373976656,2,1,16454251968,73389,73389,2,2,2,373960272,5,3,197113,10748373,2549972,85061,37100,4862550428,2725674,54036150,2156
45168.49,262144,64,259112,17073915374,22,22,7006793,158,1,585,3075203,2,69408,25,22,130541388,1172,1,24,38471,217187,2,122,585,62029597,17457756,5059199227,585,131,2,1,2,2,331,1,5039104412,4994385823,455484426,387694765,387711149,2,1,17058569660,73389,73389,2,2,2,387694765,5,3,207240,12432536,2870488,93554,38447,5039104412,2981649,59159928,2156
50220.73,262144,64,268329,17681146110,22,22,7553758,159,1,585,3355503,2,71976,25,22,130806840,1172,1,24,39826,252658,2,122,585,66182210,20347788,5237602921,585,131,2,1,2,2,331,1,5216706972,5171946827,495569929,401496953,401513337,2,1,17665865932,73389,73389,2,2,2,401496953,5,3,213589,14172379,3177311,101937,39802,5216706972,3253566,63005783,2156
