timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.95,26,262144,64,20518,1352148568,0,0,15,15,1689734,118,0,585,427229,18,2142,18,16,124484256,1172,1,17,3411,6505,2,3048,585,4193430,367195,446414024,585,1263,2,1,2,2,600,1,444637596,398527861,5531340,30381020,30397404,2,1,1336764880,73389,73389,2,2,2,30381020,16,3,296490,916535,1727383,7825,3394,444637596,419404,2466506,6294
10035.08,26,262144,64,47845,3152872564,0,0,15,15,1689734,122,0,585,913870,18,9813,18,16,125015160,1172,1,17,7428,12696,2,3048,585,11413166,1024312,974880141,585,1263,2,1,2,2,600,1,971022748,924961151,20912781,71302097,71318481,2,1,3137292268,73389,73389,2,2,2,71302097,16,3,324520,1976208,2109548,16941,7411,971022748,896929,9305116,6294
15045.23,26,262144,64,75309,4962587058,2137631,13,15,15,1689734,127,0,585,1417812,18,17577,18,16,125811516,1172,1,17,11462,20550,2,3048,585,22675437,1906268,1505848693,585,1263,2,1,2,2,600,1,1499898268,1454023242,80485732,112427974,112444358,2,1,4946830856,73389,73389,2,2,2,112427974,16,3,358855,3072028,2638465,27413,11445,1499898268,1390399,20040912,6294
20054.51,26,262144,64,102669,6765449610,2137631,13,15,15,1689734,132,1,585,1895520,18,25270,18,16,126571674,1172,1,17,15481,27426,2,3048,585,31599856,2650822,2034711358,585,1263,2,1,2,2,600,1,2026676636,1981011465,103562533,153406395,153422779,2,1,6749881380,73389,73389,2,2,2,153406395,16,3,374451,4117134,3016481,36721,15464,2026676636,1858799,28588603,6294
25065.54,26,262144,64,131927,8693254526,2137631,13,15,15,1689734,136,1,585,2375568,18,33513,18,16,127368030,1172,1,17,19779,32094,2,3048,585,41058522,3189427,2600275377,585,1263,2,1,2,2,600,1,2590024092,2544537243,135476024,197223122,197239506,2,1,8677817368,73389,73389,2,2,2,197223122,16,3,395185,5120924,3364699,45639,19762,2590024092,2329929,37698473,6294
30077.33,26,262144,64,159064,10481526682,2137631,13,15,15,1689734,141,1,585,2848203,18,41187,18,16,128152320,1172,1,17,23768,37531,2,3048,585,49130013,3816900,3125060511,585,1263,2,1,2,2,600,1,3112739228,3067306253,156344736,237857479,237873863,2,1,10465729076,73389,73389,2,2,2,237857479,16,3,411686,6163555,3728003,55006,23751,3112739228,2793197,45407987,6294
35086.97,26,262144,64,186009,12256950474,2137631,13,15,15,1689734,145,1,585,3336889,18,48756,18,16,128683224,1172,1,17,27725,44890,2,3048,585,58874784,4587678,3645902705,585,1263,2,1,2,2,600,1,3631522204,3586292879,190554001,278215467,278231851,2,1,12241480548,73389,73389,2,2,2,278215467,16,3,427190,7242761,4160336,64936,27708,3631522204,3271953,54718644,6294
40098.02,26,262144,64,216278,14251277738,2137631,13,15,15,1689734,151,1,585,3814955,18,57303,18,16,129479580,1172,1,17,32171,51884,2,3048,585,70372865,5292182,4230935979,585,1263,2,1,2,2,600,1,4214268316,4169293161,227557031,323545555,323545555,2,1,14235283524,73389,73389,2,2,2,323529171,16,3,450804,8298017,4592284,74837,32154,4214268316,3740118,65784332,6294
45107.74,26,262144,64,246066,16214154582,2137631,13,15,15,1689734,156,1,585,4279284,18,65689,18,16,130275936,1172,1,17,36547,58311,2,3048,585,80234487,5807938,4806632655,585,1263,2,1,2,2,600,1,4787708316,4743116422,252400243,368146555,368162939,2,1,16198448420,73389,73389,2,2,2,368146555,16,3,469228,9309778,4954742,84557,36530,4787708316,4194727,75285241,6294
50118.45,26,262144,64,280581,18488605866,2137631,13,15,15,1689734,161,1,585,4749389,18,75426,18,16,131072292,1172,1,17,41619,64505,2,3048,585,90529532,6210775,5474144694,585,1263,2,1,2,2,600,1,5452636572,5407948199,279186658,419859482,419859482,2,1,18473096312,73389,73389,2,2,2,419843098,16,3,489623,10341117,5302038,94678,41602,5452636572,4654711,85234170,6294
