timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5060.03,88,262144,64,20039,1320527570,9,24989891,485,18,18,27430,171,8,576,990311,0,22,7819,6,21,69698,104392422,1154,1,4,36907,24722942,21,98827184,20,3787,177942,2,110856,576,25879903,11237646,453458357,576,3441,0,3,1,2,2,38059,3,451007938,418680360,66447559,25173511,25189895,3,1,1309022604,73389,73389,2,2,2,25173515,17,3,140445,5946173,1411756,24431,3767,451007938,965880,24470351,17140
10064.27,183,262144,64,41918,2762256746,14,38527826,907,18,18,27430,319,18,576,1626675,0,22,16452,6,21,69698,110377158,1154,1,4,36907,52016255,21,208065020,20,7559,233846,2,110856,576,49843717,15172781,908520276,576,3441,0,3,1,2,2,38059,3,903613747,872703813,109591160,52923184,52923184,3,1,2752005600,73389,73389,2,2,2,52923188,17,3,161462,8918931,2137676,49798,7539,903613747,1576877,47705958,17140
15085.49,192,262144,64,56653,3733421870,17,42847009,1248,25,25,27430,413,18,594,1771544,2,22,22233,6,21,69698,113945246,1190,1,4,36907,70346025,21,281254816,20,10103,240344,2,110856,594,55781278,15631868,1215263366,592,3446,2,3,1,2,2,38059,3,1208948056,1178694451,120781658,71585573,71585573,3,1,3721597860,73389,73389,2,2,2,71569193,17,3,192379,9496897,2351550,54171,10076,1208948056,1717373,53429399,17171
20109.73,293,262144,64,80389,5297454698,19,53908687,1696,27,27,27430,567,26,594,2546935,2,22,31593,6,21,69698,116105060,1190,1,4,36907,99951495,21,399805980,20,14217,322358,2,110856,594,83496017,20752910,1713404432,592,3446,2,3,1,2,2,38059,3,1704383375,1671313855,166766479,101641072,101657456,3,1,5285335776,73389,73389,2,2,2,101641076,17,3,224350,13266345,3236341,81006,14188,1704383375,2465929,80257007,17171
25125.69,398,262144,64,101450,6684622212,20,62708408,2140,27,27,27430,702,44,594,3261140,2,22,39835,6,21,69698,116744558,1190,1,4,36907,126097515,21,504390060,20,17898,385779,2,110856,594,108953049,25428773,2161731697,592,3446,2,3,1,2,2,38059,3,2150284060,2108444005,207351947,128291302,128324070,3,1,6670295768,73389,73389,2,2,2,128274922,17,3,248881,16711046,4063477,106914,17869,2150284060,3154226,104886191,17171
30129.80,404,262144,64,114826,7566227072,26,71112611,2414,27,27,27430,788,45,594,3380086,2,22,45102,6,21,69698,116744558,1190,1,4,36907,142784022,21,571136088,20,20197,386933,2,110856,594,114663059,25713854,2440623318,592,3446,2,3,1,2,2,38059,3,2427889900,2386392858,222427093,145214198,145214198,3,1,7551138328,73389,73389,2,2,2,145214202,17,3,260892,17082885,4174527,110952,20168,2427889900,3269134,110485405,17171
35134.49,405,262144,64,130684,8610226832,26,74176961,2518,28,28,27430,891,45,594,3495450,2,22,51333,6,21,69698,117058274,1190,1,4,36907,162506861,21,650027444,20,22923,387397,2,110856,594,120095864,25714189,2771536524,592,3446,2,3,1,2,2,38059,3,2757306896,2715074216,231339890,165301365,165301365,3,1,8595671012,73389,73389,2,2,2,165301369,17,3,269876,17355579,4229370,114569,22893,2757306896,3380881,115863274,17171
40140.28,408,262144,64,145870,9611441264,26,77407563,2704,28,28,27430,990,45,594,3629486,2,22,57317,6,21,69698,117058274,1190,1,4,36907,181458356,21,725833424,20,25577,388068,2,110856,594,126574901,25715322,3093705167,592,3446,2,3,1,2,2,38059,3,3077988614,3030558218,241556845,184536120,184536120,3,1,9595878272,73389,73389,2,2,2,184536124,17,3,275261,17662012,4304062,118642,25547,3077988614,3510844,122267248,17171
45145.90,414,262144,64,161457,10638561586,26,79910855,2911,28,28,27430,1090,45,594,3801604,2,22,63451,6,21,69698,117058274,1190,1,4,36907,200891349,21,803565396,20,28312,389508,2,110856,594,133718400,25723207,3425518412,592,3446,2,3,1,2,2,38059,3,3408264968,3354472500,251800407,204248170,204264554,3,1,10620904872,73389,73389,2,2,2,204248174,17,3,283528,18040721,4393988,123310,28282,3408264968,3678294,129321238,17171
50154.29,424,262144,64,175388,11556249342,26,82480454,3106,28,28,27430,1180,46,594,3974289,2,22,68930,6,21,69698,117058274,1190,1,4,36907,218265184,21,872996168,20,30738,391334,2,110856,594,140790147,25739165,3720511193,592,3446,2,3,1,2,2,38059,3,3701878059,3643924610,262029493,221869545,221869545,3,1,11537216372,73389,73389,2,2,2,221869549,17,3,292076,18418854,4511191,127979,30708,3701878059,3846310,136275939,17171
55161.45,443,262144,64,189294,12473565628,26,84338575,3293,28,28,27430,1269,48,594,4172002,2,22,74418,6,21,69698,117058274,1190,1,4,36907,235651857,21,942607428,20,33169,393605,2,110856,594,148504050,25778990,4016480301,592,3446,2,3,1,2,2,38059,3,3996467636,3932822114,272276976,239498668,239498668,3,1,12453504784,73389,73389,2,2,2,239490480,17,3,297333,18851368,4614007,132984,33139,3996467636,4039018,143886749,17171
