timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.40,27,262144,64,25558,1684042720,0,0,0,12,12,1462228,119,0,585,429543,7,3570,15,133,124484256,1172,1,14,4150,3939,2,1123,585,4676501,76704,544018282,585,911,2,1,2,2,491,1,541893020,495554695,6286887,37929282,37929282,2,1,1668167512,73389,73389,2,2,2,37912898,11,3,374075,830705,1757827,6758,4136,541893020,422785,2918973,5310
10036.73,27,262144,64,56352,3713319354,0,0,0,12,12,1462228,124,0,585,939531,7,12243,15,133,125280612,1172,1,14,8671,10461,2,1123,585,12370110,352363,1138913966,585,911,2,1,2,2,491,1,1134469532,1088813693,23465667,84049676,84049676,2,1,3697464848,73389,73389,2,2,2,84033292,11,3,392937,1854964,2065476,15960,8657,1134469532,923571,10305099,5310
15064.14,27,262144,64,84021,5536456662,0,0,0,12,12,1494588,128,0,585,1442822,7,20010,15,133,125811516,1172,1,14,12737,18233,2,1123,585,20398386,896112,1673956769,585,911,2,1,2,2,491,1,1667408284,1621792054,46156916,125478657,125495041,2,1,5521060908,73389,73389,2,2,2,125478657,11,3,400076,2922510,2386893,26297,12723,1667408284,1416525,18013053,5310
20072.83,27,262144,64,111530,7349349530,0,0,0,12,12,1494588,133,0,585,1939491,7,27786,15,133,126837126,1172,1,14,16780,26529,2,1123,585,31722239,1838982,2205975195,585,911,2,1,2,2,491,1,2197332380,2151659299,84313462,166676103,166692487,2,1,7333748532,73389,73389,2,2,2,166676103,11,3,422143,3992258,2791239,35073,16766,2197332380,1904418,28931340,5310
25083.58,27,262144,64,139443,9188477622,0,0,0,12,12,1494588,138,0,585,2424074,7,35673,15,133,127621416,1172,1,14,20880,34371,2,1123,585,41724920,2632931,2745492285,585,911,2,1,2,2,491,1,2734727580,2689309456,138456811,208481916,208498300,2,1,9173204304,73389,73389,2,2,2,208481916,11,3,437739,5063206,3173990,44555,20866,2734727580,2379519,38552366,5310
30094.41,27,262144,64,166994,11003881682,0,0,0,12,12,1494588,142,1,585,2902165,7,43403,15,133,128152320,1172,1,14,24930,42128,2,1123,585,50403113,3345042,3278435645,585,911,2,1,2,2,491,1,3265569180,3220021050,161031126,249738865,249755249,2,1,10988510060,73389,73389,2,2,2,249738865,11,3,444132,6132587,3534024,54006,24916,3265569180,2848159,46869435,5310
35105.69,27,262144,64,195735,12897804486,8,13805809,61,12,12,1494588,147,2,585,3382031,7,51511,15,133,128948676,1172,1,14,29151,49947,2,1123,585,63157479,4303734,3833746689,585,911,2,1,2,2,491,1,3818693020,3773582104,366790131,292777352,292793736,2,1,12882203488,73389,73389,2,2,2,292777352,11,3,474972,7215977,3987412,63527,29137,3818824092,3318608,59171265,5310
40118.89,27,262144,64,226449,14921560722,10,18799201,180,13,13,1494588,152,3,585,3854469,7,60168,15,133,129745032,1172,1,14,33663,55479,2,1123,585,72041413,4676174,4427338107,585,911,2,1,2,2,491,1,4409958812,4365210643,382059225,338768833,338785217,2,1,14905828652,73389,73389,2,2,2,338768833,11,3,481967,8241057,4265248,72926,33648,4409958812,3781543,67776364,5310
45132.16,27,262144,64,253785,16722946938,13,27296787,244,19,19,1494588,157,3,585,4326923,7,67879,15,133,130541388,1172,1,14,37684,62158,2,1123,585,81935521,5280142,4955811806,585,911,2,1,2,2,491,1,4936343964,4891754530,412746403,379714486,379730870,2,1,16707437384,73389,73389,2,2,2,379714486,11,3,501258,9264138,4636564,82286,37663,4936343964,4244637,77297435,5310
50142.27,27,262144,64,279555,18420835026,14,31570192,261,24,24,1494588,161,3,585,4788221,7,75147,15,133,131072292,1172,1,14,41476,66682,2,1123,585,89307194,5873108,5454029934,585,911,2,1,2,2,491,1,5432582556,5388167863,431330353,418307320,418323704,2,1,18405522080,73389,73389,2,2,2,418307320,11,3,516470,10275738,4984437,91936,41450,5432582556,4696285,84322771,5310
55155.13,27,262144,64,309750,20410578078,19,43779707,310,29,29,1494588,166,4,585,5255433,7,83655,15,133,131868648,1172,1,14,45918,72064,2,1123,585,100276769,6514388,6038014757,585,911,2,1,2,2,491,1,6014280092,5969878424,497698978,463536945,463536945,2,1,20394904684,73389,73389,2,2,2,463520561,11,3,532821,11291656,5350337,101078,45887,6014280092,5154355,94926528,5310
60165.25,27,262144,64,340105,22410806890,19,43941238,313,29,29,1494588,171,4,585,5732898,7,92208,15,133,132665004,1172,1,14,50378,78790,2,1123,585,108390523,6997260,6624889177,585,911,2,1,2,2,491,1,6598861212,6554560217,516917525,508995946,508995946,2,1,22395100728,73389,73389,2,2,2,508979562,11,3,547592,12318193,5701582,110238,50347,6598861212,5622660,102688830,5310
65175.45,27,262144,64,373187,24590560796,19,43977732,314,29,29,1494588,177,4,585,6198431,7,101562,15,133,133461360,1172,1,14,55236,83775,2,1123,585,117792775,7365664,7264119107,585,911,2,1,2,2,491,1,7235608988,7191701164,543929639,558528086,558544470,2,1,24575235784,73389,73389,2,2,2,558528086,11,3,559964,13315367,6034138,119460,55205,7235608988,6078971,111757138,5310
