timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.41,8,262144,64,45198,2978336964,18,18,604473,122,0,585,512480,3,9069,21,58,125015160,1172,1,20,7042,3836,2,170,585,7622934,8424,923659415,585,695,2,1,2,2,349,1,920166812,873974851,13957658,67345805,67362189,2,1,2963215420,73389,73389,2,2,2,67345805,6,3,74103,1022371,702644,9504,7022,920166812,502976,6920674,3011
10018.79,8,262144,64,89816,5918361398,18,18,604473,129,0,585,969998,3,21642,21,58,126076968,1172,1,20,13595,6249,2,170,585,16986357,11923,1785849150,585,695,2,1,2,2,349,1,1779081628,1733448814,43203395,134161289,134161289,2,1,5903096716,73389,73389,2,2,2,134161289,6,3,92805,1936918,961064,18507,13575,1779081628,951491,16025512,3011
15025.48,8,262144,64,134593,8868775891,18,18,604473,137,0,585,1435623,3,34296,21,58,127368030,1172,1,20,20174,9295,2,170,585,29121209,26167,2651460175,585,695,2,1,2,2,349,1,2641404316,2595894350,77717474,201214341,201230725,2,1,8853431004,73389,73389,2,2,2,201214341,6,3,117680,2867888,1212437,27976,20154,2641404316,1407647,27909572,3011
20032.63,8,262144,64,182328,12014385198,18,18,604473,145,0,585,1886253,3,47737,21,58,128683224,1172,1,20,27188,11851,2,170,585,40156504,29725,3574157368,585,695,2,1,2,2,349,1,3560612252,3515373641,103409962,272696662,272713046,2,1,11998653128,73389,73389,2,2,2,272696662,6,3,142371,3777232,1446050,37121,27168,3560612252,1849132,38711072,3011
25036.85,8,262144,64,236244,15567009114,18,18,604473,154,0,585,2302607,3,62949,21,58,130010484,1172,1,20,35107,12760,2,170,585,50566867,33017,4616221845,585,695,2,1,2,2,349,1,4598702492,4553956051,135668286,353445406,353445406,2,1,15550876968,73389,73389,2,2,2,353429022,6,3,185246,4620327,1729844,46558,35087,4598702492,2256049,48837501,3011
30041.16,8,262144,64,289062,19047336654,18,18,604473,163,0,585,2682423,3,77796,21,58,131337744,1172,1,20,42866,13823,2,170,585,61400635,33791,5637135473,585,695,2,1,2,2,349,1,5615690140,5571333417,163573377,432541525,432557909,2,1,19031827100,73389,73389,2,2,2,432541525,6,3,218248,5410768,1984312,55940,42846,5615690140,2626483,59417230,3011
35044.52,8,262144,64,345531,22768263390,18,18,1001278,172,0,585,3105178,3,93690,21,58,132665004,1172,1,20,51161,14921,2,170,585,72069344,35484,6728517853,585,695,2,1,2,2,349,1,6702932380,6659014987,190338130,517107297,517123681,2,1,22752721068,73389,73389,2,2,2,517107297,6,3,259081,6264617,2264674,65421,51141,6702932380,3039757,69805653,3011
40065.30,8,262144,64,375486,24742024416,18,18,1946606,177,0,585,3449900,3,102189,21,58,133461360,1172,1,20,55561,35011,2,170,585,78097295,1604309,7307547621,585,695,2,1,2,2,349,1,7279649180,7235973145,257686360,561970441,561986825,2,1,24726699404,73389,73389,2,2,2,561970441,6,3,277325,7536647,2516061,74424,55541,7279649180,3375476,75580901,3011
45102.54,8,262144,64,385359,25392512220,18,18,2506632,179,1,585,3750103,3,104991,21,58,133726812,1172,1,20,57010,64891,2,170,585,83892508,4584472,7498317097,585,695,2,1,2,2,349,1,7469572508,7426200275,363520562,576753510,576769894,2,1,25377154440,73389,73389,2,2,2,576753510,6,3,288154,9125039,2857304,83280,56990,7469572508,3666823,81033759,3011
50130.39,8,262144,64,395542,26063581636,18,18,2967983,181,1,585,4038031,3,107874,21,58,133992264,1172,1,20,58507,94509,2,170,585,89775783,7541318,7695405300,585,695,2,1,2,2,349,1,7665787292,7622403575,443107714,592001364,592001364,2,1,26047073668,73389,73389,2,2,2,591978947,6,3,297444,10688180,3224334,93054,58487,7665787292,3944977,86559598,3011
