timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.76,11,262144,64,44584,2937832408,16,16,607200,122,0,585,509228,4,8925,19,58,125015160,1172,1,18,6947,3396,2,284,585,6773074,13600,911423174,585,681,2,1,2,2,471,1,907977116,862098287,13349896,66422268,66438652,2,1,2922579792,73389,73389,2,2,2,66422268,8,3,61871,1002794,659648,9836,6929,907977116,499392,6114005,3134
10019.36,11,262144,64,90442,5959652386,16,16,958338,129,0,585,950626,4,21814,19,58,126076968,1172,1,18,13686,5580,2,284,585,17092293,17593,1797951962,585,681,2,1,2,2,471,1,1791140252,1745484978,42325293,135101210,135101210,2,1,5944453240,73389,73389,2,2,2,135101210,8,3,90024,1893051,938736,18997,13668,1791140252,931629,16154629,3134
15023.13,11,262144,64,140847,9281021070,16,16,1376591,138,1,585,1356667,4,36054,19,58,127621416,1172,1,18,21093,7164,2,284,585,28000779,19833,2772638059,585,681,2,1,2,2,471,1,2762121628,2716339802,66950352,210574750,210591134,2,1,9265289000,73389,73389,2,2,2,210574750,8,3,108104,2714062,1162835,27679,21075,2762121628,1328988,26839546,3134
20027.97,11,262144,64,194287,12802377454,16,16,1487403,147,1,585,1745135,4,51121,19,58,128948676,1172,1,18,28943,8380,2,284,585,38239238,20959,3805487072,585,681,2,1,2,2,471,1,3791036828,3745712308,104534564,290602598,290618982,2,1,12786514312,73389,73389,2,2,2,290602598,8,3,160076,3510973,1438280,36766,28925,3791036828,1708369,36802586,3134
25031.99,11,262144,64,251097,16545724362,16,16,1487403,156,1,585,2163162,4,67056,19,58,130275936,1172,1,18,37286,9655,2,284,585,50059781,21624,4903203658,585,681,2,1,2,2,471,1,4884570524,4840031458,136928413,375692658,375692658,2,1,16530476952,73389,73389,2,2,2,375692658,8,3,200345,4369763,1718211,46306,37268,4884570524,2116856,48342741,3134
30052.37,11,262144,64,298118,19644185018,16,16,2600659,164,1,585,2569463,4,80373,19,58,131603196,1172,1,18,44198,27708,2,284,585,58055436,912873,5812752187,585,681,2,1,2,2,471,1,5790540188,5745819771,183510792,446097953,446120370,2,1,19628309932,73389,73389,2,2,2,446097953,8,3,205937,5551326,1956045,56258,44180,5790540188,2513205,56098838,3134
35071.23,11,262144,64,308052,20298767046,16,16,3128091,166,1,585,2863890,4,83193,19,58,131868648,1172,1,18,45657,59158,2,284,585,63248737,3806470,6004839198,585,681,2,1,2,2,471,1,5981774236,5937168721,243542013,460985359,461001743,2,1,20283355796,73389,73389,2,2,2,460985359,8,3,212801,7217628,2289132,67579,45639,5981774236,2796311,60957021,3134
40084.49,11,262144,64,318434,20982612674,16,16,3567877,168,1,585,3184629,4,86133,19,58,132134100,1172,1,18,47179,82747,2,284,585,67511697,6475685,6205213948,585,681,2,1,2,2,471,1,6181265820,6137091549,307702856,476538476,476538476,2,1,20966972048,73389,73389,2,2,2,476522092,8,3,221248,8848592,2634358,77130,47161,6181265820,3107499,64873279,3134
45098.19,11,262144,64,331207,21824228752,16,16,4029460,170,1,585,3510322,4,89727,19,58,132399552,1172,1,18,49056,108765,2,284,585,72954696,9262371,6452289396,585,681,2,1,2,2,471,1,6427287964,6383137083,341965998,495662861,495662861,2,1,21809165884,73389,73389,2,2,2,495662861,8,3,227411,10404085,2971158,87106,49038,6427287964,3423216,69978506,3134
50125.08,11,262144,64,341431,22497973078,16,16,4509153,172,2,585,3816615,4,92627,19,58,132665004,1172,1,18,50556,137538,2,284,585,77781691,11989048,6649771868,585,681,2,1,2,2,471,1,6623895964,6580031429,378740641,510976251,510976251,2,1,22482955044,73389,73389,2,2,2,510976251,8,3,235657,11958298,3321319,96619,50538,6623895964,3719996,74455340,3134
