timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.55,262144,64,63646,4193993458,0,0,14,14,658601,125,585,486725,2,14284,17,11,125546064,1172,1,16,9746,890,2,79,585,8449929,394,1279970943,585,72,2,1,2,2,240,1,1275109788,1229351677,19760039,94972598,94972598,2,1,4178794312,73389,73389,2,2,2,94972598,3,3,103933,984127,474071,10951,9730,1275109788,475774,7976463,1477
10012.11,262144,64,125803,8289788446,0,0,14,14,658601,135,585,988099,2,31744,17,11,127102578,1172,1,16,18879,2200,2,79,585,19060820,1542,2481620373,585,72,2,1,2,2,240,1,2472190364,2426571514,50755108,188065354,188065354,2,1,8274154680,73389,73389,2,2,2,188048970,3,3,155417,1986002,796973,21450,18863,2472190364,966649,18264207,1477
15016.46,262144,64,182747,12042110234,0,0,14,14,658601,145,585,1402238,2,47811,17,11,128683224,1172,1,16,27247,3294,2,79,585,30327658,2442,3582679311,585,72,2,1,2,2,240,1,3569000860,3523486736,76806983,273325287,273341671,2,1,12026312628,73389,73389,2,2,2,273325287,3,3,203691,2855421,1084461,31674,27231,3569000860,1370564,29244693,1477
20020.68,262144,64,240325,15836054242,123111,6,14,14,658601,155,585,1846825,2,64066,17,11,130275936,1172,1,16,35703,4502,2,79,585,41125903,5701,4695279726,585,72,2,1,2,2,240,1,4677345692,4632584138,137334661,359560068,359560068,2,1,15819922096,73389,73389,2,2,2,359543684,3,3,252187,3764218,1366667,41740,35687,4677345692,1805085,39760977,1477
25024.95,262144,64,297642,19612820958,123111,6,14,14,658601,164,585,2246793,2,80190,17,11,131603196,1172,1,16,44123,5193,2,79,585,51733098,6626,5803119498,585,72,2,1,2,2,240,1,5780971932,5736632013,175137128,445393441,445409825,2,1,19597311404,73389,73389,2,2,2,445393441,3,3,281961,4589684,1584058,51301,44107,5780971932,2195492,50150790,1477
30052.82,262144,64,352366,23218591018,123111,6,14,14,1765763,173,585,2662939,2,95661,17,11,132930456,1172,1,16,52164,11110,2,79,585,61118180,331451,6861133306,585,72,2,1,2,2,240,1,6834921884,6790703066,194253365,527352442,527352442,2,1,23203507448,73389,73389,2,2,2,527352442,3,3,293804,5563694,1787205,60977,52148,6834921884,2601962,59333070,1477
35084.13,262144,64,361916,23847910694,123111,6,14,14,2313816,175,585,2932398,2,98376,17,11,133195908,1172,1,16,53565,32457,2,79,585,66056389,3278962,7045592248,585,72,2,1,2,2,240,1,7018553756,6974618857,246896455,541660375,541660375,2,1,23832335604,73389,73389,2,2,2,541643991,3,3,300997,7179234,2152409,73863,53549,7018553756,2858535,63905749,1477
40112.78,262144,64,372049,24515449924,123111,6,14,14,2843608,177,585,3218117,2,101250,17,11,133461360,1172,1,16,55051,67276,2,79,585,71408854,6339072,7241237270,585,72,2,1,2,2,240,1,7213326748,7169797720,315391472,556828468,556828468,2,1,24499731696,73389,73389,2,2,2,556812084,3,3,312464,8759274,2535849,83624,55035,7213326748,3134493,68873216,1477
45129.96,262144,64,382169,25182390572,123111,6,14,14,3428663,178,585,3519001,2,104064,17,11,133726812,1172,1,16,56538,99798,2,79,585,76666286,9421207,7437006923,585,72,2,1,2,2,240,1,7408230812,7364741334,363723980,571986210,571986210,2,1,25167393240,73389,73389,2,2,2,571986210,3,3,320602,10481356,2913745,93641,56522,7408230812,3425360,73751525,1477
50149.04,262144,64,391956,25827242280,123111,6,14,14,3966978,180,585,3797048,2,106842,17,11,133992264,1172,1,16,57976,124080,2,79,585,81052722,12335897,7626330508,585,72,2,1,2,2,240,1,7596712348,7553273648,393970775,586638207,586638207,2,1,25812081108,73389,73389,2,2,2,586638207,3,3,327938,12171439,3230510,103288,57960,7596712348,3693760,77820250,1477
