timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5021.05,18,262144,64,32932,2170225156,0,0,0,15,15,967612,120,0,585,493644,6,5637,18,37,124749708,1172,1,17,5235,6153,2,1154,585,5285583,114718,686360557,585,911,2,1,2,2,604,1,683712924,637696082,8931521,48972925,48989309,2,1,2154808700,73389,73389,2,2,2,48972925,9,3,87441,994628,951906,8787,5218,683712924,484857,4335187,4123
10036.29,18,262144,64,62881,4143592966,0,0,0,15,15,967612,125,0,585,1016541,6,14079,18,37,125546064,1172,1,17,9634,13226,2,1154,585,14091894,495182,1265079891,585,911,2,1,2,2,604,1,1260167580,1214591814,34100103,93819685,93836069,2,1,4128066140,73389,73389,2,2,2,93819685,9,3,109835,2040788,1281841,18116,9617,1260167580,998425,12813644,4123
15048.73,18,262144,64,89768,5915215670,0,0,0,15,15,967612,129,0,585,1528901,6,21630,18,37,126076968,1172,1,17,13586,19879,2,1154,585,21830674,1109254,1785262381,585,911,2,1,2,2,604,1,1778295196,1732524718,61566367,134079369,134095753,2,1,5899492236,73389,73389,2,2,2,134079369,9,3,124194,3120652,1653890,27776,13569,1778295196,1501125,20182159,4123
20061.03,18,262144,64,117791,7762059494,0,2256421,9,15,15,967612,134,0,585,2011591,6,29547,18,37,127102578,1172,1,17,17702,26721,2,1154,585,33456820,2039483,2326888119,585,911,2,1,2,2,604,1,2317787548,2272314179,107547734,176069280,176069280,2,1,7746327424,73389,73389,2,2,2,176052896,9,3,143557,4153437,2068303,37622,17685,2317787548,1973969,31395304,4123
25075.34,18,262144,64,145742,9603677954,8,11238864,21,15,15,967612,139,0,585,2505323,6,37446,18,37,127886868,1172,1,17,21808,34518,2,1154,585,43992382,2894787,2867069328,585,911,2,1,2,2,604,1,2855838108,2810640814,249544076,217916053,217932437,2,1,9588306332,73389,73389,2,2,2,217916053,9,3,161794,5223048,2493687,47720,21791,2855838108,2457603,41506335,4123
30092.12,18,262144,64,173349,11422752030,8,13729713,33,17,17,967612,143,0,585,2961641,6,45192,18,37,128417772,1172,1,17,25869,42369,2,1154,585,53444862,3734956,3401327286,585,911,2,1,2,2,604,1,3387990428,3342447986,320049517,259263114,259263114,2,1,11407577016,73389,73389,2,2,2,259263114,9,3,172524,6264935,2881086,57081,25850,3387990428,2904560,50571992,4123
35102.30,18,262144,64,202051,13314118930,14,21977726,116,19,19,967612,148,0,585,3423859,6,53295,18,37,129214128,1172,1,17,30086,48660,2,1154,585,64367955,4453340,3955983725,585,911,2,1,2,2,604,1,3940458908,3895320602,387275955,302236065,302252449,2,1,13298386860,73389,73389,2,2,2,302236065,9,3,191865,7277788,3298048,65904,30065,3940458908,3357955,61079005,4123
40114.78,18,262144,64,231693,15267355122,16,27351324,233,22,22,967612,153,0,585,3915023,6,61653,18,37,130010484,1172,1,17,34443,54187,2,1154,585,73639480,4807059,4528923522,585,911,2,1,2,2,604,1,4511146396,4466318353,403775406,346640457,346640457,2,1,15252180108,73389,73389,2,2,2,346640457,9,3,201750,8306829,3610130,75124,34419,4511146396,3839899,70039307,4123
45132.31,18,262144,64,258167,17011452950,22,40297607,288,25,25,967612,158,0,585,4377408,6,69102,18,37,130541388,1172,1,17,38334,62103,2,1154,585,82981473,5440854,5040562030,585,911,2,1,2,2,604,1,5020754332,4976148805,434861838,386273675,386290059,2,1,16996041700,73389,73389,2,2,2,386273675,9,3,215763,9333884,3959195,84513,38307,5020754332,4292895,79035173,4123
50145.54,18,262144,64,286408,18872607754,26,47946801,378,29,29,967612,162,1,585,4881077,6,77038,18,37,131337744,1172,1,17,42491,70438,2,1154,585,93339087,6014226,5587058636,585,911,2,1,2,2,604,1,5565096348,5520288383,464892199,428566690,428583074,2,1,18856934360,73389,73389,2,2,2,428566690,9,3,231112,10399002,4355442,94095,42460,5565096348,4786982,88997429,4123
