timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5037.82,19,262144,64,40139,2644932176,161991,20,64,64,963276,121,1,585,903022,11,7654,67,7848,124749708,1172,1,66,6344,317790,2,51474,585,10136836,10140119,826213360,585,1094,2,1,2,2,1362,1,822649244,776483896,35861130,59750550,59766934,2,1,2629024200,73389,73389,2,2,2,59750550,15,3,342195,8061930,2619548,22001,6278,822649244,881021,7518817,14532
10057.36,19,262144,64,91300,6016123594,161991,20,64,64,2689702,130,1,585,1309867,11,22104,67,7848,126318288,1172,1,66,13860,319528,2,51474,585,20710154,10693989,1815129968,585,1094,2,1,2,2,1362,1,1807786396,1761938638,70969747,136377003,136393387,2,1,6000588132,73389,73389,2,2,2,136377003,15,3,377946,9023089,2885985,31094,13794,1807786396,1278773,17825674,14532
15077.38,19,262144,64,122316,8059937154,161991,20,64,64,3886876,135,1,585,1652635,11,30839,67,7848,127102578,1172,1,66,18415,342148,2,51474,585,28292546,12186469,2414492179,585,1094,2,1,2,2,1362,1,2404819356,2359372324,104117211,182841461,182841461,2,1,8045024284,73389,73389,2,2,2,182841461,15,3,398207,10256570,3188642,39701,18349,2404819356,1612934,25103977,14532
20095.20,19,262144,64,132577,8736118378,161991,20,64,64,4420523,137,1,585,1950920,11,33742,67,7848,127368030,1172,1,66,19926,367467,2,51474,585,33206211,15201616,2613422945,585,1094,2,1,2,2,1362,1,2602869148,2557129979,137762362,198187619,198204003,2,1,8720255236,73389,73389,2,2,2,198187619,15,3,408218,11991210,3519228,48487,19860,2602869148,1902433,29682116,14532
25122.07,19,262144,64,142077,9362161254,161991,20,64,64,4867376,138,2,585,2226917,11,36390,67,7848,127621416,1172,1,66,21319,390348,2,51474,585,37526276,18134348,2796825840,585,1094,2,1,2,2,1362,1,2785452444,2740061687,174341133,212421824,212438208,2,1,9346560256,73389,73389,2,2,2,212421824,15,3,416029,13594041,3860112,57497,21253,2785452444,2169420,33660850,14532
30127.34,19,262144,64,176175,11608753122,161991,20,64,64,6181464,144,2,585,2569306,11,46020,67,7848,128417772,1172,1,66,26326,400503,2,51474,585,45720798,19693837,3455645548,585,1094,2,1,2,2,1362,1,3441729948,3396726889,230105294,263483709,263500093,2,1,11593283196,73389,73389,2,2,2,263483709,15,3,445944,14722043,4167148,65681,26260,3441729948,2503625,41549115,14532
35132.65,19,262144,64,236673,15595389510,161991,20,64,64,6858395,154,2,585,3008678,11,63066,67,7848,130010484,1172,1,66,35217,400971,2,51474,585,56678965,19694233,4625361138,585,1094,2,1,2,2,1362,1,4606960028,4562275450,258438172,354074031,354090415,2,1,15579257364,73389,73389,2,2,2,354074031,15,3,490429,15605593,4420359,75944,35151,4606960028,2932734,52254193,14532
40137.96,19,262144,64,291273,19193033106,161991,20,64,64,6858395,163,2,585,3397954,11,78447,67,7848,131337744,1172,1,66,43237,402019,2,51474,585,67280966,19694913,5680678864,585,1094,2,1,2,2,1362,1,5658288540,5613897074,283711640,435852808,435869192,2,1,19177523552,73389,73389,2,2,2,435852808,15,3,525747,16425678,4630119,84927,43171,5658288540,3313027,62646674,14532
45142.91,19,262144,64,345680,22778028254,161991,20,64,64,6858395,172,2,585,3793022,11,93735,67,7848,132665004,1172,1,66,51227,403101,2,51474,585,78668716,19806199,6731922696,585,1094,2,1,2,2,1362,1,6705553820,6661811358,331677325,517336673,517353057,2,1,22762813612,73389,73389,2,2,2,517336673,15,3,563024,17254594,4870852,94211,51161,6705553820,3698811,73793597,14532
50148.07,19,262144,64,397771,26210457736,161991,20,64,64,7083926,181,2,585,4153248,11,108484,67,7848,133992264,1172,1,66,58880,404236,2,51474,585,88744933,19807050,7738851059,585,1094,2,1,2,2,1362,1,7708647836,7665301060,362398595,595345415,595361799,2,1,26195198260,73389,73389,2,2,2,595345415,15,3,590376,18030059,5054041,103503,58814,7708647836,4049745,83686726,14532
