timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.73,24,262144,64,23468,1546541576,13,13,1486475,118,585,477053,4,2946,16,11,124484256,1172,1,15,3844,6492,2,338,585,4091078,414871,503639979,585,1463,2,1,2,2,759,1,501653916,455344329,5587408,34796064,34812448,2,1,1531026816,73389,73389,2,2,2,34796064,13,3,133744,1027276,1277213,8752,3829,501653916,468301,2812734,5851
10033.16,24,262144,64,51268,3378529552,13,13,1486475,123,585,968339,4,10800,16,11,125280612,1172,1,15,7929,13589,2,338,585,11714875,1117510,1041187837,585,1463,2,1,2,2,759,1,1037083036,991009072,26877553,76435878,76435878,2,1,3362457736,73389,73389,2,2,2,76419494,13,3,164771,2107901,1700015,18143,7914,1037083036,950196,10014318,5851
15043.26,24,262144,64,81703,5383747858,13,13,1541075,128,585,1477511,4,19377,16,11,125811516,1172,1,15,12397,19292,2,338,585,21225641,1701309,1629115728,585,1463,2,1,2,2,759,1,1622712732,1577146673,56166512,122003534,122019918,2,1,5368155496,73389,73389,2,2,2,122003534,13,3,179159,3168484,2066759,27845,12382,1622712732,1449666,19158126,5851
20054.31,24,262144,64,109312,7203194326,13,13,1541075,133,585,1985674,4,27182,16,11,126837126,1172,1,15,16456,25535,2,338,585,31604543,2420599,2163241623,585,1463,2,1,2,2,759,1,2154733980,2108988153,85931315,163364820,163364820,2,1,7188052080,73389,73389,2,2,2,163364820,13,3,198198,4233810,2481890,37316,16441,2154733980,1948358,29121941,5851
25066.16,24,262144,64,135997,8961313306,13,13,1541075,137,585,2486800,4,34677,16,11,127368030,1172,1,15,20375,30638,2,338,585,38504229,3028302,2678952278,585,1463,2,1,2,2,759,1,2668405148,2622917894,113020885,203323559,203323559,2,1,8945515700,73389,73389,2,2,2,203307175,13,3,209865,5300791,2847534,47068,20360,2668405148,2439732,35655165,5851
30080.52,24,262144,64,166066,10942798822,13,13,1586103,142,585,2977305,4,43152,16,11,128152320,1172,1,15,24792,36368,2,338,585,51900166,3840604,3260173622,585,1463,2,1,2,2,759,1,3247350172,3202136359,150560606,248340192,248356576,2,1,10926968448,73389,73389,2,2,2,248340192,13,3,223060,6345412,3253010,57109,24777,3247350172,2920196,48645434,5851
35093.10,24,262144,64,195765,12899770566,13,13,1586103,147,585,3454507,4,51528,16,11,128948676,1172,1,15,29155,43444,2,338,585,59658962,4295553,3834288732,585,1463,2,1,2,2,759,1,3819217308,3774095105,226995870,292826504,292842888,2,1,12884366176,73389,73389,2,2,2,292826504,13,3,232363,7362405,3574921,66455,29140,3819217308,3388052,56081162,5851
40102.43,24,262144,64,228074,15028853078,13,13,1586103,153,585,3937131,4,60630,16,11,130010484,1172,1,15,33903,48635,2,338,585,68457246,4632153,4459049865,585,1463,2,1,2,2,759,1,4441547164,4396577537,251973986,341219956,341219956,2,1,15012957168,73389,73389,2,2,2,341203572,13,3,240705,8362845,3877336,76170,33888,4441547164,3860961,64579197,5851
45110.40,24,262144,64,261450,17227934898,13,13,1586103,158,585,4404758,4,70044,16,11,130541388,1172,1,15,38803,52798,2,338,585,79609678,4912207,5103805884,585,1463,2,1,2,2,759,1,5083799964,5039397342,279769247,391186272,391202656,2,1,17212195968,73389,73389,2,2,2,391186272,13,3,259362,9339805,4191393,85217,38788,5083799964,4319541,75417533,5851
50115.40,24,262144,64,305505,20130785046,13,13,1760468,166,585,4823427,4,82445,16,11,131603196,1172,1,15,45279,56076,2,338,585,93531825,5044095,5955874508,585,1463,2,1,2,2,759,1,5932622236,5888102771,330139445,457176523,457176523,2,1,20115046116,73389,73389,2,2,2,457160139,13,3,281741,10225065,4499390,94313,45264,5932622236,4729114,89031177,5851
