timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.23,262144,64,58927,3882870910,0,0,0,18,18,692199,124,585,469153,2,12945,21,28,125280612,1172,1,20,9056,864,2,96,585,7968699,797,1188653982,585,98,2,1,2,2,355,1,1184145820,1138386384,16839440,87901631,87901631,2,1,3867671764,73389,73389,2,2,2,87901631,4,3,141246,939584,552937,9972,9036,1184145820,459181,7415604,1540
10012.73,262144,64,109288,7201621462,0,0,0,18,18,1010938,133,585,876057,2,27132,21,28,126837126,1172,1,20,16457,2144,2,96,585,18687752,1729,2162412101,585,98,2,1,2,2,355,1,2154209692,2108470520,47894446,163332052,163332052,2,1,7185889392,73389,73389,2,2,2,163315668,4,3,155850,1784183,778387,19044,16437,2154209692,857013,17909058,1540
15019.37,262144,64,157052,10348871894,0,0,0,18,18,1010938,141,585,1319356,2,40610,21,28,128152320,1172,1,20,23474,4640,2,96,585,29206508,12822,3085653889,585,98,2,1,2,2,355,1,3073941916,3028508236,80272460,234857492,234857492,2,1,10333008752,73389,73389,2,2,2,234841108,4,3,181077,2700999,1056839,28751,23454,3073941916,1290605,28150109,1540
20026.70,262144,64,200322,13200010830,0,908020,7,18,18,1010938,148,585,1790193,2,52824,21,28,129214128,1172,1,20,29830,8391,2,96,585,39390429,48550,3921932013,585,98,2,1,2,2,355,1,3907035548,3861933836,118225762,299645678,299662062,2,1,13184409832,73389,73389,2,2,2,299645678,4,3,205296,3664855,1332549,38309,29810,3907035548,1751884,38058622,1540
25034.60,262144,64,239787,15800530422,15,19751509,172,19,19,1010938,155,585,2259593,2,63891,21,28,130010484,1172,1,20,35629,13294,2,96,585,51554064,118078,4684828639,585,98,2,1,2,2,355,1,4666991004,4622231462,379409241,358751219,358751219,2,1,15785053636,73389,73389,2,2,2,358751219,4,3,230368,4631054,1626799,47954,35608,4666991004,2211639,49928604,1540
30046.00,262144,64,275041,18123412810,16,24537530,315,19,19,1010938,160,585,2689937,2,73814,21,28,130806840,1172,1,20,40807,19834,2,96,585,62063647,249890,5366184637,585,98,2,1,2,2,355,1,5345681820,5301123709,397455007,411553682,411570066,2,1,18108362008,73389,73389,2,2,2,411553682,4,3,240184,5571530,1904518,57743,40787,5345681820,2632194,60162354,1540
35057.38,262144,64,308942,20357359538,16,27263424,378,27,27,1010938,166,585,3213315,2,83436,21,28,131868648,1172,1,20,45797,25850,2,96,585,71500439,431456,6021732505,585,98,2,1,2,2,355,1,5998682524,5954270032,426045028,462318496,462334880,2,1,20342013824,73389,73389,2,2,2,462318496,4,3,260848,6593047,2233629,66784,45768,5998682524,3146531,69271018,1540
40069.27,262144,64,337496,22238761658,24,38344079,459,32,32,1010938,171,585,3719347,2,91497,21,28,132665004,1172,1,20,49996,32957,2,96,585,79898686,818720,6573622553,585,98,2,1,2,2,355,1,6548398492,6504231547,460001864,505088806,505088806,2,1,22223186568,73389,73389,2,2,2,505072422,4,3,268920,7645171,2533233,77339,49962,6548398492,3642008,77370571,1540
45080.00,262144,64,363019,23920462354,33,49943908,538,37,37,1010938,175,585,4137572,2,98679,21,28,133195908,1172,1,20,53747,39419,2,96,585,90635487,1413262,7066578583,585,98,2,1,2,2,355,1,7039394204,6995844341,489555510,543304808,543321192,2,1,23905411552,73389,73389,2,2,2,543304808,4,3,279924,8615034,2852640,87326,53708,7039394204,4050246,87789568,1540
50093.12,262144,64,390754,25748202556,33,54955297,570,44,44,1010938,180,585,4586011,2,106515,21,28,133992264,1172,1,20,57828,46279,2,96,585,98515421,2026257,7602679165,585,98,2,1,2,2,355,1,7573381532,7530180906,512082196,584829934,584846318,2,1,25732517096,73389,73389,2,2,2,584829934,4,3,297371,9615434,3180191,96408,57782,7573381532,4489603,95343739,1540
