timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5040.94,104,262144,64,24017,1582786292,9,18573538,503,18,18,5430,201,23,576,855525,11,9402,21,1,105635220,1154,1,4,2075,29703760,15,118750464,20,4489,68583,2,14604,576,29650936,5254168,537552494,576,2049,3,1,2,2,3991,3,534754060,501703366,55661765,30208988,30225372,3,1,1570867408,73389,73389,2,2,2,30208992,32,1,3,131172,3939935,1438596,28769,4469,534754060,826756,28212225,10293
10056.39,212,262144,64,47284,3114562420,9,29309333,983,19,19,5430,351,49,576,1609610,11,18540,21,1,111619956,1154,1,4,2075,58692079,15,234639212,20,8462,109085,2,14604,576,58528145,10227797,1019321362,576,2049,3,1,2,2,3991,3,1013780768,983735633,101771163,59693650,59693650,3,1,3104069832,73389,73389,2,2,2,59693654,32,1,3,177440,7429395,2389914,54265,8441,1013780768,1555345,56136778,10293
15060.84,305,262144,64,69768,4597762842,11,42329054,1454,19,19,5430,495,60,576,2326897,11,27423,21,1,115686198,1154,1,4,2075,86863279,15,347453116,20,12329,167713,2,14604,576,85796378,14803214,1489005570,576,2049,3,1,2,2,3991,3,1480895879,1450635493,148872414,88216801,88216801,3,1,4587273684,73389,73389,2,2,2,88216805,32,1,3,202073,10864637,3202874,78815,12308,1480895879,2248082,82591114,10293
20080.31,363,262144,64,88303,5818155688,18,52386441,1852,26,26,5430,619,70,576,2716775,11,34694,21,1,116313630,1154,1,4,2075,109812092,15,439248368,20,15535,183260,2,14604,576,101081683,16969545,1876237889,576,2049,3,1,2,2,3991,3,1866185509,1834986075,177500822,111639827,111688979,3,1,5805271036,73389,73389,2,2,2,111639831,32,1,3,241008,12679131,3722821,92324,15507,1866185509,2624451,97354389,10293
25104.36,492,262144,64,110303,7267778522,19,60956456,2329,27,27,5430,760,82,576,3428146,11,43323,21,1,116928996,1154,1,4,2075,137294892,15,548985584,20,19312,255097,2,14604,576,128953413,21737670,2334734794,576,2049,3,1,2,2,3991,3,2322186102,2291571429,220533161,139495996,139545148,3,1,7253791824,73389,73389,2,2,2,139496000,32,1,3,276832,16186852,4641384,118025,19285,2322317174,3310476,124305767,10293
30128.20,588,262144,64,132101,8703885566,19,68776117,2774,28,28,5430,900,98,576,4123979,11,51937,21,1,117508164,1154,1,4,2075,164410175,15,657640700,20,23060,305158,2,14604,576,155779757,26488135,2789362447,576,2049,3,1,2,2,3991,3,2774343539,2743778460,261853566,167116756,167182292,3,1,8690071344,73389,73389,2,2,2,167116760,32,1,3,312957,19648835,5482180,142147,23030,2774343539,3981832,150285288,10293
35149.53,697,262144,64,155616,10253760720,19,80312022,3236,29,29,5430,1050,112,576,4880294,11,61226,21,1,117508164,1154,1,4,2075,193838957,15,775226492,20,27096,374347,2,14604,576,184167111,31664755,3279857352,576,2049,3,1,2,2,3991,3,3262147203,3231626171,308697330,196924336,196989872,3,1,10240065504,73389,73389,2,2,2,196924340,32,1,3,335232,23385320,6349104,170844,27066,3262147203,4709450,177805115,10293
40164.37,812,262144,64,179366,11819314352,21,91567678,3701,30,30,5430,1209,139,576,5644238,11,70601,21,1,117508164,1154,1,4,2075,223622125,15,894359260,20,31213,433926,2,14604,576,212514109,36897201,3777841723,576,2049,3,1,2,2,3991,3,3757400710,3724598927,355876586,227065629,227065629,3,1,11807412740,73389,73389,2,2,2,227065633,32,1,3,357757,27234929,7239636,201135,31181,3757400710,5443103,205262544,10293
45186.31,911,262144,64,203078,13382425880,21,102505956,4157,30,30,5430,1359,149,576,6380898,11,79957,21,1,117508164,1154,1,4,2075,253240647,15,1012768684,20,35281,487040,2,14604,576,240765827,41683115,4271308604,576,2049,3,1,2,2,3991,3,4248175479,4216766989,401562171,257100426,257133194,3,1,13368370216,73389,73389,2,2,2,257084046,32,1,3,383948,30772100,8085368,226041,35249,4248175479,6154857,232668523,10293
50208.05,1023,262144,64,227498,14990633768,22,109431680,4635,31,31,5430,1516,174,576,7157022,11,89561,21,1,117508164,1154,1,4,2075,283656242,15,1134366988,20,39485,530046,2,14604,576,269980448,46936060,4782486736,576,2049,3,1,2,2,3991,3,4756536046,4723083537,445535454,288012211,288061363,3,1,14975783036,73389,73389,2,2,2,287995831,32,1,3,409642,34583888,8977854,252583,39452,4756536046,6904439,260992761,10293
55212.07,1092,262144,64,250222,16487403016,31,124693443,5010,32,32,5430,1662,189,576,7741106,11,98497,21,1,117508164,1154,1,4,2075,311986209,15,1247944836,20,43406,585034,2,14604,576,292371105,50486346,5257787828,576,2049,3,1,2,2,3991,3,5229346373,5194481614,488341120,316812619,316812619,3,1,16474256220,73389,73389,2,2,2,316812623,32,1,3,433765,37338741,9642343,272640,43372,5229346373,7468466,282717314,10293
60215.85,1092,262144,64,265519,17495529964,31,125015261,5248,32,32,5430,1762,189,576,7824527,11,104516,21,1,117508164,1154,1,4,2075,331009482,15,1324037928,20,46054,585164,2,14604,576,296848150,50486481,5578938671,576,2049,3,1,2,2,3991,3,5549068969,5512102433,493460848,336172413,336188797,3,1,17480965508,73389,73389,2,2,2,336172417,32,1,3,438627,37543914,9689578,275624,46020,5549068969,7548903,287147601,10293
65220.53,1176,262144,64,286527,18881142564,32,130314325,5669,41,41,5430,1900,200,576,8393571,11,112761,21,1,117508164,1154,1,4,2075,357094244,15,1428312384,20,49786,628407,2,14604,576,318705860,53903069,6029783197,576,2049,3,1,2,2,3991,3,5997584325,5949569519,525598983,362760537,362760537,3,1,18863547956,73389,73389,2,2,2,362760541,32,1,3,511234,40137969,10571585,297666,49743,5997584325,8095905,308124843,10293
70224.23,1211,262144,64,305367,20122440906,48,151752468,5970,49,49,5430,2019,204,576,8735856,11,120161,21,1,117508164,1154,1,4,2075,380495538,15,1521982152,20,53085,644971,2,14604,576,332971897,55726315,6430127114,576,2049,3,1,2,2,3991,3,6395956100,6340850593,564198483,386586686,386586686,3,1,20101655736,73389,73389,2,2,2,386570306,32,1,3,561133,41624510,11095076,309378,53034,6395956100,8426478,321866969,10293
75229.00,1211,262144,64,318687,21000062034,48,152518848,6322,49,49,5430,2106,204,576,8810586,11,125408,21,1,117508164,1154,1,4,2075,397116804,15,1588467216,20,55378,645148,2,14604,576,337027389,55726421,6707623920,576,2049,3,1,2,2,3991,3,6672212061,6617169002,569304297,403462589,403462589,3,1,20980054660,73389,73389,2,2,2,403462593,32,1,3,563106,41804671,11126670,312094,55327,6672212061,8498492,325890980,10293
80233.75,1212,262144,64,334536,22045040550,48,155277806,6490,50,50,5430,2209,204,576,8903888,11,131671,21,1,117508164,1154,1,4,2075,416960065,15,1667775700,20,58120,645480,2,14604,576,342076054,55726543,7039534708,576,2049,3,1,2,2,3991,3,7002626393,6946432099,577482637,423538961,423538961,3,1,22024026004,73389,73389,2,2,2,423538965,32,1,3,569927,42034209,11170613,315414,58068,7002626393,8588474,330896115,10293
85237.42,1212,262144,64,350666,23107155686,51,161482264,6591,53,53,5430,2311,204,576,9012853,11,138012,21,1,117508164,1154,1,4,2075,437036898,15,1748147592,20,60966,645801,2,14604,576,347545201,55727010,7384175990,576,2049,3,1,2,2,3991,3,7345703432,7281559649,589566644,443918881,443918881,3,1,23083781844,73389,73389,2,2,2,443918885,32,1,3,576745,42292251,11231904,318969,60911,7345703432,8693884,336304321,10293
90241.88,1212,262144,64,366886,24175482778,52,165209520,6636,53,53,5430,2417,204,576,9112740,11,144364,21,1,117508164,1154,1,4,2075,457169687,15,1828614216,20,63845,646047,2,14604,576,352490316,55727172,7732735815,576,2049,3,1,2,2,3991,3,7692713652,7618643754,598623581,464419522,464419522,3,1,24149815176,73389,73389,2,2,2,464419526,32,1,3,580233,42533774,11282061,322452,63790,7692713652,8790288,341199762,10293
95246.75,1212,262144,64,380187,25052244834,54,169347981,6887,55,55,5430,2502,204,576,9193839,11,149550,21,1,117508164,1154,1,4,2075,473548260,15,1894128480,20,66257,646335,2,14604,576,356591696,55728227,8025263055,576,2049,3,1,2,2,3991,3,7983946660,7896227178,607178267,481178578,481178578,3,1,25021286088,73389,73389,2,2,2,481178582,32,1,3,586869,42734721,11326572,325348,66200,7983946660,8868491,345256933,10293
