timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.37,0,262144,64,34685,2286642146,3,6950749,137,6,6,4314,261,0,576,224469,0,3,13621,9,105948936,1154,1,4,346,43101229,8,172275768,8,6289,454,2,35,576,10471695,288,758312312,576,120,0,3,1,2,2,839,3,754968680,723087100,18251882,43750747,43750747,3,1,2275038876,73389,73389,2,2,2,43750751,5,3,29286,523046,155929,7452,6281,754968680,217017,10315855,1097
10011.85,0,262144,64,71338,4700352712,11,17672570,323,13,13,4314,497,3,576,436352,0,3,28045,14,111607890,1154,1,4,346,88793631,8,355109932,13,12606,813,2,103,576,21263774,581,1523857371,576,120,0,3,1,2,2,839,3,1517130395,1482904888,40579014,90193232,90193232,3,1,4690048096,73389,73389,2,2,2,90193236,5,3,48165,1027544,292101,14654,12591,1517130395,421698,20972030,1097
15016.83,0,262144,64,99036,6525354366,11,19432122,529,13,13,4314,665,3,576,591367,0,3,38909,14,115987848,1154,1,4,346,123216071,8,492799720,13,17389,980,2,103,576,29120770,837,2104775730,576,120,0,3,1,2,2,839,3,2095495641,2058566144,50791961,125220831,125220831,3,1,6511483244,73389,73389,2,2,2,125220835,5,3,57967,1403322,353183,19800,17374,2095495641,571567,28768466,1097
20036.95,57,262144,64,128102,8440878020,11,26167772,936,25,25,4314,873,8,576,1171307,0,3,50361,18,117206514,1154,1,4,346,159423322,8,637434516,17,22535,52289,2,2595,576,51979902,3176722,2725666180,576,120,0,3,1,2,2,839,3,2713312412,2662510954,85181840,161995041,161995041,3,1,8422890196,73389,73389,2,2,2,161978661,5,3,105604,3893595,1125776,39211,22508,2713312412,1132096,50854402,1097
25048.68,233,262144,64,165612,10912671432,13,40316444,1590,27,27,4314,1116,39,576,2437232,0,3,65109,18,117508164,1154,1,4,346,206072902,8,824291608,17,29087,154619,2,2595,576,98496943,10564145,3519816343,576,120,0,3,1,2,2,839,3,3503178108,3441876199,156685021,209456764,209473148,3,1,10890047824,73389,73389,2,2,2,209424000,5,3,149047,9523093,2497118,85220,29058,3503178108,2352012,95998794,1097
30052.45,369,262144,64,198824,13101825836,22,59713453,2089,35,35,4314,1330,57,576,3334014,0,3,78124,18,117508164,1154,1,4,346,247383339,8,989468956,17,34920,229149,2,2595,576,131827750,15416788,4226379053,576,120,0,3,1,2,2,839,3,4206111363,4132283679,216787818,251485476,251485476,3,1,13077244784,73389,73389,2,2,2,251485480,5,3,197554,13428655,3573894,115312,34883,4206111363,3218702,128251968,1097
35056.26,369,262144,64,221697,14609011512,33,73663820,2300,35,35,4314,1477,57,576,3461009,0,3,87153,18,117508164,1154,1,4,346,275954128,8,1103816512,17,39028,229306,2,2595,576,138634844,15417747,4724112214,576,120,0,3,1,2,2,839,3,4701636449,4608378986,238117073,280349261,280349261,3,1,14578161604,73389,73389,2,2,2,280349265,5,3,198658,13745981,3621520,119893,38991,4701636449,3341116,135011735,1097
40060.51,378,262144,64,248871,16401216750,33,75162632,2473,35,35,4314,1652,57,576,3625869,0,3,97840,18,117508164,1154,1,4,346,309793685,8,1239109996,17,43889,229585,2,2595,576,146741999,15418055,5313213628,576,120,0,3,1,2,2,839,3,5288149927,5174470438,248358389,314688288,314688288,3,1,16363791008,73389,73389,2,2,2,314688292,5,3,199986,14147225,3676614,125550,43852,5288149927,3500319,143064040,1097
45064.60,378,262144,64,268873,17718028426,38,84014955,2615,40,40,4314,1785,57,576,3744434,0,3,105641,18,117508164,1154,1,4,346,334436148,8,1337744592,17,47564,229772,2,2595,576,152675312,15418529,5756706805,576,120,0,3,1,2,2,839,3,5729693741,5590916789,263595193,339878627,339878627,3,1,17673688636,73389,73389,2,2,2,339878631,5,3,210592,14433343,3751170,129931,47522,5729693741,3614503,148922972,1097
50079.07,428,262144,64,289614,19085153502,39,90541163,2839,48,48,4314,1918,68,576,4129627,0,3,113845,18,117508164,1154,1,4,346,360449094,8,1441538032,17,51380,250544,2,2595,576,167994327,17263191,6218740580,576,120,0,3,1,2,2,839,3,6189507979,6023566578,288317370,366000251,366033019,3,1,19032013084,73389,73389,2,2,2,366000255,5,3,240590,16102240,4235487,142885,51330,6189507979,3986742,163759195,1097
