timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.62,18,262144,64,26371,1737854392,0,0,0,17,17,1297991,119,9,585,505675,5,3792,20,20,124484256,1172,1,19,4273,4833,2,238,585,4529064,293713,559547956,585,1052,2,1,2,2,473,1,557359516,511266567,6565785,39153764,39153764,2,1,1721779268,73389,73389,2,2,2,39131347,9,3,97670,1036226,1115635,9652,4254,557359516,496023,3412414,5066
10030.09,18,262144,64,53755,3542313940,0,0,0,17,17,1297991,123,9,585,1016336,5,11478,20,20,125280612,1172,1,19,8298,11084,2,238,585,12342263,1021528,1089201436,585,1052,2,1,2,2,473,1,1084924316,1038902281,33493927,80156761,80156761,2,1,3526176588,73389,73389,2,2,2,80140377,9,3,143216,2146998,1601196,19375,8279,1084924316,996961,10741059,5066
15039.11,18,262144,64,82753,5452826110,0,0,0,17,17,1297991,128,9,585,1512144,5,19662,20,20,125811516,1172,1,19,12556,17877,2,238,585,21819056,1742843,1649505173,585,1052,2,1,2,2,473,1,1643028892,1597354918,59968670,123582431,123582431,2,1,5436906068,73389,73389,2,2,2,123566047,9,3,153389,3208198,1951886,28909,12537,1643028892,1483235,19867099,5066
20049.72,18,262144,64,109317,7203522006,0,0,0,17,17,1297991,133,9,585,1993306,5,27183,20,20,126837126,1172,1,19,16461,26854,2,238,585,31771454,2496917,2163242913,585,1052,2,1,2,2,473,1,2154733980,2109030301,85182322,163364820,163381204,2,1,7188052080,73389,73389,2,2,2,163364820,9,3,167883,4242209,2324807,38186,16442,2154865052,1955292,29446755,5066
25061.24,18,262144,64,135979,8960133658,0,0,0,17,17,1297991,137,9,585,2475602,5,34674,20,20,127368030,1172,1,19,20376,33546,2,238,585,38136664,3112260,2678557752,585,1052,2,1,2,2,473,1,2668011932,2622592525,126748981,203290791,203307175,2,1,8944794804,73389,73389,2,2,2,203290791,9,3,182858,5294843,2701508,47121,20357,2668011932,2428481,35434620,5066
30070.42,18,262144,64,165038,10874896910,0,0,0,17,17,1297991,142,9,585,2936196,5,42873,20,20,128152320,1172,1,19,24646,39110,2,238,585,50354770,3989963,3240440403,585,1052,2,1,2,2,473,1,3227689372,3182273404,162836773,246804414,246820798,2,1,10859394216,73389,73389,2,2,2,246804414,9,3,194004,6313161,3078935,56352,24627,3227689372,2879844,47276603,5066
35080.71,18,262144,64,194073,12788352750,0,0,0,17,17,1297991,147,9,585,3419850,5,51066,20,20,128948676,1172,1,19,28910,45516,2,238,585,58034401,4435225,3801534167,585,1052,2,1,2,2,473,1,3786580380,3741552655,179502822,290291302,290307686,2,1,12772817288,73389,73389,2,2,2,290291302,9,3,203472,7336198,3388277,66047,28891,3786580380,3353803,54646007,5066
40090.20,18,262144,64,220132,14505180742,6,10727205,27,17,17,1297991,151,9,585,3901460,5,58392,20,20,129479580,1172,1,19,32737,52542,2,238,585,71482866,5372924,4305145183,585,1052,2,1,2,2,473,1,4288192924,4243544890,363114174,329310120,329326504,2,1,14489645280,73389,73389,2,2,2,329310120,9,3,222864,8381976,3851527,76285,32718,4288192924,3825175,67630770,5066
45102.77,18,262144,64,248203,16355001370,9,17666149,41,18,18,1297991,156,9,585,4408520,5,66321,20,20,130275936,1172,1,19,36865,59073,2,238,585,80619244,5985268,4848087332,585,1052,2,1,2,2,473,1,4829127068,4784324129,608302731,371343150,371359534,2,1,16339098600,73389,73389,2,2,2,371343150,9,3,247721,9436707,4281940,85545,36845,4829127068,4322975,76337191,5066
50114.08,18,262144,64,278909,18378233318,9,17677253,42,24,24,1297991,161,9,585,4889282,5,74970,20,20,131072292,1172,1,19,41382,66337,2,238,585,87679771,6461496,5441802192,585,1052,2,1,2,2,473,1,5420392860,5375693002,626365251,417351015,417351015,2,1,18363444660,73389,73389,2,2,2,417351015,9,3,262939,10486251,4622401,94737,41356,5420392860,4794545,83057810,5066
