timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5021.50,20,262144,64,25041,1650160608,0,0,0,14,14,1389448,119,0,585,435125,3,3375,17,25,124484256,1172,1,16,4076,4941,2,918,585,4320113,97345,534027863,585,970,2,1,2,2,468,1,531931548,485659506,5566601,37159234,37159234,2,1,1635006296,73389,73389,2,2,2,37159234,12,3,367188,851499,1752333,7062,4060,531931548,428063,2566721,5033
10034.27,20,262144,64,54234,3573971136,0,1730601,5,14,14,1389448,123,0,585,958237,3,11608,17,25,125280612,1172,1,16,8366,12461,2,918,585,12460853,474634,1098410259,585,970,2,1,2,2,468,1,1094099356,1048127169,25759472,80867306,80883690,2,1,3558161464,73389,73389,2,2,2,80867306,12,3,393339,1903967,2159692,16332,8350,1094099356,941905,10298992,5033
15045.22,20,262144,64,80273,5289500474,3,5574883,11,14,14,1389448,128,1,585,1457724,3,18987,17,25,125811516,1172,1,16,12187,22399,2,918,585,22358881,1313703,1601362203,585,970,2,1,2,2,468,1,1595056540,1549587781,80667737,119861548,119877932,2,1,5273908112,73389,73389,2,2,2,119861548,12,3,416196,2998786,2611711,26059,12171,1595056540,1431665,19747706,5033
20057.66,20,262144,64,109785,7234192854,4,9293462,26,14,14,1389448,133,1,585,1967786,3,27309,17,25,126837126,1172,1,16,16524,30962,2,918,585,33336869,2180423,2172057563,585,970,2,1,2,2,468,1,2163515804,2118040201,151706060,164069332,164069332,2,1,7218329712,73389,73389,2,2,2,164052948,12,3,432617,4083919,3005223,35583,16508,2163515804,1932203,30333558,5033
25069.01,20,262144,64,137027,9029346290,11,19356330,63,16,16,1389448,137,1,585,2448087,3,34959,17,25,127368030,1172,1,16,20530,42452,2,918,585,42045716,2880396,2698953358,585,970,2,1,2,2,468,1,2688328092,2642781778,224579763,204859337,204875721,2,1,9013810828,73389,73389,2,2,2,204859337,12,3,446147,5127441,3361311,45457,20512,2688328092,2402630,38686440,5033
30080.56,20,262144,64,164294,10825872674,19,32111738,168,22,22,1389448,142,1,585,2907664,3,42639,17,25,128152320,1172,1,16,24540,50485,2,918,585,52908768,3550446,3225850751,585,970,2,1,2,2,468,1,3213140380,3167992634,276937288,245684269,245700653,2,1,10810107836,73389,73389,2,2,2,245684269,12,3,460977,6178995,3737115,55045,24516,3213140380,2852619,49175307,5033
35091.43,20,262144,64,193621,12758465026,25,41387121,266,28,28,1389448,147,1,585,3370620,3,50889,17,25,128948676,1172,1,16,28854,57525,2,918,585,63253540,4075119,3792745341,585,970,2,1,2,2,468,1,3777798556,3732818461,304682328,289613525,289629909,2,1,12742995100,73389,73389,2,2,2,289613525,12,3,472904,7203502,4066879,64867,28824,3777798556,3305753,59190555,5033
40107.95,20,262144,64,222966,14691971574,25,45128217,391,28,28,1389448,152,2,585,3852302,3,59189,17,25,129745032,1172,1,16,33166,63608,2,918,585,72724855,4440566,4360169057,585,970,2,1,2,2,468,1,4342981020,4298123322,320030810,333561324,333561324,2,1,14675977360,73389,73389,2,2,2,333544940,12,3,483397,8240932,4385142,74202,33136,4342981020,3778100,68345061,5033
45119.90,20,262144,64,249912,16467533298,26,49907002,460,29,29,1389448,156,2,585,4339449,3,66787,17,25,130275936,1172,1,16,37124,72213,2,918,585,80529983,4913332,4880881273,585,970,2,1,2,2,468,1,4861632924,4817195187,332055378,373911120,373927504,2,1,16452089280,73389,73389,2,2,2,373911120,12,3,490583,9300493,4683213,83843,37093,4861632924,4255606,75851841,5033
50130.29,20,262144,64,277413,18279660558,27,57596807,487,36,36,1389448,161,2,585,4804942,3,74562,17,25,131072292,1172,1,16,41173,77597,2,918,585,91031957,5528082,5412778706,585,970,2,1,2,2,468,1,5391425948,5346874401,371740353,415110725,415110725,2,1,18264151004,73389,73389,2,2,2,415094341,12,3,508231,10309293,5075056,94348,41135,5391425948,4710594,85962419,5033
55141.08,20,262144,64,307071,20233945326,28,63726476,512,37,37,1389448,166,2,585,5264147,3,82926,17,25,131868648,1172,1,16,45531,84020,2,918,585,98846529,6029080,5985976395,585,970,2,1,2,2,468,1,5962375580,5918186916,396949433,459515117,459531501,2,1,20218665148,73389,73389,2,2,2,459515117,12,3,525648,11319015,5404926,103487,45492,5962375580,5160660,93447019,5033
60151.18,20,262144,64,338430,22300503186,28,63726476,512,41,41,1389448,171,2,585,5754163,3,91750,17,25,132665004,1172,1,16,50141,89714,2,918,585,107448623,6470677,6592188670,585,970,2,1,2,2,468,1,6566224284,6522312967,419791158,506477128,506493512,2,1,22284993632,73389,73389,2,2,2,506477128,12,3,535030,12350332,5731955,113445,50098,6566224284,5640718,101723161,5033
65160.77,20,262144,64,371104,24453252952,28,63726476,512,41,41,1389448,177,2,585,6228497,3,100942,17,25,133461360,1172,1,16,54942,93803,2,918,585,118106485,6837117,7223921497,585,970,2,1,2,2,468,1,7195500956,7151625159,452718607,555413411,555413411,2,1,24437469188,73389,73389,2,2,2,555397027,12,3,551267,13341165,6069842,123184,54899,7195500956,6105313,112044064,5033
