timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.87,262144,64,47013,3098057028,20,20,1772105,122,0,585,389202,3,9531,23,18,125015160,1172,1,22,7308,743,2,99,585,7178626,909,958504675,585,152,2,1,2,2,254,1,954769820,908962998,13709615,70044847,70067264,2,1,3081973268,73389,73389,2,2,2,70044847,3,3,417244,766312,948044,7980,7286,954769820,381222,6230956,1613
10015.99,262144,64,91088,6002229962,20,20,4192579,130,0,585,705108,3,21998,23,18,126318288,1172,1,22,13784,1416,2,99,585,16650491,1423,1810729754,585,152,2,1,2,2,254,1,1803592092,1757905495,41124581,136065707,136082091,2,1,5986891108,73389,73389,2,2,2,136065707,3,3,434901,1413047,1146667,15920,13762,1803592092,689188,15504101,1613
15020.94,262144,64,139060,9163377334,20,20,4306893,138,0,585,1059967,3,35514,23,18,127621416,1172,1,22,20832,2523,2,99,585,27075719,3037,2738120908,585,152,2,1,2,2,254,1,2727387548,2681905641,67474625,207908476,207924860,2,1,9147972944,73389,73389,2,2,2,207908476,3,3,458335,2149228,1369063,24090,20810,2727387548,1035877,25707407,1613
20026.99,262144,64,188684,12433321082,20,20,4940043,146,0,585,1430191,3,49522,23,18,128948676,1172,1,22,28123,3978,2,99,585,36881723,3851,3697440324,585,152,2,1,2,2,254,1,3683033500,3637801816,107882830,282229103,282245487,2,1,12418080532,73389,73389,2,2,2,282229103,3,3,488451,2929305,1578788,32662,28102,3683033500,1397530,35304082,1613
25033.67,262144,64,239953,15811674850,20,20,6865629,155,0,585,1803210,3,63963,23,18,130275936,1172,1,22,35655,4502,2,99,585,46709559,5900,4688471670,585,152,2,1,2,2,254,1,4670267804,4625448660,136834478,359003012,359019396,2,1,15796132528,73389,73389,2,2,2,359003012,3,3,510443,3673584,1793226,40596,35633,4670267804,1762614,44918231,1613
30062.49,262144,64,280128,18458652606,20,20,8367295,161,0,585,2152034,3,75303,23,18,131072292,1172,1,22,41558,14897,2,99,585,55081207,843254,5465069703,585,152,2,1,2,2,254,1,5443854748,5399225210,157549546,419165321,419181705,2,1,18443274124,73389,73389,2,2,2,419165321,3,3,532913,4750902,2040473,49521,41536,5443854748,2102513,53042447,1613
35105.30,262144,64,289287,19062082254,20,20,8944699,163,0,585,2427084,3,77913,23,18,131337744,1172,1,22,42901,67949,2,99,585,59379268,3722539,5642029124,585,152,2,1,2,2,254,1,5620015516,5575570582,205949506,432885589,432901973,2,1,19046965916,73389,73389,2,2,2,432885589,3,3,539252,6427804,2348745,58403,42880,5620146588,2368871,57032685,1613
40146.48,262144,64,298580,19674559178,20,20,9506112,164,0,585,2710020,3,80499,23,18,131603196,1172,1,22,44269,102749,2,99,585,66156462,7276710,5822143318,585,152,2,1,2,2,254,1,5799322012,5754726607,319094431,446808498,446808498,2,1,19659573912,73389,73389,2,2,2,446808498,3,3,551443,8122325,2754646,67198,44247,5799322012,2642822,63404113,1613
45166.69,262144,64,322907,21277372046,20,20,10585485,168,0,585,2997564,3,87354,23,18,132134100,1172,1,22,47842,117015,2,99,585,72672719,9370627,6292265305,585,152,2,1,2,2,254,1,6267511196,6223249024,363479932,483226578,483242962,2,1,21261969432,73389,73389,2,2,2,483226578,3,3,574375,9467878,3037315,75463,47820,6267511196,2922101,69638290,1613
50187.76,262144,64,331802,21863476058,20,20,11100486,170,0,585,3264700,3,89890,23,18,132399552,1172,1,22,49148,148242,2,99,585,76984296,12551482,6464350070,585,152,2,1,2,2,254,1,6438822300,6394562283,454293674,496553630,496570014,2,1,21848359720,73389,73389,2,2,2,496553630,3,3,583821,11212697,3359538,83537,49126,6438822300,3181163,73626607,1613
