timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.43,262144,64,56261,3707355578,15,15,626394,124,0,585,431036,4,12165,18,9,125280612,1172,1,17,8661,1400,2,75,585,8158210,696,1136945640,585,134,2,1,2,2,259,1,1132634524,1087068633,15804318,83902220,83918604,2,1,3691697680,73389,73389,2,2,2,83902220,5,3,60796,879366,490315,10108,8644,1132634524,420928,7668433,1571
10014.08,262144,64,110875,7306157998,15,15,761790,133,0,585,846211,4,27607,18,9,126837126,1172,1,17,16688,2619,2,75,585,18024240,1266,2193239408,585,134,2,1,2,2,259,1,2184880540,2139038883,44670235,165703414,165719798,2,1,7290950216,73389,73389,2,2,2,165703414,5,3,112327,1721662,767592,20158,16671,2184880540,826053,17257651,1571
15031.28,262144,64,152548,10052105038,24,24,1903251,140,0,585,1216522,4,39357,27,9,127886868,1172,1,26,22819,7745,2,334,585,27149376,778051,2998747289,585,134,2,1,2,2,259,1,2987303324,2941744984,69543974,228103854,228120238,2,1,10036569576,73389,73389,2,2,2,228103854,5,3,139919,2773631,1025592,29306,22793,2987303324,1187216,26124721,1571
20058.20,262144,64,162409,10701806410,24,24,2469124,142,0,585,1517936,4,42156,27,9,128152320,1172,1,26,24268,48150,2,334,585,31788991,3454341,3189385204,585,134,2,1,2,2,259,1,3177095580,3131663711,103717442,242870539,242886923,2,1,10686303716,73389,73389,2,2,2,242870539,5,3,150445,4378194,1373030,39186,24242,3177095580,1478750,30414080,1571
25070.42,262144,64,172342,11356491826,24,24,2914261,143,1,585,1817222,4,44919,27,9,128417772,1172,1,26,25724,72096,2,334,585,36569534,6287235,3381205591,585,134,2,1,2,2,259,1,3368067484,3323021415,133750819,257749753,257766137,2,1,11340989132,73389,73389,2,2,2,257749753,5,3,157414,5971989,1722264,50926,25699,3368067484,1766296,34845659,1571
30091.48,262144,64,184764,12174827250,24,24,3412638,145,1,585,2132984,4,48416,27,9,128683224,1172,1,26,27552,100017,2,334,585,42129787,8936554,3621833855,585,134,2,1,2,2,259,1,3607667100,3562313268,178923453,276352009,276352009,2,1,12159488396,73389,73389,2,2,2,276352009,5,3,170061,7453923,2112060,60587,27526,3607667100,2072397,40016226,1571
35107.77,262144,64,194833,12838425562,24,24,3953676,147,1,585,2445484,4,51273,27,9,128948676,1172,1,26,29031,129463,2,334,585,47228494,11656886,3816549005,585,134,2,1,2,2,259,1,3801522588,3756233676,219763486,291427831,291444215,2,1,12822824564,73389,73389,2,2,2,291427831,5,3,175672,9038760,2433516,70107,29006,3801522588,2375377,44793519,1571
40112.13,262144,64,207402,13666394778,24,24,4478006,149,2,585,2768537,4,54756,27,9,129214128,1172,1,26,30875,169588,2,334,585,54256049,14688869,4059150426,585,134,2,1,2,2,259,1,4043088284,3998291317,274422799,310243079,310259463,2,1,13650695476,73389,73389,2,2,2,310243079,5,3,197361,10548533,2836179,79259,30849,4043088284,2689278,51417747,1571
45136.71,262144,64,263654,17373172598,24,24,7123422,159,2,585,3186426,4,70648,27,9,130541388,1172,1,26,39141,173615,2,334,585,63603019,15059784,5146969960,585,134,2,1,2,2,259,1,5126660508,5081897977,299367968,394497555,394497555,2,1,17357171524,73389,73389,2,2,2,394481171,5,3,216148,11463417,3045297,88819,39115,5126660508,3097607,60556398,1571
50163.64,262144,64,274783,18106251136,24,24,7574343,160,2,585,3499697,4,73791,27,9,130806840,1172,1,26,40775,204846,2,334,585,68077043,17464776,5362079285,585,134,2,1,2,2,259,1,5340832156,5296155453,420823341,411170817,411170817,2,1,18090795052,73389,73389,2,2,2,411154433,5,3,218729,13069768,3313860,99042,40749,5340832156,3400655,64761695,1571
