timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5030.32,17,262144,64,65769,4333922742,3,5589266,29,46,46,450024,125,1,585,927879,19,14811,49,1154,125546064,1172,1,48,10090,68921,2,24015,585,14631415,1920040,1321179793,585,805,11,1,2,1,2,2,1508,1,1316004252,1270268216,38241213,98152809,98152809,2,1,4318723596,73389,73389,2,2,2,98152809,34,3,295626,2757403,2493531,21210,10042,1316004252,906669,12135687,8200
10034.34,17,262144,64,108667,7160658154,3,5589266,29,46,46,1982647,133,1,585,1248267,19,26952,49,1154,126837126,1172,1,48,16394,69389,2,24015,585,23493914,1920475,2150557247,585,805,11,1,2,1,2,2,1508,1,2142151068,2096472738,62245522,162392131,162408515,2,1,7145253764,73389,73389,2,2,2,162392131,34,3,304707,3385770,2643227,28435,16346,2142151068,1219832,20848109,8200
15039.87,17,262144,64,143940,9484785726,3,5589266,29,46,46,4254900,138,1,585,1477233,19,36845,49,1154,127621416,1172,1,48,21577,69889,2,24015,585,32287495,1921210,2832740735,585,805,11,1,2,1,2,2,1508,1,2821628316,2775955862,87956153,215202786,215219170,2,1,9468922584,73389,73389,2,2,2,215202786,34,3,318965,3866313,2777159,34817,21529,2821628316,1442416,29508268,8200
20044.70,17,262144,64,183224,12073370906,3,5589266,29,46,46,5839817,145,1,585,1759365,19,47940,49,1154,128683224,1172,1,48,27347,70347,2,24015,585,41180870,1921626,3591980863,585,805,11,1,2,1,2,2,1508,1,3577913756,3532664656,126435422,274046183,274046183,2,1,12058032052,73389,73389,2,2,2,274046183,34,3,345026,4429023,2943858,41125,27299,3577913756,1718240,38235070,8200
25061.49,17,262144,64,212640,14011795962,3,5589266,29,46,46,8336333,150,1,585,1995000,19,56294,49,1154,129479580,1172,1,48,31667,73208,2,24015,585,48696153,2233594,4160506032,585,805,11,1,2,1,2,2,1508,1,4144144796,4099241399,158296752,318106511,318106511,2,1,13996686484,73389,73389,2,2,2,318106511,34,3,360817,5016424,3091111,47337,31619,4144144796,1947663,45603539,8200
30072.74,17,262144,64,224113,14767672270,3,5589266,29,46,46,8835865,152,2,585,2316382,19,59532,49,1154,129745032,1172,1,48,33352,96435,2,24015,585,53421959,4805409,4382310253,585,805,11,1,2,1,2,2,1508,1,4365001116,4320187135,209153525,335277326,335293710,2,1,14752202344,73389,73389,2,2,2,335277326,34,3,369085,6522165,3407714,62660,33304,4365001116,2253722,50012845,8200
35092.18,17,262144,64,250955,16536418250,3,5589266,29,46,46,9018364,156,2,585,2684639,19,67071,49,1154,130275936,1172,1,48,37296,125806,2,24015,585,60411637,6471972,4901293749,585,805,11,1,2,1,2,2,1508,1,4881949084,4837338009,259441060,375463282,375479666,2,1,16520384408,73389,73389,2,2,2,375463282,34,3,391512,7715109,3727566,74159,37248,4881949084,2610480,56682157,8200
40096.18,17,262144,64,275985,18185568378,3,5589266,29,46,46,9698704,161,2,585,3047520,19,74132,49,1154,130830972,1172,1,48,40976,144698,2,24015,585,69597571,8574313,5385525832,585,805,11,1,2,1,2,2,1508,1,5364294044,5319433338,339952150,412968739,412968739,2,1,18170624516,73389,73389,2,2,2,412968739,34,3,403804,8872100,4067648,84762,40928,5364294044,2962758,65528327,8200
45100.55,17,262144,64,332801,21929477426,3,5589266,29,46,46,10602916,170,2,585,3432329,19,90162,49,1154,132399552,1172,1,48,49320,145178,2,24015,585,79584346,8638484,6483320398,585,805,11,1,2,1,2,2,1508,1,6457958812,6413867682,405222032,498056640,498056640,2,1,21913771264,73389,73389,2,2,2,498040256,34,3,420827,9631281,4269727,93636,49272,6457958812,3338693,75313741,8200
50105.20,17,262144,64,393782,25947707372,3,5589266,29,46,46,11385208,180,2,585,3856331,19,107289,49,1154,133992264,1172,1,48,58277,145454,2,24015,585,90489311,8639473,7661783434,585,805,11,1,2,1,2,2,1508,1,7631970716,7588524728,427672477,589376050,589392434,2,1,25932546200,73389,73389,2,2,2,589376050,34,3,436485,10445424,4449980,103010,58229,7631970716,3753321,86038822,8200
