timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5047.63,94,262144,64,21416,1411386008,9,27996494,584,25,25,44876,186,18,576,771226,0,20,8337,27,25,105007788,1154,1,4,5598,26333173,24,105268124,26,4039,320868,2,19167,576,26744174,22183802,481674837,576,1890,0,3,1,2,2,7365,3,479063322,447514436,82239575,26905897,26955049,3,1,1398254708,73389,73389,2,2,2,26889517,41,1,3,167248,9677529,1626547,30373,4012,479063322,740853,25114726,19885
10063.62,196,262144,64,42614,2808786818,17,54115982,1124,25,25,44876,324,36,576,1447226,0,20,16722,27,25,111957804,1154,1,4,5598,52938332,24,211753328,26,7680,494218,2,19167,576,53050966,34643572,922878343,576,1890,0,3,1,2,2,7365,3,917827937,887448649,150944868,53776867,53826019,3,1,2796397116,73389,73389,2,2,2,53776871,41,1,3,231149,15492269,2609549,54559,7654,917827937,1392667,50436301,19885
15067.73,294,262144,64,65032,4284898750,18,62915297,1520,27,27,44876,466,52,576,2106249,0,20,25544,27,25,113502252,1154,1,4,5598,80828948,24,323315792,26,11518,545707,2,19167,576,77888495,38786164,1388814387,576,1890,0,3,1,2,2,7365,3,1381235609,1352173226,190593172,82196569,82196569,3,1,4274221620,73389,73389,2,2,2,82196573,41,1,3,250315,18629604,3306142,80157,11489,1381235609,2026092,74577122,19885
20083.67,299,262144,64,78784,5191470928,26,71907113,1863,33,33,44876,555,53,576,2207998,0,20,30961,27,25,113502252,1154,1,4,5598,98045349,24,391987148,26,13878,547065,2,19167,576,82974640,38987830,1674424446,576,1890,0,3,1,2,2,7365,3,1665541632,1637364825,205225197,99625210,99657978,3,1,5180510952,73389,73389,2,2,2,99625214,41,1,3,274273,18984203,3464682,83793,13843,1665541632,2124205,79503866,19885
25099.84,386,262144,64,100980,6654614514,28,82621207,2306,37,37,44876,699,67,576,2910600,0,20,39682,27,25,116011980,1154,1,4,5598,125690493,24,502609940,26,17712,585415,2,19167,576,110600726,43789460,2139867206,576,1890,0,3,1,2,2,7365,3,2128435064,2098251511,249847720,127747397,127780165,3,1,6642012708,73389,73389,2,2,2,127731017,41,1,3,313313,22391441,4396676,108600,17673,2128435064,2802000,106195300,19885
30125.88,481,262144,64,120590,7946930612,29,92614695,2781,37,37,44876,826,90,576,3546057,0,20,47424,27,25,116615280,1154,1,4,5598,150170295,24,600616524,26,21077,620530,2,19167,576,136155605,48199080,2547397620,576,1890,0,3,1,2,2,7365,3,2533713586,2504848533,291815632,152609612,152642380,3,1,7935699856,73389,73389,2,2,2,152609616,41,1,3,329917,25572276,5148877,131275,21039,2533713586,3414787,130996078,19885
35130.65,496,262144,64,133290,8783955618,36,102988490,3073,37,37,44876,906,90,576,3687689,0,20,52446,27,25,116615280,1154,1,4,5598,166074152,24,664296608,26,23266,621784,2,19167,576,142637811,48616602,2813844974,576,1890,0,3,1,2,2,7365,3,2798903341,2768637580,309600913,168723659,168723659,3,1,8773630300,73389,73389,2,2,2,168723663,41,1,3,337121,26083948,5274521,135766,23227,2798903341,3551923,137352936,19885
40138.29,507,262144,64,148772,9803917142,36,105945324,3171,38,38,44876,1005,90,576,3800928,0,20,58553,27,25,116615280,1154,1,4,5598,185406665,24,741626660,26,25924,622398,2,19167,576,148010722,48616859,3137021921,576,1890,0,3,1,2,2,7365,3,3120612169,3089820331,318353927,188331372,188331372,3,1,9793231376,73389,73389,2,2,2,188331376,41,1,3,344991,26348656,5329232,139285,25884,3120612169,3661643,142671132,19885
45143.89,511,262144,64,165262,10890566386,36,109165554,3369,38,38,44876,1112,90,576,3944712,0,20,65031,27,25,116615280,1154,1,4,5598,205916015,24,823599340,26,28831,623203,2,19167,576,154473612,48618149,3488841789,576,1890,0,3,1,2,2,7365,3,3470797200,3432758394,328561924,209165726,209165726,3,1,10876617784,73389,73389,2,2,2,209165730,41,1,3,353973,26681029,5406080,144002,28791,3470797200,3800710,149057088,19885
50152.11,518,262144,64,180638,11904244724,36,111685996,3576,38,38,44876,1212,91,576,4115195,0,20,71080,27,25,116615280,1154,1,4,5598,225082218,24,900199460,26,31584,624640,2,19167,576,161587196,48624559,3822121201,576,1890,0,3,1,2,2,7365,3,3802497954,3752702111,338792582,228605281,228605281,3,1,11887474644,73389,73389,2,2,2,228605285,41,1,3,364442,27062499,5494054,149069,31544,3802497954,3966126,156083335,19885
