timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.57,11,262144,64,62346,4108265754,17,17,1465490,125,585,479600,14,13878,20,18,125546064,1172,1,19,9557,444,2,7081,585,8489679,1446,1254525250,585,113,2,1,2,2,954,1,1249812892,1204282430,19420919,93010836,93027220,2,1,4092476784,73389,73389,2,2,2,93010836,18,3,73752,910022,457784,10448,9538,1249812892,469152,8032616,1543
10038.49,11,262144,64,111214,7328374702,17,17,3215880,133,585,884178,14,27699,20,18,126837126,1172,1,19,16738,4012,2,7081,585,17986450,383997,2199442624,585,113,2,1,2,2,954,1,2191171996,2145557775,42405607,166211318,166211318,2,1,7313297992,73389,73389,2,2,2,166211318,18,3,90563,1854313,662380,19412,16719,2191171996,864766,17324454,1543
15054.54,11,262144,64,121089,7978993578,17,17,3824750,135,585,1150900,14,30504,20,18,127102578,1172,1,19,18189,35424,2,7081,585,23045996,3479981,2390467052,585,113,2,1,2,2,954,1,2381357468,2335682302,97695975,180994387,181010771,2,1,7963753028,73389,73389,2,2,2,180994387,18,3,103386,3392987,1015779,28410,18170,2381357468,1122490,22031460,1543
20072.84,11,262144,64,131134,8641019026,17,17,4332548,136,585,1415135,14,33295,20,18,127368030,1172,1,19,19666,84370,2,7081,585,27565046,6496336,2584910429,585,113,2,1,2,2,954,1,2574950812,2529244480,140048418,196037441,196053825,2,1,8625647404,73389,73389,2,2,2,196037441,18,3,112350,4995816,1358126,37261,19647,2574950812,1377874,26206543,1543
25094.50,11,262144,64,141023,9292820858,17,17,4840145,138,585,1671783,14,36102,20,18,127621416,1172,1,19,21119,93244,2,7081,585,32731064,9649616,2776199268,585,113,2,1,2,2,954,1,2765398428,2719780943,193211149,210859311,210859311,2,1,9277088788,73389,73389,2,2,2,210842927,18,3,124867,6623086,1715044,46438,21100,2765398428,1625345,31014781,1543
30098.45,11,262144,64,197192,12993821342,17,17,6681749,147,585,2092742,14,51863,20,18,128948676,1172,1,19,29371,104572,2,7081,585,42866094,10176872,3861973892,585,113,2,1,2,2,954,1,3847004572,3801670837,222347794,294968490,294968490,2,1,12977892664,73389,73389,2,2,2,294952106,18,3,158583,7551759,1968856,56684,29352,3847004572,2036058,40896127,1543
35103.57,11,262144,64,229306,15109858882,17,17,7753305,153,585,2427051,14,60948,20,18,130010484,1172,1,19,34086,124265,2,7081,585,50267713,11883375,4482408110,585,113,2,1,2,2,954,1,4465009052,4420269008,263960995,343060997,343060997,2,1,15094683868,73389,73389,2,2,2,343060997,18,3,177597,8867638,2256935,65871,34067,4465009052,2361180,48009702,1543
40123.40,11,262144,64,245943,16206093654,17,17,8397705,156,585,2727493,14,65686,20,18,130275936,1172,1,19,36531,154406,2,7081,585,55057404,14318614,4804340619,585,113,2,1,2,2,954,1,4785611164,4740706806,291551518,367966331,367982715,2,1,16190518564,73389,73389,2,2,2,367966331,18,3,182357,10475904,2539162,76355,36513,4785611164,2651138,52517750,1543
45151.41,11,262144,64,256322,16890008126,17,17,8933739,157,585,2991102,14,68591,20,18,130541388,1172,1,19,38056,188001,2,7081,585,60143165,17454080,5004969967,585,113,2,1,2,2,954,1,4985364892,4940652357,395662593,383517289,383517289,2,1,16874760716,73389,73389,2,2,2,383517289,18,3,192537,12161733,2907236,86444,38037,4985364892,2904658,57235868,1543
50156.01,11,262144,64,302006,19900147322,17,17,10511584,165,585,3347791,14,81435,20,18,131603196,1172,1,19,44769,192027,2,7081,585,69765856,18390065,5888218634,585,113,2,1,2,2,954,1,5865251228,5820682558,478493967,451936246,451936246,2,1,19885194824,73389,73389,2,2,2,451936246,18,3,221870,13121293,3170657,95295,44750,5865251228,3252496,66594685,1543
55160.24,11,262144,64,359476,23687206498,17,17,11051975,175,585,3754424,14,97658,20,18,133195908,1172,1,19,53209,192939,2,7081,585,80153521,18425061,6998760742,585,113,2,1,2,2,954,1,6971498908,6927708010,509534822,538005028,538005028,2,1,23672221232,73389,73389,2,2,2,538005028,18,3,250352,13945370,3389162,105453,53190,6971498908,3648971,76764154,1543
