event,value,description
RecomputeWeight,1048,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,10826377,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,556,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,571,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,571,"Same as Query, but only for SELECT queries."
InitialQuery,571,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1416,Count queries with all subqueries
SelectQueriesWithSubqueries,1416,Count SELECT queries with all subqueries
QueryTimeMicroseconds,53929776789,Total time of all queries.
SelectQueryTimeMicroseconds,53929776789,Total time of SELECT queries.
FileOpen,2922,Number of files opened.
Seek,46982,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,570930,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,4933749770126,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,4892578441817,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,243564924,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,16046091131461,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,493329,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,2805,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,6501640,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,997960,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,105403816000,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,35601,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,146305024,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,82681025,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,495568,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,7179,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,7277,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,496154,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,9332280786,Total time spent waiting for read syscall. This include reads from page cache.
