timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.08,1,8192,2,42280,2785461940,2,74,54,45,409198,36,13,11262,5,10997868,92,1,4,6244,74,2,16,45,25042,287723356,8521071,1922,820682987,9,49,36,2,1,4,4,397,1,817406364,814497706,10485843,63295527,63295527,2,1,2785003188,73389,73389,4,4,4,63295527,14,3,20119,766399,147974,6815,6238,817406364,402383,8373405,163
10014.77,1,8192,2,83697,5514631764,2,74,54,45,814012,36,13,22560,5,10997868,92,1,4,12333,96,2,16,45,49450,521945180,17084283,3586,1621988441,9,49,36,2,1,4,4,397,1,1615503772,1612260629,20987413,125319135,125335519,2,1,5514041940,73389,73389,4,4,4,125319135,14,3,20136,1513401,249894,13607,12327,1615503772,800405,16834908,163
15021.16,1,8192,2,124637,8212275464,2,74,54,45,1225977,36,13,33723,5,10997868,92,1,4,18347,193,2,16,45,73566,792424196,25652770,4571,2413433876,9,49,36,2,1,4,4,397,1,2403770780,2400853717,31497325,186632198,186632198,2,1,8211816712,73389,73389,4,4,4,186632198,14,3,20289,2273917,351840,20799,18341,2403770780,1205178,25301558,163
20029.80,1,8192,2,165927,10932856764,2,74,54,45,1640117,36,13,44985,5,10997868,92,1,4,24416,308,2,16,45,97898,1046262132,34246565,5895,3212108665,9,49,36,2,1,4,4,397,1,3199241419,3196086145,42013717,248453165,248469549,2,1,10931939260,73389,73389,4,4,4,248453165,14,3,20619,3026504,447213,28260,24410,3199241419,1611857,33800616,163
25036.54,1,8192,2,206716,13620345692,2,74,55,45,2069822,36,13,56160,5,11263320,92,1,4,30409,371,2,16,45,121934,1333115652,42814878,6641,4000135592,9,49,36,2,1,4,4,397,1,3984101202,3981714990,52548491,309542885,309542885,2,1,13619886940,73389,73389,4,4,4,309542885,14,3,21026,3795494,573681,35616,30403,3984101202,2034206,42242645,163
30042.95,1,8192,2,247768,16325329424,2,74,55,45,2502530,36,13,67356,5,11263320,92,1,4,36442,462,2,16,45,146142,1670560916,51392106,7966,4794082198,9,49,36,2,1,4,4,397,1,4774858578,4772461892,63074210,371019788,371019788,2,1,16324870672,73389,73389,4,4,4,371019788,14,3,21905,4573868,690476,42997,36436,4774858578,2459533,50703602,163
35050.37,1,8192,2,288567,19013732548,2,74,56,45,2927439,36,13,78537,5,11528772,92,1,4,42434,546,2,16,45,170166,1923319068,59966278,8888,5582626471,9,49,36,2,1,4,4,397,1,5560242002,5558377920,73602997,432119859,432119859,2,1,19013273796,73389,73389,4,4,4,432119859,14,3,23351,5334792,806112,50128,42428,5560242002,2877311,59162917,163
40056.82,1,8192,2,329395,21703777380,2,74,57,45,3343014,36,13,89724,5,11794224,92,1,4,48436,614,2,16,45,194246,2244946164,68530793,9326,6372030200,9,49,36,2,1,4,4,397,1,6346478884,6344705241,84106445,493258731,493258731,2,1,21702663268,73389,73389,4,4,4,493242347,14,3,23432,6084994,888610,57299,48430,6346478884,3285715,67645725,163
45068.98,1,8192,2,357254,23539366528,2,74,57,45,3697118,36,13,97329,5,11794224,92,1,4,52527,3621,2,16,45,210634,2356913788,77043127,540826,6910490825,9,49,36,2,1,4,4,397,1,6882694436,6881261120,94531279,534966240,534982624,2,1,23538514560,73389,73389,4,4,4,534966240,14,3,25982,6976450,1065510,66913,52521,6882694436,3630205,75981682,163
50079.46,1,8192,2,375869,24765955468,2,74,57,45,3989639,36,13,102399,5,11794224,92,1,4,55263,16961,2,16,45,221590,2414137668,85533853,1503983,7270682626,9,49,36,2,1,4,4,397,1,7241307428,7239813284,104955084,562855177,562855177,2,1,24765627788,73389,73389,4,4,4,562855177,14,3,28581,7936923,1317122,80237,55257,7241307428,3909402,84220834,163
