timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.77,4,8192,2,7970,524710988,2,2812043,54,1,45,135547,14,1905,5,10997868,92,1,4,1204,2959,2,93,45,4832,54687784,3332882,399212,157472322,45,123,2,1,4,4,979,1,156803484,153555969,4134798,11916313,11916313,2,1,524317772,73389,73389,4,4,4,11916313,25,3,19202,438191,289261,4865,1198,156803484,130682,3044280,563
10038.61,4,8192,2,26429,1740822926,2,2812043,54,1,45,420720,14,6941,5,10997868,92,1,4,3915,7733,2,93,45,15688,111664072,11763610,1382582,514372075,45,123,2,1,4,4,979,1,512139676,509084390,14501519,39553457,39553457,2,1,1739631212,73389,73389,4,4,4,39537073,25,3,19937,1425626,493138,15607,3909,512139676,405113,11271035,563
15045.10,4,8192,2,45691,3010067044,2,2812043,54,1,45,703785,14,12232,5,10997868,92,1,4,6747,13164,2,93,45,27020,136302720,20278985,2147327,887178666,45,123,2,1,4,4,979,1,883335580,880175558,24687325,68398699,68398699,2,1,3008821860,73389,73389,4,4,4,68382315,25,3,22919,2307740,737318,28111,6741,883335580,675674,19543391,563
20052.39,4,8192,2,67737,4462837260,2,2812043,54,1,45,965812,14,18261,5,10997868,92,1,4,9987,13327,2,93,45,39984,160676096,27377673,2147776,1313547256,45,123,2,1,4,4,979,1,1308008860,1304808029,33354049,101413225,101429609,2,1,4462181900,73389,73389,4,4,4,101413225,25,3,31454,2832495,872879,40829,9981,1308008860,924983,26506251,563
25063.35,4,8192,2,91329,6017457036,2,2812043,54,1,45,1299890,14,24639,5,10997868,92,1,4,13454,17009,2,93,45,53868,237016592,37578787,2724019,1769900471,45,123,2,1,4,4,979,1,1762435484,1759261437,45635071,136749961,136749961,2,1,6016998284,73389,73389,4,4,4,136749961,25,3,36960,3693156,1051061,49660,13448,1762435484,1250230,36528795,563
30071.52,4,8192,2,109300,7201575340,2,2812043,54,1,45,1582726,14,29541,5,10997868,92,1,4,16096,28506,2,93,45,64436,243304976,46035934,3718528,2117713866,45,123,2,1,4,4,979,1,2108727708,2105412693,56016081,163649825,163666209,2,1,7200592300,73389,73389,4,4,4,163649825,25,3,41959,4668965,1292081,59974,16090,2108727708,1522752,44744421,563
35077.76,4,8192,2,129576,8537550480,2,2812043,54,1,45,1854758,14,35070,5,10997868,92,1,4,19073,35405,2,93,45,76348,267997920,54547839,4258573,2509554842,45,123,2,1,4,4,979,1,2498929052,2495968263,66374982,194024812,194024812,2,1,8537091728,73389,73389,4,4,4,194024812,25,3,49148,5429918,1499263,69773,19067,2498929052,1784985,53050031,563
40084.82,4,8192,2,163787,10791825434,2,2812043,54,1,45,2277805,14,44403,5,10997868,92,1,4,24104,35889,2,93,45,96504,415864304,63446612,4259224,3171671957,45,123,2,1,4,4,979,1,3158352284,3154904343,76877271,245256570,245272954,2,1,10791289080,73389,73389,4,4,4,245256570,25,3,53081,6188081,1611886,76300,24098,3158352284,2201505,61835639,563
45090.45,4,8192,2,197750,13029564492,2,2812043,55,1,45,2713712,14,53713,5,11263320,92,1,4,29093,35939,2,93,45,116476,495830296,72375151,4259575,3827597646,45,123,2,1,4,4,979,1,3811610450,3808993210,87411915,296117529,296117529,2,1,13028450380,73389,73389,4,4,4,296101145,25,3,54547,6951841,1714686,82917,29087,3811610450,2630795,70661639,563
50099.80,4,8192,2,231863,15277404852,2,2812043,55,1,45,3132975,14,63021,5,11263320,92,1,4,34106,35995,2,93,45,136540,558701224,81333768,4259931,4487346006,45,123,2,1,4,4,979,1,4468674386,4466083268,97928476,347201831,347218215,2,1,15276880564,73389,73389,4,4,4,347201831,25,3,55515,7683298,1830331,89291,34100,4468674386,3043684,79504906,563
55107.89,4,8192,2,265927,17521768496,2,2812043,55,1,45,3554058,14,72309,5,11263320,92,1,4,39111,36043,2,93,45,156588,689533576,90304745,4260471,5146042249,45,123,2,1,4,4,979,1,5124689746,5122160067,108440707,398214564,398214564,2,1,17521440816,73389,73389,4,4,4,398214564,25,3,55553,8418976,1940804,95714,39105,5124689746,3458344,88365742,563
