timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.40,8192,2,37134,2446355520,2,33,54,45,421539,11,9861,5,10997868,92,1,4,5489,91,2,20,45,21992,150542348,8754566,647,721359570,45,38,2,1,4,4,325,1,718447004,715337154,10492065,55585584,55601968,2,1,2445765696,73389,73389,4,4,4,55585584,7,3,20331,767336,166711,7243,5483,718447004,414296,8587499,222
10017.60,8192,2,67546,4450319884,2,33,54,45,771602,11,18153,5,10997868,92,1,4,9960,150,2,20,45,39876,160843532,17857732,1284,1309782110,45,38,2,1,4,4,325,1,1304469916,1301142815,20914893,101134697,101134697,2,1,4449205772,73389,73389,4,4,4,101118313,7,3,22261,1418697,264774,14303,9954,1304469916,757299,17592709,222
15024.04,8192,2,98545,6493019332,2,33,54,45,1118852,11,26607,5,10997868,92,1,4,14515,397,2,20,45,58104,205004332,27003190,1770,1909273099,45,38,2,1,4,4,325,1,1901502876,1898278726,31360579,147558195,147558195,2,1,6492560580,73389,73389,4,4,4,147558195,7,3,23458,2071086,349306,23659,14509,1901502876,1095193,26653513,222
20029.41,8192,2,129037,8502226576,2,33,54,45,1460738,11,34923,5,10997868,92,1,4,18995,455,2,20,45,76024,215326252,36122990,2548,2498898960,45,38,2,1,4,4,325,1,2488705436,2485614249,41784883,193221996,193221996,2,1,8501767824,73389,73389,4,4,4,193221996,7,3,25421,2707436,448474,31936,18989,2488705436,1428802,35674273,222
25035.92,8192,2,159177,10488099696,2,33,54,45,1805647,11,43143,5,10997868,92,1,4,23425,595,2,20,45,93748,242761820,45205883,3004,3081946710,45,38,2,1,4,4,325,1,3069354396,3066099844,52215313,238355476,238355476,2,1,10487640944,73389,73389,4,4,4,238355476,7,3,25653,3344665,532462,39223,23419,3069354396,1766424,44673580,222
30041.30,8192,2,187463,12351679332,2,33,55,45,2124688,11,50964,5,11263320,92,1,4,27579,710,2,20,45,110364,252332636,51020629,3688,3627922059,45,38,2,1,4,4,325,1,3613167442,3610848624,59064321,280697643,280714027,2,1,12350696292,73389,73389,4,4,4,280697643,7,3,25850,3931837,603307,45255,27573,3613167442,2079433,50417402,222
35048.98,8192,2,215682,14211126892,2,33,55,45,2439701,11,58662,5,11263320,92,1,4,31727,755,2,20,45,126956,261889628,61738345,4063,4173755540,45,38,2,1,4,4,325,1,4156854098,4154389115,71186009,322968241,322984625,2,1,14210602604,73389,73389,4,4,4,322968241,7,3,32549,4504788,687660,51084,31721,4156854098,2388617,61051195,222
40054.83,8192,2,243055,16014865544,2,33,55,45,2741583,11,66126,5,11263320,92,1,4,35750,884,2,20,45,143044,271156316,66234808,4600,4702993057,45,38,2,1,4,4,325,1,4684025682,4681684233,76560996,363954854,363971238,2,1,16014013576,73389,73389,4,4,4,363954854,7,3,32551,5061838,761216,56558,35744,4684025682,2685025,65474262,222
45061.44,8192,2,270306,17810343352,2,33,55,45,3048668,11,73557,5,11263320,92,1,4,39755,1033,2,20,45,159068,280386140,70724790,4940,5230124013,45,38,2,1,4,4,325,1,5209100114,5206524777,81936950,404771594,404771594,2,1,17809229240,73389,73389,4,4,4,404755210,7,3,32551,5625803,830289,62715,39749,5209100114,2985953,69895396,222
50067.13,8192,2,299177,19713051288,2,33,56,45,3379688,11,81432,5,11528772,92,1,4,43997,1169,2,20,45,176036,290159708,90540492,5500,5788246880,45,38,2,1,4,4,325,1,5764976466,5762768587,104165561,448004530,448020914,2,1,19712199320,73389,73389,4,4,4,448004530,7,3,38198,6230254,943276,69626,43991,5765107538,3310113,89598520,222
55073.81,8192,2,329107,21684637560,2,33,57,45,3724829,11,89646,5,11794224,92,1,4,48391,1205,2,20,45,193612,300283484,99657233,5889,6366212805,45,38,2,1,4,4,325,1,6340580644,6339107914,114589140,492810330,492826714,2,1,21683654520,73389,73389,4,4,4,492810330,7,3,38914,6870162,1035874,77294,48385,6340580644,3647535,98622451,222
60079.15,8192,2,359667,23698313318,2,33,57,45,4072669,11,97980,5,11794224,92,1,4,52882,1236,2,20,45,211580,327477076,108756815,6645,6957280757,45,38,2,1,4,4,325,1,6929224996,6927739865,125021207,538588819,538588819,2,1,23697187140,73389,73389,4,4,4,538572435,7,3,39087,7514938,1130573,85990,52876,6929224996,3986679,107627253,222
65085.64,8192,2,390048,25700234000,2,33,57,45,4418690,11,106266,5,11794224,92,1,4,57346,1272,2,20,45,229436,337762132,117912284,7239,7544777428,45,38,2,1,4,4,325,1,7514330404,7512929894,135435295,584088780,584088780,2,1,25699906320,73389,73389,4,4,4,584088780,7,3,39546,8131816,1205615,94927,57340,7514330404,4323763,116708146,222
