timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.71,4,8192,2,19423,1279276576,2,64,54,45,279856,9,11,5030,5,10997868,92,1,4,2887,3879,2,15,45,11552,6843840,8595427,597295,379007924,36,107,9,2,1,4,4,379,1,377397660,374182335,10321158,29062552,29062552,2,1,1278031392,73389,73389,4,4,4,29046168,13,3,30897,807613,437946,13372,2881,377397660,266484,8157398,410
10026.81,4,8192,2,37111,2444848192,2,64,54,45,558770,9,11,9858,5,10997868,92,1,4,5486,6547,2,15,45,21952,30089440,17117972,1552301,721176053,36,107,9,2,1,4,4,379,1,718053788,714943952,20670450,55552816,55552816,2,1,2444323904,73389,73389,4,4,4,55552816,13,3,33550,1746225,656468,25117,5480,718053788,533653,16462964,410
15034.03,4,8192,2,61606,4058912428,2,64,54,45,870236,9,11,16587,5,10997868,92,1,4,9085,7834,2,15,45,36348,38456800,24253927,1837603,1194840059,36,107,9,2,1,4,4,379,1,1189781916,1186720992,29076733,92239073,92239073,2,1,4058519212,73389,73389,4,4,4,92239073,13,3,37361,2432721,792698,33543,9080,1189781916,836693,23462973,410
20039.71,4,8192,2,86466,5696897304,2,64,54,45,1151543,9,11,23367,5,10997868,92,1,4,12740,7957,2,15,45,50968,46877920,28782471,1837835,1675797168,36,107,9,2,1,4,4,379,1,1668850076,1665542826,34423087,129466002,129466002,2,1,5695783192,73389,73389,4,4,4,129449618,13,3,37366,2952105,855426,39025,12734,1668850076,1112518,27929203,410
25045.33,4,8192,2,112045,7382533468,2,64,54,45,1445010,9,11,30345,5,10997868,92,1,4,16498,7984,2,15,45,66000,55536352,33290099,1838214,2170302321,36,107,9,2,1,4,4,379,1,2161418652,2158300922,39774790,167769957,167786341,2,1,7381878108,73389,73389,4,4,4,167769957,13,3,37484,3486218,932933,44284,16492,2161418652,1400726,32358948,410
30051.21,4,8192,2,137018,9027923912,2,64,54,45,1727203,9,11,37155,5,10997868,92,1,4,20170,8093,2,15,45,80688,63996640,37815171,1838893,2653364830,36,107,9,2,1,4,4,379,1,2642583964,2639277006,45116633,205160726,205177110,2,1,9027071944,73389,73389,4,4,4,205160726,13,3,37489,4004471,1006193,49588,20164,2642715036,1677689,36811575,410
35056.82,4,8192,2,161612,10648741664,2,64,54,45,2014809,9,11,43861,5,10997868,92,1,4,23783,8156,2,15,45,95136,72318688,42340856,1839246,3128797447,36,107,9,2,1,4,4,379,1,3116147100,3112987453,50477399,242000472,242016856,2,1,10648020768,73389,73389,4,4,4,242000472,13,3,38291,4537933,1081635,54813,23777,3116147100,1959996,41261615,410
40063.29,4,8192,2,187377,12346043236,2,64,55,45,2313268,9,11,50940,5,11263320,92,1,4,27567,8212,2,15,45,110276,81039328,66426060,1840294,3626199554,36,107,9,2,1,4,4,379,1,3611594578,3609197465,78766086,280582955,280582955,2,1,12344929124,73389,73389,4,4,4,280566571,13,3,39092,5087513,1203001,60559,27561,3611594578,2252709,65224861,410
45069.38,4,8192,2,212933,14029906620,2,64,55,45,2602374,9,11,57912,5,11263320,92,1,4,31324,8259,2,15,45,125304,89695456,70939144,1840472,4120578750,36,107,9,2,1,4,4,379,1,4104032082,4101429966,84120398,318848109,318864493,2,1,14029316796,73389,73389,4,4,4,318848109,13,3,39126,5619968,1270443,66375,31318,4104032082,2535999,69672117,410
50075.82,4,8192,2,238186,15693912596,2,64,55,45,2889470,9,11,64799,5,11263320,92,1,4,35035,8392,2,15,45,140148,98245600,75461572,1840903,4608906339,36,107,9,2,1,4,4,379,1,4590440274,4587864668,89476248,356670895,356670895,2,1,15693519380,73389,73389,4,4,4,356670895,13,3,39585,6151798,1343442,72154,35029,4590440274,2817316,74121970,410
55081.49,4,8192,2,263266,17346580844,2,64,55,45,3169629,9,11,71637,5,11263320,92,1,4,38721,8528,2,15,45,154892,106738144,79990755,1841411,5093945383,36,107,9,2,1,4,4,379,1,5073571666,5070951783,94820836,394231537,394231537,2,1,17345466732,73389,73389,4,4,4,394215153,13,3,40258,6670419,1409157,77421,38715,5073571666,3092208,78585783,410
60087.35,4,8192,2,289152,19052336560,2,64,56,45,3455657,9,11,78735,5,11528772,92,1,4,42524,8599,2,15,45,170104,115500256,104775026,1842537,5594388656,36,107,9,2,1,4,4,379,1,5572038482,5569639523,123605516,432994244,433010628,2,1,19051746736,73389,73389,4,4,4,432994244,13,3,45427,7194816,1532598,82560,42518,5572038482,3373097,103246865,410
65092.38,4,8192,2,316069,20825925344,2,64,56,45,3748188,9,11,86094,5,11528772,92,1,4,46479,8738,2,15,45,185924,124612576,110404135,1843104,6114726097,36,107,9,2,1,4,4,379,1,6090335168,6088087576,130116204,473303080,473319464,2,1,20825335520,73389,73389,4,4,4,473303080,13,3,45860,7743066,1604338,87898,46473,6090335168,3660290,108804388,410
70098.36,4,8192,2,345597,22771431596,2,64,57,45,4090624,9,11,94143,5,11794224,92,1,4,50814,8761,2,15,45,203264,134600416,123679892,1843483,6684874952,36,107,9,2,1,4,4,379,1,6658168100,6656769163,145059930,517525089,517525089,2,1,22771103916,73389,73389,4,4,4,517525089,13,3,49520,8360452,1713510,94677,50808,6658168100,3995947,121970742,410
75104.02,4,8192,2,375296,24728403340,2,64,57,45,4446739,9,11,102243,5,11794224,92,1,4,55180,8828,2,15,45,220728,144659680,132844816,1844039,7259487395,36,107,9,2,1,4,4,379,1,7230428452,7228825379,155524300,561986825,562003209,2,1,24727420300,73389,73389,4,4,4,561986825,13,3,49753,9001759,1810159,101775,55174,7230428452,4344964,131039943,410
