timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.85,1,8192,2,35908,2365477480,2,16,54,45,446258,13,9524,5,10997868,92,1,4,5308,404,2,13,45,21308,320611568,8802823,2216,697538546,45,40,2,1,4,4,372,1,694722972,691707954,10515734,53738510,53754894,2,1,2364494440,73389,73389,4,4,4,53738510,9,3,23787,802840,243278,10201,5302,694722972,436057,8559966,208
10011.90,1,8192,2,71336,4700028584,2,16,54,45,883069,13,19188,5,10997868,92,1,4,10514,555,2,13,45,42164,487744456,17688814,2812,1382537318,45,40,2,1,4,4,372,1,1376952732,1374131052,21037553,106800958,106817342,2,1,4699242152,73389,73389,4,4,4,106800958,9,3,24267,1602941,367749,20964,10508,1376952732,862105,17322168,208
15017.96,1,8192,2,107094,7056206568,2,16,54,45,1322357,13,28939,5,10997868,92,1,4,15770,866,2,13,45,63228,655501808,26571458,3524,2074379330,45,40,2,1,4,4,372,1,2065998236,2062898973,31579166,160354926,160371310,2,1,7055616744,73389,73389,4,4,4,160354926,9,3,24409,2402746,506829,31193,15764,2065998236,1291164,26065265,208
20023.64,1,8192,2,142853,9412450088,2,16,54,45,1757702,13,38691,5,10997868,92,1,4,21026,1314,2,13,45,84332,1009417976,35457166,4239,2766090680,45,40,2,1,4,4,372,1,2754912668,2751666218,42099611,213908894,213908894,2,1,9411991336,73389,73389,4,4,4,213908894,9,3,24429,3175773,646379,41225,21020,2754912668,1716477,34812640,208
25028.66,1,8192,2,177026,11663963772,2,16,55,45,2168386,13,48063,5,11263320,92,1,4,26046,1999,2,13,45,104480,1311639852,44332664,5323,3426091660,45,40,2,1,4,4,372,1,3412234066,3409785524,52583943,265081149,265081149,2,1,11663570556,73389,73389,4,4,4,265081149,9,3,24708,3917201,767475,52170,26040,3412234066,2116216,43567392,208
30034.57,1,8192,2,208057,13708519052,2,16,55,45,2549361,13,56526,5,11263320,92,1,4,30606,2465,2,13,45,122740,1407119860,53408359,5811,4026231128,45,40,2,1,4,4,372,1,4009922386,4007488722,63044237,311547766,311547766,2,1,13708101704,73389,73389,4,4,4,311547766,9,3,25679,4600789,878388,61896,30600,4009922386,2487465,52532196,208
35040.14,1,8192,2,237780,15667304980,2,16,55,45,2927921,13,64632,5,11263320,92,1,4,34974,2723,2,13,45,140212,1417183732,62512922,6173,4601113881,45,40,2,1,4,4,372,1,4582444882,4580110144,73487556,356064687,356064687,2,1,15666125332,73389,73389,4,4,4,356048303,9,3,25679,5272117,966336,70442,34968,4582444882,2857479,61548338,208
40045.17,1,8192,2,267700,17638760180,2,16,55,45,3297491,13,72792,5,11263320,92,1,4,39373,3131,2,13,45,157808,1427319028,71625646,6557,5180074275,45,40,2,1,4,4,372,1,5159030610,5156392118,83947744,400870487,400870487,2,1,17638301428,73389,73389,4,4,4,400870487,9,3,27434,5931307,1070307,77676,39367,5159030610,3219815,70557557,208
45055.18,1,8192,2,290189,19120804164,2,16,56,45,3594508,13,78982,5,11528772,92,1,4,42674,5462,2,13,45,171020,1469333164,80217665,350057,5614550618,45,40,2,1,4,4,372,1,5591699282,5589683034,94293518,434523989,434546406,2,1,19119055516,73389,73389,4,4,4,434523989,9,3,30846,6646879,1277648,89238,42668,5591699282,3505270,78941997,208
50069.47,1,8192,2,307548,20264573116,2,16,56,45,3886966,13,83715,5,11528772,92,1,4,45225,12182,2,13,45,181228,1492429852,88946665,1165092,5950397361,45,40,2,1,4,4,372,1,5926063954,5924003735,104699924,460539117,460555501,2,1,20263721148,73389,73389,4,4,4,460539117,9,3,35224,7499082,1521495,98827,45220,5926063954,3788139,87429237,208
55075.82,1,8192,2,328536,21647216504,2,16,57,45,4221484,13,89491,5,11794224,92,1,4,48307,16561,2,13,45,193584,1619199348,97561288,1838165,6355638120,45,40,2,1,4,4,372,1,6329570596,6328157228,115131013,491974746,491991130,2,1,21646888824,73389,73389,4,4,4,491974746,9,3,37548,8388957,1765387,108092,48301,6329570596,4113392,95800352,208
60083.97,1,8192,2,366226,24130540944,2,16,57,45,4719043,13,99769,5,11794224,92,1,4,53846,17514,2,13,45,215796,1871537212,106220391,1839226,7084591114,45,40,2,1,4,4,372,1,7055578404,7054028805,125724132,548407980,548424364,2,1,24129951120,73389,73389,4,4,4,548407980,9,3,37549,9236771,1891584,115035,53840,7055578404,4604008,104333583,208
