timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5021.64,4,8192,2,8312,547124300,2,2862716,54,3,45,135934,15,1999,5,10997868,92,1,4,1252,5923,2,1490,45,5016,20296012,3544628,443552,163795706,45,106,2,1,4,4,1018,1,163094940,160139762,4398820,12424217,12440601,2,1,546665548,73389,73389,4,4,4,12424217,25,3,24668,482359,327894,4907,1246,163094940,131027,3216326,527
10031.15,4,8192,2,27178,1790186908,2,2862716,54,3,45,397848,15,7146,5,10997868,92,1,4,4026,12613,2,1490,45,16120,60722212,11966976,1429498,528984631,45,106,2,1,4,4,1018,1,526688668,523570915,14769846,40673602,40696019,2,1,1789638488,73389,73389,4,4,4,40673602,25,3,26332,1434882,563070,16383,4020,526688668,381465,11403720,527
15036.36,4,8192,2,53577,3529803912,2,2862716,54,3,45,689419,15,14343,5,10997868,92,1,4,7905,16243,2,1490,45,31648,120962276,20576581,2004824,1039556713,45,106,2,1,4,4,1018,1,1035116956,1032068678,25155257,80212390,80212390,2,1,3529345160,73389,73389,4,4,4,80212390,25,3,27753,2262419,714353,26539,7899,1035116956,662880,19861760,527
20050.43,4,8192,2,88123,5806286812,2,2862716,54,3,45,1108154,15,23766,5,10997868,92,1,4,12983,16395,2,1490,45,51972,200810044,29465264,2005272,1707737832,45,106,2,1,4,4,1018,1,1700569500,1697522158,35695142,131941701,131958085,2,1,5805434844,73389,73389,4,4,4,131941701,25,3,27845,3054137,832332,32815,12977,1700569500,1075339,28632577,527
25061.50,4,8192,2,122559,8075295300,2,2862716,54,3,45,1537222,15,33156,5,10997868,92,1,4,18045,16570,2,1490,45,72244,298212636,38356618,2007282,2374075815,45,106,2,1,4,4,1018,1,2364187036,2360850353,46235061,183517523,183517523,2,1,8074050116,73389,73389,4,4,4,183501139,25,3,27942,3855227,959009,39078,18039,2364187036,1498144,37397996,527
30071.93,4,8192,2,157187,10357152152,2,2862716,54,3,45,1935983,15,42600,5,10997868,92,1,4,23132,16670,2,1490,45,92624,447136772,47297201,2007917,3043574100,45,106,2,1,4,4,1018,1,3030950300,3027841361,56760713,235377906,235377906,2,1,10356627864,73389,73389,4,4,4,235377906,25,3,28038,4609420,1061656,45336,23126,3030950300,1890647,46236289,527
35084.63,4,8192,2,196826,12968478324,2,2862716,55,3,45,2346552,15,53463,5,11263320,92,1,4,28955,16775,2,1490,45,115956,629835972,55908432,2010514,3809252147,45,106,2,1,4,4,1018,1,3793522514,3791140831,67301569,294729207,294729207,2,1,12968085108,73389,73389,4,4,4,294729207,25,3,28103,5428484,1187470,51731,28949,3793522514,2294821,54721719,527
40094.81,4,8192,2,236558,15586689084,2,2862716,55,3,45,2772929,15,64300,5,11263320,92,1,4,34796,16940,2,1490,45,139364,831591412,64539542,2011377,4577954619,45,106,2,1,4,4,1018,1,4559114066,4556520835,77845712,354233997,354233997,2,1,15586295868,73389,73389,4,4,4,354233997,25,3,28106,6258369,1316118,58268,34791,4559114066,2714661,63225192,527
45109.14,4,8192,2,274728,18101736256,2,2862716,55,3,45,3229766,15,74710,5,11263320,92,1,4,40404,17357,2,1490,45,161832,998647828,73198753,2014526,5316005872,45,106,2,1,4,4,1018,1,5294165842,5291739476,88434393,411394160,411410544,2,1,18101343040,73389,73389,4,4,4,411394160,25,3,29496,7122829,1473508,64670,40398,5294165842,3165096,71727603,527
50122.73,4,8192,2,308631,20335814056,2,2862716,56,3,45,3639364,15,84009,5,11528772,92,1,4,45384,17663,2,1490,45,181760,1045094996,82187100,2017507,5971426131,45,106,2,1,4,4,1018,1,5946904402,5944849354,98970818,462167166,462167166,2,1,20334634408,73389,73389,4,4,4,462150782,25,3,29553,7888837,1586451,70499,45378,5946904402,3568865,80601488,527
