timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.45,2,8192,2,28443,1873596720,2,32,54,45,384469,9,7541,5,10997868,92,1,4,4212,310,2,16,45,16860,44729184,6395917,1043,553253359,45,45,2,1,4,4,365,1,551068060,547932823,7556970,42569828,42569828,2,1,1872351536,73389,73389,4,4,4,42553444,10,3,27664,685848,222253,6886,4206,551068060,377583,6174184,255
10016.49,2,8192,2,55107,3630604896,2,32,54,45,717788,9,14814,5,10997868,92,1,4,8131,503,2,16,45,32536,53758560,16756061,1263,1068933807,45,45,2,1,4,4,365,1,1064739228,1061567169,19580408,82501832,82501832,2,1,3629359712,73389,73389,4,4,4,82485448,10,3,34337,1278129,329251,12271,8125,1064739228,705517,16428174,255
15023.25,2,8192,2,80891,5329675940,2,32,54,45,1031441,9,21846,5,10997868,92,1,4,11920,661,2,16,45,47692,62488416,21248841,1680,1567506585,45,45,2,1,4,4,365,1,1561371036,1558234809,24949829,121117083,121117083,2,1,5328430756,73389,73389,4,4,4,121100699,10,3,34337,1835338,411386,17238,11914,1561371036,1014203,20838226,255
20028.55,2,8192,2,104422,6880298020,2,32,54,45,1315289,9,28266,5,10997868,92,1,4,15378,784,2,16,45,61524,70455648,25792655,2332,2022541363,45,45,2,1,4,4,365,1,2014618012,2011506014,30306423,156355515,156371899,2,1,6879642660,73389,73389,4,4,4,156355515,10,3,34337,2353974,486480,22581,15372,2014618012,1292708,25307304,255
25033.79,2,8192,2,127585,8406537400,2,32,54,45,1593022,9,34581,5,10997868,92,1,4,18784,973,2,16,45,75144,78300768,30319528,2636,2470602657,45,45,2,1,4,4,365,1,2460918172,2457638314,35636203,191047242,191047242,2,1,8406078648,73389,73389,4,4,4,191047242,10,3,34337,2868726,548549,27951,18778,2460918172,1565071,29771993,255
30039.63,2,8192,2,151423,9977279032,2,32,54,45,1872309,9,41082,5,10997868,92,1,4,22285,1406,2,16,45,89152,86369376,34859871,2877,2931424769,45,45,2,1,4,4,365,1,2919932316,2916795559,40982364,226744426,226744426,2,1,9976033848,73389,73389,4,4,4,226728042,10,3,34337,3380753,606290,33366,22279,2919932316,1838943,34254105,255
35045.99,2,8192,2,176048,11599338660,2,32,55,45,2163886,9,47850,5,11263320,92,1,4,25902,1723,2,16,45,103620,94702944,59939354,3649,3406723355,45,45,2,1,4,4,365,1,3393359698,3390927220,71257107,263610907,263610907,2,1,11598879908,73389,73389,4,4,4,263610907,10,3,38951,3904075,735434,38791,25896,3393359698,2125095,59204843,255
40052.12,2,8192,2,206368,13597273712,2,32,55,45,2518345,9,56067,5,11263320,92,1,4,30358,2252,2,16,45,121456,173802624,69892398,4569,3993011101,45,45,2,1,4,4,365,1,3977285458,3974902512,83058443,309012564,309028948,2,1,13596552816,73389,73389,4,4,4,309012564,10,3,42904,4549981,857447,47131,30352,3977285458,2471214,69035364,255
45058.23,2,8192,2,238075,15686638100,2,32,55,45,2881268,9,64713,5,11263320,92,1,4,35017,2566,2,16,45,140100,201341272,78975461,4974,4606309073,45,45,2,1,4,4,365,1,4588080978,4585725735,93504982,356507055,356507055,2,1,15686310420,73389,73389,4,4,4,356507055,10,3,43378,5203407,946859,53176,35011,4588080978,2828092,78029177,255
50063.60,2,8192,2,269887,17782883768,2,32,55,45,3249196,9,73389,5,11263320,92,1,4,39692,3047,2,16,45,158812,262719376,88055190,5470,5221582315,45,45,2,1,4,4,365,1,5200842578,5198479681,103958873,404149002,404149002,2,1,17782556088,73389,73389,4,4,4,404149002,10,3,46075,5870927,1046425,59183,39686,5200842578,3190013,87009694,255
55069.26,2,8192,2,301676,19877622108,2,32,56,45,3621633,9,82113,5,11528772,92,1,4,44364,3412,2,16,45,177504,291120656,97124506,5985,5836459981,45,45,2,1,4,4,365,1,5813210962,5810906715,114421880,451741797,451758181,2,1,19876639068,73389,73389,4,4,4,451741797,10,3,46654,6541716,1133039,64923,44358,5813210962,3556710,95992720,255
60079.44,2,8192,2,326038,21482445768,2,32,57,45,3942674,9,88809,5,11794224,92,1,4,47939,7889,2,16,45,191812,333561056,105986252,431526,6306558373,45,45,2,1,4,4,365,1,6281336100,6279969886,124833856,488231446,488231446,2,1,21482183624,73389,73389,4,4,4,488231446,10,3,47859,7328077,1317146,73779,47933,6281336100,3868895,104669750,255
65089.54,2,8192,2,343990,22665318888,2,32,57,45,4231358,9,93705,5,11794224,92,1,4,50578,15988,2,16,45,202380,391174104,114614313,1281296,6653980278,45,45,2,1,4,4,365,1,6627235108,6625745754,135209614,515114926,515114926,2,1,22664335848,73389,73389,4,4,4,515098542,10,3,48238,8221470,1527459,86490,50572,6627235108,4144868,113087356,255
70095.95,2,8192,2,368871,24304945472,2,32,57,45,4585072,9,100491,5,11794224,92,1,4,54235,18139,2,16,45,217020,468198976,123244647,1846839,7135201149,45,45,2,1,4,4,365,1,7106434340,7105043255,145659347,552364272,552380656,2,1,24304027968,73389,73389,4,4,4,552364272,10,3,51446,9106674,1720749,97383,54229,7106434340,4487689,121524867,255
75102.15,2,8192,2,400694,26401500266,2,32,58,45,4977879,9,109224,5,11794224,92,1,4,58912,18508,2,16,45,235740,513160864,132280183,1847217,7749684091,45,45,2,1,4,4,365,1,7718419640,7717886553,156135372,600014411,600030795,2,1,26400634084,73389,73389,4,4,4,600014411,10,3,54490,9806611,1845587,104745,58906,7718419640,4873134,130434964,255
