timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.20,1,8192,2,36032,2373603944,2,28,54,45,382197,9,9558,5,10997868,92,1,4,5327,567,2,14,45,21348,165849040,8933376,652,700027631,45,30,2,1,4,4,332,1,697213340,694111415,10442763,53935118,53935118,2,1,2373145192,73389,73389,4,4,4,53935118,9,3,21657,714354,205408,6152,5321,697213340,376045,8728821,270
10015.78,1,8192,2,71364,4701863592,2,28,54,45,749014,9,19194,5,10997868,92,1,4,10519,857,2,14,45,42140,279750136,17921818,880,1383310005,45,30,2,1,4,4,332,1,1377739164,1374710657,20900385,106850110,106850110,2,1,4701404840,73389,73389,4,4,4,106850110,9,3,21700,1407658,304283,12351,10513,1377739164,736663,17619159,270
15022.02,1,8192,2,106775,7035300584,2,28,54,45,1122285,9,28854,5,10997868,92,1,4,15725,1381,2,14,45,63000,446350336,26919961,1393,2068434744,45,30,2,1,4,4,332,1,2060099996,2056830540,31379415,159879790,159896174,2,1,7034710760,73389,73389,4,4,4,159879790,9,3,21741,2113645,396103,18745,15719,2060099996,1103540,26525632,270
20029.76,1,8192,2,140782,9276049336,2,28,54,45,1533787,9,38127,5,10997868,92,1,4,20720,2297,2,14,45,83052,766755784,35693663,161814,2725813160,45,30,2,1,4,4,332,1,2714804636,2711743075,41863058,210794219,210816636,2,1,9274945636,73389,73389,4,4,4,210794219,9,3,21924,2932816,529893,29593,20714,2714804636,1504194,35165597,270
25040.17,1,8192,2,160101,10549185864,2,28,54,45,1824586,9,43399,5,10997868,92,1,4,23560,13260,2,14,45,94416,790434568,44194208,1056077,3099679289,45,30,2,1,4,4,332,1,3087049116,3083946565,52243100,239743798,239743798,2,1,10548006216,73389,73389,4,4,4,239727414,9,3,22497,3842796,743313,40256,23554,3087049116,1784330,43452976,270
30050.56,1,8192,2,178887,11786457172,2,28,55,45,2121749,9,48575,5,11263320,92,1,4,26319,21220,2,14,45,105464,847984256,52593999,2064798,3462222616,45,30,2,1,4,4,332,1,3448016722,3445581410,62644778,267862111,267878495,2,1,11785932884,73389,73389,4,4,4,267862111,9,3,24244,4844425,949821,50410,26313,3448016722,2071339,51645543,270
35056.53,1,8192,2,210192,13849210636,2,28,55,45,2522285,9,57108,5,11263320,92,1,4,30920,22249,2,14,45,123892,960470816,61675016,2076175,4067740601,45,30,2,1,4,4,332,1,4051078994,4048632476,73150684,314744361,314744361,2,1,13848751884,73389,73389,4,4,4,314744361,9,3,24633,5556592,1058630,57718,30914,4051078994,2464567,60617529,270
40060.99,1,8192,2,234765,15468386680,2,28,55,45,2837642,9,63810,5,11263320,92,1,4,34530,22716,2,14,45,138340,1003140704,69816603,2076848,4542836864,45,30,2,1,4,4,332,1,4524248914,4521959298,83509469,351545306,351545306,2,1,15467993464,73389,73389,4,4,4,351545306,9,3,31190,6135209,1179848,70302,34524,4524248914,2767340,68638577,270
45065.03,1,8192,2,269162,17735104716,2,28,55,45,3274172,9,73191,5,11263320,92,1,4,39585,23027,2,14,45,158580,1100120888,78681694,2077478,5208100737,45,30,2,1,4,4,332,1,5186817874,5184527328,94035618,403061625,403061625,2,1,17734711500,73389,73389,4,4,4,403061625,9,3,32520,6884971,1296950,76454,39579,5186817874,3197718,77386187,270
50069.26,1,8192,2,297066,19573908436,2,28,56,45,3586765,9,80910,5,11528772,92,1,4,43686,23303,2,14,45,174980,1109567288,85817101,2077759,5747618645,45,30,2,1,4,4,332,1,5724213074,5722101121,102348092,444840703,444857087,2,1,19572990932,73389,73389,4,4,4,444840703,9,3,35326,7455837,1378628,82670,43680,5724213074,3504095,84440020,270
