timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.57,0,0,0,0,0,0,0,54,0,0,0,4,0,3,2097278,2,1,2,4,0,2,2604,0,24,34976,0,0,1851,0,0,0,2,1,4,4,640,1,0,0,118,0,0,2,1,0,73389,73389,4,4,4,0,19,3,0,0,0,0,0,0,0,0,0
10029.23,1,8192,2,32860,2164661944,2,5635871,54,45,319360,9,4,8692,5,10997868,92,1,4,4863,95,2,2639,45,19508,232594712,7747431,864,638982725,36,49,9,2,1,4,4,640,1,636395932,633022529,9120909,49176010,49192394,2,1,2163744440,73389,73389,4,4,4,49176010,19,3,29900,600914,210073,6319,4857,636395932,313041,7537506,322
15036.05,1,8192,2,67580,4452548108,2,5635871,54,45,641698,9,4,18162,5,10997868,92,1,4,9964,179,2,2639,45,39948,398560688,16764260,4413,1310315968,36,49,9,2,1,4,4,640,1,1304994204,1301823318,19519283,101183849,101183849,2,1,4452089356,73389,73389,4,4,4,101183849,19,3,31226,1204388,288167,12450,9958,1304994204,629248,16476693,322
20047.75,1,8192,2,96923,6385923584,2,5635871,54,45,985251,9,4,26166,5,10997868,92,1,4,14276,3792,2,2639,45,57216,492828440,25620716,299673,1877843789,36,49,9,2,1,4,4,640,1,1870176668,1866976205,29974929,145115264,145131648,2,1,6385071616,73389,73389,4,4,4,145115264,19,3,32206,2005485,426304,22266,14270,1870176668,962985,25193719,322
25057.69,1,8192,2,116000,7643055608,2,5635871,54,45,1239558,9,4,31370,5,10997868,92,1,4,17082,13123,2,2639,45,68440,499516760,34016107,1307400,2247242428,36,49,9,2,1,4,4,640,1,2237964700,2234501655,40316683,173681978,173698362,2,1,7642007032,73389,73389,4,4,4,173681978,19,3,35033,2958043,649621,33727,17076,2237964700,1205831,33366741,322
30069.53,1,8192,2,135153,8905168368,2,5635871,54,45,1505279,9,4,36591,5,10997868,92,1,4,19894,23015,2,2639,45,79688,506221592,42435346,2320849,2617426985,36,49,9,2,1,4,4,640,1,2606539164,2603406162,50693593,202379764,202379764,2,1,8904709616,73389,73389,4,4,4,202379764,19,3,40811,3973400,885057,46254,19888,2606539164,1459025,41550471,322
35076.68,1,8192,2,153868,10138310908,2,5635871,54,45,1769087,9,4,41697,5,10997868,92,1,4,22643,32466,2,2639,45,90688,529722408,50807373,3363470,2979321514,36,49,9,2,1,4,4,640,1,2966856092,2963782197,61049153,230399773,230416157,2,1,10137590012,73389,73389,4,4,4,230399773,19,3,46953,4990964,1135546,58249,22637,2966856092,1710838,49673163,322
40082.33,1,8192,2,179115,11801664832,2,5635871,55,45,2042102,9,4,48633,5,11263320,92,1,4,26352,35453,2,2639,45,105536,589462544,59496134,3939306,3466859279,36,49,9,2,1,4,4,640,1,3452342098,3450026972,71411537,268212208,268212208,2,1,11801337152,73389,73389,4,4,4,268212208,19,3,49659,5814877,1303577,68666,26346,3452342098,1973436,58194670,322
45092.85,1,8192,2,210838,13891812344,2,5635871,55,45,2386603,9,4,57285,5,11263320,92,1,4,31014,35821,2,2639,45,124188,617174640,68637859,3939712,4080389249,36,49,9,2,1,4,4,640,1,4063399762,4061045322,81864496,315700666,315717050,2,1,13890829304,73389,73389,4,4,4,315700666,19,3,50940,6515927,1412477,78932,31008,4063399762,2307671,67228050,322
50102.91,1,8192,2,241350,15902330308,2,5635871,55,45,2730540,9,4,65657,5,11263320,92,1,4,35501,36141,2,2639,45,142144,661485192,76157389,3942351,4670893681,36,49,9,2,1,4,4,640,1,4651519826,4648788008,90659492,361397235,361413619,2,1,15901478340,73389,73389,4,4,4,361397235,19,3,50953,7208369,1539030,88632,35495,4651519826,2641908,74622155,322
55112.17,1,8192,2,273420,18015749716,2,5635871,55,45,3078892,9,4,74360,5,11263320,92,1,4,40213,36457,2,2639,45,161004,723263056,86622720,3944714,5291008631,36,49,9,2,1,4,4,640,1,5269131090,5266589014,102636467,409438431,409438431,2,1,18014570068,73389,73389,4,4,4,409422047,19,3,59277,7905640,1661114,98992,40207,5269131090,2979900,84965766,322
60121.25,1,8192,2,307776,20279515324,2,5635871,56,45,3462948,9,4,83776,5,11528772,92,1,4,45258,36561,2,2639,45,181204,837333328,95683267,3945592,5954846484,36,49,9,2,1,4,4,640,1,5930258258,5928305703,113243283,460883181,460899565,2,1,20278859964,73389,73389,4,4,4,460883181,19,3,62573,8656154,1792988,105336,45252,5930258258,3357612,93893485,322
65127.67,1,8192,2,342189,22546757648,2,5635871,57,45,3834913,9,4,93216,5,11794224,92,1,4,50313,36751,2,2639,45,201428,866249080,104630696,3946594,6619677379,36,49,9,2,1,4,4,640,1,6592369956,6591086210,123727506,512415884,512432268,2,1,22546298896,73389,73389,4,4,4,512415884,19,3,63378,9386264,1900951,111651,50307,6592369956,3723262,102734094,322
70132.20,1,8192,2,376793,24827041636,2,5635871,57,45,4241657,9,4,102651,5,11794224,92,1,4,55398,37184,2,2639,45,221784,929213152,113544207,3947607,7289043154,36,49,9,2,1,4,4,640,1,7259002148,7257660155,134242558,564243499,564243499,2,1,24826713956,73389,73389,4,4,4,564243499,19,3,65376,10170496,2019492,118005,55392,7259002148,4123652,111529112,322
