timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.14,1,8192,2,31334,2064123104,2,25,54,0,45,334365,9,10,8277,5,10997868,92,1,4,4637,42,2,11,45,18556,27686448,9117252,1641,609282176,36,34,9,2,1,4,4,299,1,606773660,603594219,10371014,46886568,46902952,2,1,2063008992,73389,73389,4,4,4,46886568,10,3,37203,581902,255838,8885,4631,606773660,325480,8861496,228
10016.69,1,8192,2,62059,4088612302,2,25,54,0,45,655628,9,10,16656,5,10997868,92,1,4,9155,99,2,11,45,36632,55011440,18262938,3240,1203916513,36,34,9,2,1,4,4,299,1,1198956956,1195445771,20763795,92910817,92910817,2,1,4087355052,73389,73389,4,4,4,92894433,10,3,37286,1144721,350024,17416,9149,1198956956,638212,17913162,228
15022.45,1,8192,2,91063,6000024460,2,25,54,0,45,971831,9,10,24621,5,10997868,92,1,4,13416,106,2,11,45,53684,99135776,25562105,4970,1764684871,36,34,9,2,1,4,4,299,1,1757454748,1754166174,29139301,136340361,136356745,2,1,5998975884,73389,73389,4,4,4,136340361,10,3,39342,1693749,429596,24935,13410,1757454748,946896,25132708,228
20027.63,1,8192,2,116816,7696798436,2,25,54,0,45,1256469,9,10,31644,5,10997868,92,1,4,17198,240,2,11,45,68812,107849504,30111366,6236,2262360378,36,34,9,2,1,4,4,299,1,2253169052,2250204944,34479361,174900427,174916811,2,1,7695618788,73389,73389,4,4,4,174900427,10,3,39342,2186961,492847,31594,17192,2253169052,1224875,29619357,228
25034.44,1,8192,2,144851,9544187372,2,25,54,0,45,1547904,9,10,39291,5,10997868,92,1,4,21319,258,2,11,45,85300,134482544,44819885,6745,2804694871,36,34,9,2,1,4,4,299,1,2793316764,2790163027,51051529,216892497,216908881,2,1,9543269868,73389,73389,4,4,4,216892497,10,3,50264,2735150,602362,42507,21313,2793316764,1505397,44218817,228
30040.62,1,8192,2,170533,11236049456,2,25,55,0,45,1866642,9,10,46347,5,11263320,92,1,4,25091,371,2,11,45,100392,159964024,53656135,7763,3300399791,36,34,9,2,1,4,4,299,1,3287060306,3284697053,61446459,255343908,255360292,2,1,11235131952,73389,73389,4,4,4,255343908,10,3,56103,3297438,733448,50165,25085,3287060306,1816477,52924692,228
35046.86,1,8192,2,195227,12863155356,2,25,55,0,45,2177419,9,10,53082,5,11263320,92,1,4,28721,371,2,11,45,114912,168327544,58143903,8564,3778081877,36,34,9,2,1,4,4,299,1,3762851666,3760353313,66838015,292325077,292341461,2,1,12862303388,73389,73389,4,4,4,292325077,10,3,56108,3877521,822243,57314,28715,3762851666,2120105,57323630,228
40053.15,1,8192,2,220475,14526833652,2,25,55,0,45,2496843,9,10,59967,5,11263320,92,1,4,32432,375,2,11,45,129752,176875384,62612753,9025,4266285810,36,34,9,2,1,4,4,299,1,4249128786,4246676174,72236557,330147863,330147863,2,1,14526505972,73389,73389,4,4,4,330147863,10,3,56123,4469935,897757,63997,32426,4249128786,2432846,61717479,228
45058.98,1,8192,2,252448,16633630616,2,25,55,0,45,2903764,9,10,68634,5,11263320,92,1,4,37130,375,2,11,45,148572,307401072,80702112,10233,4884547253,36,34,9,2,1,4,4,299,1,4864905042,4862544932,93528744,378019186,378035570,2,1,16632844184,73389,73389,4,4,4,378019186,10,3,67880,5215449,1062460,73012,37124,4864905042,2830752,79641445,228
50065.09,1,8192,2,289462,19072918172,2,25,56,0,45,3361839,9,10,78783,5,11528772,92,1,4,42569,376,2,11,45,170396,609529640,89503089,11303,5600369481,36,34,9,2,1,4,4,299,1,5577805650,5575609625,104090411,433459029,433475413,2,1,19072197276,73389,73389,4,4,4,433459029,10,3,70879,6055884,1219345,85080,42563,5577805650,3276759,88286397,228
